"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","INTERNET","TOT","PC_HH","A","2017",85.9684,
"BEL","INTERNET","TOT","PC_HH","A","2018",87.2725,
"BEL","INTERNET","TOT","PC_HH","A","2019",89.7301,
"BEL","INTERNET","TOT","PC_HH","A","2020",90.861,
"BEL","INTERNET","TOT","PC_HH","A","2021",92.2999,
"DNK","INTERNET","TOT","PC_HH","A","2017",97.0007,
"DNK","INTERNET","TOT","PC_HH","A","2018",92.6641,
"DNK","INTERNET","TOT","PC_HH","A","2019",95.4343,
"DNK","INTERNET","TOT","PC_HH","A","2020",95.2724,
"DNK","INTERNET","TOT","PC_HH","A","2021",96.137,
"DEU","INTERNET","TOT","PC_HH","A","2017",92.8571,
"DEU","INTERNET","TOT","PC_HH","A","2018",94.3939,
"DEU","INTERNET","TOT","PC_HH","A","2019",94.8293,
"DEU","INTERNET","TOT","PC_HH","A","2020",95.7951,
"DEU","INTERNET","TOT","PC_HH","A","2021",91.875,"B"
"ISL","INTERNET","TOT","PC_HH","A","2017",97.8642,
"ISL","INTERNET","TOT","PC_HH","A","2018",99.1818,
"ISL","INTERNET","TOT","PC_HH","A","2019",97.7012,
"ISL","INTERNET","TOT","PC_HH","A","2020",98.4845,
"ISL","INTERNET","TOT","PC_HH","A","2021",98.3639,
"AUT","INTERNET","TOT","PC_HH","A","2017",88.7924,
"AUT","INTERNET","TOT","PC_HH","A","2018",88.7752,
"AUT","INTERNET","TOT","PC_HH","A","2019",89.9074,
"AUT","INTERNET","TOT","PC_HH","A","2020",90.4008,
"AUT","INTERNET","TOT","PC_HH","A","2021",95.0006,
"CZE","INTERNET","TOT","PC_HH","A","2017",83.2351,
"CZE","INTERNET","TOT","PC_HH","A","2018",86.3574,
"CZE","INTERNET","TOT","PC_HH","A","2019",86.9996,
"CZE","INTERNET","TOT","PC_HH","A","2020",88.0204,
"CZE","INTERNET","TOT","PC_HH","A","2021",89.3125,
