"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","2017",21236.2896841302,
"AUS","GDEXPRD","TOT","MLN_USD","A","2019",21724.3322640299,
"AUT","GDEXPRD","TOT","MLN_USD","A","2017",13738.5654484865,
"AUT","GDEXPRD","TOT","MLN_USD","A","2018",14239.1655866008,
"AUT","GDEXPRD","TOT","MLN_USD","A","2019",14634.3348391768,
"AUT","GDEXPRD","TOT","MLN_USD","A","2020",14025.1173950243,
"BEL","GDEXPRD","TOT","MLN_USD","A","2017",14293.8029032602,
"BEL","GDEXPRD","TOT","MLN_USD","A","2018",15612.3724116347,
"BEL","GDEXPRD","TOT","MLN_USD","A","2019",17611.903402026,
"BEL","GDEXPRD","TOT","MLN_USD","A","2020",17756.8677774703,
"CAN","GDEXPRD","TOT","MLN_USD","A","2017",28000.9338304234,
"CAN","GDEXPRD","TOT","MLN_USD","A","2018",29593.9288995264,
"CAN","GDEXPRD","TOT","MLN_USD","A","2019",30236.5089975424,
"CAN","GDEXPRD","TOT","MLN_USD","A","2020",30335.7708890604,
"CAN","GDEXPRD","TOT","MLN_USD","A","2021",27670.0874287938,
"CZE","GDEXPRD","TOT","MLN_USD","A","2017",6818.14796732489,
"CZE","GDEXPRD","TOT","MLN_USD","A","2018",7557.05609956198,
"CZE","GDEXPRD","TOT","MLN_USD","A","2019",7901.97521168632,
"CZE","GDEXPRD","TOT","MLN_USD","A","2020",7694.32987438386,
"DNK","GDEXPRD","TOT","MLN_USD","A","2017",8674.05616320196,
"DNK","GDEXPRD","TOT","MLN_USD","A","2018",8951.61186951373,
"DNK","GDEXPRD","TOT","MLN_USD","A","2019",8873.41511689199,
"DNK","GDEXPRD","TOT","MLN_USD","A","2020",8912.21129601108,
"FIN","GDEXPRD","TOT","MLN_USD","A","2017",6739.41523835911,
"FIN","GDEXPRD","TOT","MLN_USD","A","2018",6890.2441709504,
"FIN","GDEXPRD","TOT","MLN_USD","A","2019",7081.17070753311,
"FIN","GDEXPRD","TOT","MLN_USD","A","2020",7203.99393380891,
"FRA","GDEXPRD","TOT","MLN_USD","A","2017",61816.013442404,
"FRA","GDEXPRD","TOT","MLN_USD","A","2018",62905.3482740124,
"FRA","GDEXPRD","TOT","MLN_USD","A","2019",63922.6055133993,
"FRA","GDEXPRD","TOT","MLN_USD","A","2020",63125.4542296245,
"DEU","GDEXPRD","TOT","MLN_USD","A","2017",124393.853613863,
"DEU","GDEXPRD","TOT","MLN_USD","A","2018",128211.822258026,
"DEU","GDEXPRD","TOT","MLN_USD","A","2019",131969.43394897,
"DEU","GDEXPRD","TOT","MLN_USD","A","2020",125566.643621924,
"GRC","GDEXPRD","TOT","MLN_USD","A","2017",3356.6853666137,
"GRC","GDEXPRD","TOT","MLN_USD","A","2018",3594.61231417739,
"GRC","GDEXPRD","TOT","MLN_USD","A","2019",3846.24130957876,
"GRC","GDEXPRD","TOT","MLN_USD","A","2020",4138.46420434474,
"HUN","GDEXPRD","TOT","MLN_USD","A","2017",3702.21134873029,
"HUN","GDEXPRD","TOT","MLN_USD","A","2018",4465.66531873062,
"HUN","GDEXPRD","TOT","MLN_USD","A","2019",4575.53707909179,
"HUN","GDEXPRD","TOT","MLN_USD","A","2020",4728.47614477292,
"ISL","GDEXPRD","TOT","MLN_USD","A","2017",375.730612108422,
"ISL","GDEXPRD","TOT","MLN_USD","A","2018",378.273083463822,
"ISL","GDEXPRD","TOT","MLN_USD","A","2019",450.514341667473,
"ISL","GDEXPRD","TOT","MLN_USD","A","2020",446.41945889187,
"IRL","GDEXPRD","TOT","MLN_USD","A","2017",4520.9949931304,
"IRL","GDEXPRD","TOT","MLN_USD","A","2018",4574.66942434669,
"IRL","GDEXPRD","TOT","MLN_USD","A","2019",5063.5835635302,
"IRL","GDEXPRD","TOT","MLN_USD","A","2020",4729.6674638955,
"ITA","GDEXPRD","TOT","MLN_USD","A","2017",31619.5003278472,
"ITA","GDEXPRD","TOT","MLN_USD","A","2018",33176.8808543729,
"ITA","GDEXPRD","TOT","MLN_USD","A","2019",34212.9718074069,
"ITA","GDEXPRD","TOT","MLN_USD","A","2020",32166.1082327454,
"JPN","GDEXPRD","TOT","MLN_USD","A","2017",168668.186352487,
"JPN","GDEXPRD","TOT","MLN_USD","A","2018",172588.755402613,
"JPN","GDEXPRD","TOT","MLN_USD","A","2019",171839.908201547,
"JPN","GDEXPRD","TOT","MLN_USD","A","2020",167142.936388766,
"KOR","GDEXPRD","TOT","MLN_USD","A","2017",88135.828288658,
"KOR","GDEXPRD","TOT","MLN_USD","A","2018",95437.6659429012,
"KOR","GDEXPRD","TOT","MLN_USD","A","2019",99970.920846719,
"KOR","GDEXPRD","TOT","MLN_USD","A","2020",103135.177748253,
"LUX","GDEXPRD","TOT","MLN_USD","A","2017",809.615525134316,
"LUX","GDEXPRD","TOT","MLN_USD","A","2018",777.945177859002,
"LUX","GDEXPRD","TOT","MLN_USD","A","2019",810.042098936585,
"LUX","GDEXPRD","TOT","MLN_USD","A","2020",724.423177972015,
"MEX","GDEXPRD","TOT","MLN_USD","A","2017",7673.48770386878,
"MEX","GDEXPRD","TOT","MLN_USD","A","2018",7335.3789307757,
"MEX","GDEXPRD","TOT","MLN_USD","A","2019",6767.16410249653,
"MEX","GDEXPRD","TOT","MLN_USD","A","2020",6509.20315482343,
"NLD","GDEXPRD","TOT","MLN_USD","A","2017",19517.701300515,
"NLD","GDEXPRD","TOT","MLN_USD","A","2018",19613.781376538,
"NLD","GDEXPRD","TOT","MLN_USD","A","2019",20423.3094367921,
"NLD","GDEXPRD","TOT","MLN_USD","A","2020",20864.9846309582,
"NZL","GDEXPRD","TOT","MLN_USD","A","2017",2521.70458048485,
"NZL","GDEXPRD","TOT","MLN_USD","A","2019",2801.80347373789,
"NOR","GDEXPRD","TOT","MLN_USD","A","2017",6682.85216986232,
"NOR","GDEXPRD","TOT","MLN_USD","A","2018",6813.50524895181,
"NOR","GDEXPRD","TOT","MLN_USD","A","2019",7006.67340164444,
"NOR","GDEXPRD","TOT","MLN_USD","A","2020",6907.85697815379,
"POL","GDEXPRD","TOT","MLN_USD","A","2017",11410.0283748351,
"POL","GDEXPRD","TOT","MLN_USD","A","2018",14051.9165617238,
"POL","GDEXPRD","TOT","MLN_USD","A","2019",16078.8971556583,
"POL","GDEXPRD","TOT","MLN_USD","A","2020",16503.5294763493,
"PRT","GDEXPRD","TOT","MLN_USD","A","2017",4280.08032024468,
"PRT","GDEXPRD","TOT","MLN_USD","A","2018",4503.03916657353,
"PRT","GDEXPRD","TOT","MLN_USD","A","2019",4781.68780297125,
"PRT","GDEXPRD","TOT","MLN_USD","A","2020",5073.68754025829,
"SVK","GDEXPRD","TOT","MLN_USD","A","2017",1513.11418844714,
"SVK","GDEXPRD","TOT","MLN_USD","A","2018",1486.88998230115,
"SVK","GDEXPRD","TOT","MLN_USD","A","2019",1500.2540315717,
"SVK","GDEXPRD","TOT","MLN_USD","A","2020",1583.18167642601,
"ESP","GDEXPRD","TOT","MLN_USD","A","2017",20817.6763151719,
"ESP","GDEXPRD","TOT","MLN_USD","A","2018",21851.9832631119,
"ESP","GDEXPRD","TOT","MLN_USD","A","2019",22474.025286869,
"ESP","GDEXPRD","TOT","MLN_USD","A","2020",22508.4215884791,
"SWE","GDEXPRD","TOT","MLN_USD","A","2017",16939.8903134867,
"SWE","GDEXPRD","TOT","MLN_USD","A","2018",17055.9382430727,
"SWE","GDEXPRD","TOT","MLN_USD","A","2019",17743.1195005092,
"SWE","GDEXPRD","TOT","MLN_USD","A","2020",17880.8152564323,
"CHE","GDEXPRD","TOT","MLN_USD","A","2017",17198.3976871454,
"CHE","GDEXPRD","TOT","MLN_USD","A","2019",18580.0022445069,
"TUR","GDEXPRD","TOT","MLN_USD","A","2017",21401.6124238262,
"TUR","GDEXPRD","TOT","MLN_USD","A","2018",23715.2151800374,
"TUR","GDEXPRD","TOT","MLN_USD","A","2019",24847.9951889066,
"TUR","GDEXPRD","TOT","MLN_USD","A","2020",25873.2466962374,
"GBR","GDEXPRD","TOT","MLN_USD","A","2017",48393.1620183074,
"GBR","GDEXPRD","TOT","MLN_USD","A","2018",50843.5292478917,
"GBR","GDEXPRD","TOT","MLN_USD","A","2019",51519.0544766011,
"USA","GDEXPRD","TOT","MLN_USD","A","2017",549877.515956957,
"USA","GDEXPRD","TOT","MLN_USD","A","2018",586964.922780146,
"USA","GDEXPRD","TOT","MLN_USD","A","2019",632654.620698112,
"USA","GDEXPRD","TOT","MLN_USD","A","2020",664065.692753683,
"ARG","GDEXPRD","TOT","MLN_USD","A","2017",4857.0170289137,
"ARG","GDEXPRD","TOT","MLN_USD","A","2018",4203.05995118907,
"ARG","GDEXPRD","TOT","MLN_USD","A","2019",3807.84922012127,
"CHL","GDEXPRD","TOT","MLN_USD","A","2017",1492.12775171521,
"CHL","GDEXPRD","TOT","MLN_USD","A","2018",1605.4810753741,
"CHL","GDEXPRD","TOT","MLN_USD","A","2019",1498.52129484345,
"CHL","GDEXPRD","TOT","MLN_USD","A","2020",1387.68803413592,
"CHN","GDEXPRD","TOT","MLN_USD","A","2017",430329.703329414,
"CHN","GDEXPRD","TOT","MLN_USD","A","2018",464705.238693159,
"CHN","GDEXPRD","TOT","MLN_USD","A","2019",514797.656930842,
"CHN","GDEXPRD","TOT","MLN_USD","A","2020",564102.739263579,
"EST","GDEXPRD","TOT","MLN_USD","A","2017",534.775194048519,
"EST","GDEXPRD","TOT","MLN_USD","A","2018",612.881731854286,
"EST","GDEXPRD","TOT","MLN_USD","A","2019",735.6699327817,
"EST","GDEXPRD","TOT","MLN_USD","A","2020",785.188208834209,
"ISR","GDEXPRD","TOT","MLN_USD","A","2017",15092.4214227809,
"ISR","GDEXPRD","TOT","MLN_USD","A","2018",16164.9567959499,
"ISR","GDEXPRD","TOT","MLN_USD","A","2019",17975.2709638193,
"ISR","GDEXPRD","TOT","MLN_USD","A","2020",18600.3885223288,
"ROU","GDEXPRD","TOT","MLN_USD","A","2017",2420.86360085531,
"ROU","GDEXPRD","TOT","MLN_USD","A","2018",2518.62861934929,
"ROU","GDEXPRD","TOT","MLN_USD","A","2019",2504.76017975568,
"ROU","GDEXPRD","TOT","MLN_USD","A","2020",2363.0129069194,
"RUS","GDEXPRD","TOT","MLN_USD","A","2017",39921.023584549,
"RUS","GDEXPRD","TOT","MLN_USD","A","2018",36616.3906120505,
"RUS","GDEXPRD","TOT","MLN_USD","A","2019",39201.2639660445,
"RUS","GDEXPRD","TOT","MLN_USD","A","2020",40322.2987555871,
"SGP","GDEXPRD","TOT","MLN_USD","A","2017",9871.78756944287,
"SGP","GDEXPRD","TOT","MLN_USD","A","2018",9760.6614506087,
"SGP","GDEXPRD","TOT","MLN_USD","A","2019",10310.411523274,
"SVN","GDEXPRD","TOT","MLN_USD","A","2017",1316.75740493909,
"SVN","GDEXPRD","TOT","MLN_USD","A","2018",1434.86721018614,
"SVN","GDEXPRD","TOT","MLN_USD","A","2019",1557.11822338569,
"SVN","GDEXPRD","TOT","MLN_USD","A","2020",1563.82021189975,
"ZAF","GDEXPRD","TOT","MLN_USD","A","2017",5890.56941678042,
"ZAF","GDEXPRD","TOT","MLN_USD","A","2018",5384.48664980015,
"ZAF","GDEXPRD","TOT","MLN_USD","A","2019",4852.79904844887,
"TWN","GDEXPRD","TOT","MLN_USD","A","2017",37159.1667628581,
"TWN","GDEXPRD","TOT","MLN_USD","A","2018",40079.6708625088,
"TWN","GDEXPRD","TOT","MLN_USD","A","2019",43043.566343022,
"TWN","GDEXPRD","TOT","MLN_USD","A","2020",46238.7100214495,
"OECD","GDEXPRD","TOT","MLN_USD","A","2017",1336318.76008529,
"OECD","GDEXPRD","TOT","MLN_USD","A","2018",1408291.99626868,
"OECD","GDEXPRD","TOT","MLN_USD","A","2019",1477194.64603566,
"OECD","GDEXPRD","TOT","MLN_USD","A","2020",1499127.91802707,
