"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","RESEARCHER","TOT","HEADCOUNT","A","2017",61616,
"GRC","RESEARCHER","TOT","HEADCOUNT","A","2019",66451,
"GRC","RESEARCHER","TOT","HEADCOUNT","A","2020",72234,
"KOR","RESEARCHER","TOT","HEADCOUNT","A","2017",482796,
"KOR","RESEARCHER","TOT","HEADCOUNT","A","2018",514170,
"KOR","RESEARCHER","TOT","HEADCOUNT","A","2019",538136,
"KOR","RESEARCHER","TOT","HEADCOUNT","A","2020",558045,
"NLD","RESEARCHER","TOT","HEADCOUNT","A","2017",124834,
"NLD","RESEARCHER","TOT","HEADCOUNT","A","2018",130153,
"NLD","RESEARCHER","TOT","HEADCOUNT","A","2019",136034,
"NLD","RESEARCHER","TOT","HEADCOUNT","A","2020",139928,
"SGP","RESEARCHER","TOT","HEADCOUNT","A","2017",42838,
"SGP","RESEARCHER","TOT","HEADCOUNT","A","2018",43329,
"SGP","RESEARCHER","TOT","HEADCOUNT","A","2019",46125,
"IRL","RESEARCHER","TOT","HEADCOUNT","A","2017",34721,
"IRL","RESEARCHER","TOT","HEADCOUNT","A","2019",37003,
"BEL","RESEARCHER","TOT","HEADCOUNT","A","2017",78867,
"BEL","RESEARCHER","TOT","HEADCOUNT","A","2019",91757,
"ROU","RESEARCHER","TOT","HEADCOUNT","A","2017",27367,
"ROU","RESEARCHER","TOT","HEADCOUNT","A","2018",27471,
"ROU","RESEARCHER","TOT","HEADCOUNT","A","2019",27168,
"ROU","RESEARCHER","TOT","HEADCOUNT","A","2020",28090,
"GBR","RESEARCHER","TOT","HEADCOUNT","A","2017",520936,
"GBR","RESEARCHER","TOT","HEADCOUNT","A","2018",535477,
"GBR","RESEARCHER","TOT","HEADCOUNT","A","2019",548498.41,
"SWE","RESEARCHER","TOT","HEADCOUNT","A","2017",107042,
"SWE","RESEARCHER","TOT","HEADCOUNT","A","2019",111179,
"HUN","RESEARCHER","TOT","HEADCOUNT","A","2017",42729,
"HUN","RESEARCHER","TOT","HEADCOUNT","A","2018",54970,
"HUN","RESEARCHER","TOT","HEADCOUNT","A","2019",58091,
"HUN","RESEARCHER","TOT","HEADCOUNT","A","2020",62177,
"AUT","RESEARCHER","TOT","HEADCOUNT","A","2017",83648,
"AUT","RESEARCHER","TOT","HEADCOUNT","A","2019",93179,
"CHL","RESEARCHER","TOT","HEADCOUNT","A","2017",14391.5005,
"CHL","RESEARCHER","TOT","HEADCOUNT","A","2018",15466.949844191,
"CHL","RESEARCHER","TOT","HEADCOUNT","A","2019",15437.639560456,
"CHL","RESEARCHER","TOT","HEADCOUNT","A","2020",15751.142022697,
"FRA","RESEARCHER","TOT","HEADCOUNT","A","2017",416217,
"FRA","RESEARCHER","TOT","HEADCOUNT","A","2018",429958.97,
"CZE","RESEARCHER","TOT","HEADCOUNT","A","2017",59789.030347391,
"CZE","RESEARCHER","TOT","HEADCOUNT","A","2018",61966,
"CZE","RESEARCHER","TOT","HEADCOUNT","A","2019",63690,
"CZE","RESEARCHER","TOT","HEADCOUNT","A","2020",65193,
"FIN","RESEARCHER","TOT","HEADCOUNT","A","2017",54139,
"FIN","RESEARCHER","TOT","HEADCOUNT","A","2018",55415,
"FIN","RESEARCHER","TOT","HEADCOUNT","A","2019",58291,
"FIN","RESEARCHER","TOT","HEADCOUNT","A","2020",61292,
