"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2017",10.7679967007842,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2018",11.1692529772645,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2019",11.6277474820639,
"AUT","RESEARCHER","TOT","1000EMPLOYED","A","2020",11.6161192614526,
"BEL","RESEARCHER","TOT","1000EMPLOYED","A","2017",11.3670019993686,
"BEL","RESEARCHER","TOT","1000EMPLOYED","A","2018",11.9275485790206,
"BEL","RESEARCHER","TOT","1000EMPLOYED","A","2019",12.385831804079,
"BEL","RESEARCHER","TOT","1000EMPLOYED","A","2020",13.0899858419549,
"CAN","RESEARCHER","TOT","1000EMPLOYED","A","2017",8.6831957927677,
"CAN","RESEARCHER","TOT","1000EMPLOYED","A","2018",9.21817722159019,
"CAN","RESEARCHER","TOT","1000EMPLOYED","A","2019",9.42814649428848,
"CZE","RESEARCHER","TOT","1000EMPLOYED","A","2017",7.32921942945901,
"CZE","RESEARCHER","TOT","1000EMPLOYED","A","2018",7.6051866751829,
"CZE","RESEARCHER","TOT","1000EMPLOYED","A","2019",7.82645445666057,
"CZE","RESEARCHER","TOT","1000EMPLOYED","A","2020",8.28260789218623,
"DNK","RESEARCHER","TOT","1000EMPLOYED","A","2017",15.0470738701604,
"DNK","RESEARCHER","TOT","1000EMPLOYED","A","2018",14.8225088591183,
"DNK","RESEARCHER","TOT","1000EMPLOYED","A","2019",14.8638969419948,
"DNK","RESEARCHER","TOT","1000EMPLOYED","A","2020",14.9841989542994,
"FIN","RESEARCHER","TOT","1000EMPLOYED","A","2017",14.4611210867359,
"FIN","RESEARCHER","TOT","1000EMPLOYED","A","2018",14.4286965462092,
"FIN","RESEARCHER","TOT","1000EMPLOYED","A","2019",14.9511647907864,
"FIN","RESEARCHER","TOT","1000EMPLOYED","A","2020",15.8962914967412,
"FRA","RESEARCHER","TOT","1000EMPLOYED","A","2017",10.6281796563968,
"FRA","RESEARCHER","TOT","1000EMPLOYED","A","2018",10.8473121954684,
"FRA","RESEARCHER","TOT","1000EMPLOYED","A","2019",10.9974979326198,
"FRA","RESEARCHER","TOT","1000EMPLOYED","A","2020",11.3629809986946,
"DEU","RESEARCHER","TOT","1000EMPLOYED","A","2017",9.48029912792011,
"DEU","RESEARCHER","TOT","1000EMPLOYED","A","2018",9.66579825265223,
"DEU","RESEARCHER","TOT","1000EMPLOYED","A","2019",9.95598025138616,
"DEU","RESEARCHER","TOT","1000EMPLOYED","A","2020",10.0402353318194,
"GRC","RESEARCHER","TOT","1000EMPLOYED","A","2017",7.87117741155262,
"GRC","RESEARCHER","TOT","1000EMPLOYED","A","2018",8.13644212400418,
"GRC","RESEARCHER","TOT","1000EMPLOYED","A","2019",8.55942641219144,
"GRC","RESEARCHER","TOT","1000EMPLOYED","A","2020",9.5250405545,
"HUN","RESEARCHER","TOT","1000EMPLOYED","A","2017",6.23510235846377,
"HUN","RESEARCHER","TOT","1000EMPLOYED","A","2018",8.05853678606541,
"HUN","RESEARCHER","TOT","1000EMPLOYED","A","2019",8.32781518122441,
"HUN","RESEARCHER","TOT","1000EMPLOYED","A","2020",9.01955794713402,
"ISL","RESEARCHER","TOT","1000EMPLOYED","A","2017",10.4219623792578,
"IRL","RESEARCHER","TOT","1000EMPLOYED","A","2017",11.3940500172927,
"IRL","RESEARCHER","TOT","1000EMPLOYED","A","2018",10.3063956601604,
"IRL","RESEARCHER","TOT","1000EMPLOYED","A","2019",10.3394304505606,
"IRL","RESEARCHER","TOT","1000EMPLOYED","A","2020",10.6741925738815,
"ITA","RESEARCHER","TOT","1000EMPLOYED","A","2017",5.58422805042505,
"ITA","RESEARCHER","TOT","1000EMPLOYED","A","2018",6.00312163744073,
"ITA","RESEARCHER","TOT","1000EMPLOYED","A","2019",6.30585910390176,
"ITA","RESEARCHER","TOT","1000EMPLOYED","A","2020",6.28556500014014,
"JPN","RESEARCHER","TOT","1000EMPLOYED","A","2017",10.1192841752454,
"JPN","RESEARCHER","TOT","1000EMPLOYED","A","2018",9.97167896950269,
"JPN","RESEARCHER","TOT","1000EMPLOYED","A","2019",9.93690883917511,
"JPN","RESEARCHER","TOT","1000EMPLOYED","A","2020",10.1060426279938,
"KOR","RESEARCHER","TOT","1000EMPLOYED","A","2017",14.3349029199862,
"KOR","RESEARCHER","TOT","1000EMPLOYED","A","2018",15.2252054382287,
"KOR","RESEARCHER","TOT","1000EMPLOYED","A","2019",15.8793782391234,
"KOR","RESEARCHER","TOT","1000EMPLOYED","A","2020",16.6047999594776,
"LUX","RESEARCHER","TOT","1000EMPLOYED","A","2017",6.78530159463832,
"LUX","RESEARCHER","TOT","1000EMPLOYED","A","2018",6.37967914438503,
"LUX","RESEARCHER","TOT","1000EMPLOYED","A","2019",6.73107247896276,
"LUX","RESEARCHER","TOT","1000EMPLOYED","A","2020",6.20726559503391,
"MEX","RESEARCHER","TOT","1000EMPLOYED","A","2017",1.0124401322999,
"MEX","RESEARCHER","TOT","1000EMPLOYED","A","2018",0.99871199380048,
"MEX","RESEARCHER","TOT","1000EMPLOYED","A","2019",1.06042195343012,
"MEX","RESEARCHER","TOT","1000EMPLOYED","A","2020",1.23784089188131,
"NLD","RESEARCHER","TOT","1000EMPLOYED","A","2017",9.9402642786939,
"NLD","RESEARCHER","TOT","1000EMPLOYED","A","2018",10.1612388250319,
"NLD","RESEARCHER","TOT","1000EMPLOYED","A","2019",10.1670781568584,
"NLD","RESEARCHER","TOT","1000EMPLOYED","A","2020",10.6788597365952,
"NZL","RESEARCHER","TOT","1000EMPLOYED","A","2017",9.45887360580144,
"NZL","RESEARCHER","TOT","1000EMPLOYED","A","2019",10.6123052918516,
"NOR","RESEARCHER","TOT","1000EMPLOYED","A","2017",12.2413918613962,
"NOR","RESEARCHER","TOT","1000EMPLOYED","A","2018",12.2961504028648,
"NOR","RESEARCHER","TOT","1000EMPLOYED","A","2019",12.6557025480047,
"NOR","RESEARCHER","TOT","1000EMPLOYED","A","2020",13.0048343777977,
"POL","RESEARCHER","TOT","1000EMPLOYED","A","2017",7.02329144958627,
"POL","RESEARCHER","TOT","1000EMPLOYED","A","2018",7.18060559507916,
"POL","RESEARCHER","TOT","1000EMPLOYED","A","2019",7.36557729953226,
"POL","RESEARCHER","TOT","1000EMPLOYED","A","2020",7.59865468117286,
"PRT","RESEARCHER","TOT","1000EMPLOYED","A","2017",9.35691276632235,
"PRT","RESEARCHER","TOT","1000EMPLOYED","A","2018",9.69620755512861,
"PRT","RESEARCHER","TOT","1000EMPLOYED","A","2019",10.1280014081229,
"PRT","RESEARCHER","TOT","1000EMPLOYED","A","2020",10.9377622781728,
"SVK","RESEARCHER","TOT","1000EMPLOYED","A","2017",6.41836294227942,
"SVK","RESEARCHER","TOT","1000EMPLOYED","A","2018",6.75109983792732,
"SVK","RESEARCHER","TOT","1000EMPLOYED","A","2019",6.94301874291978,
"SVK","RESEARCHER","TOT","1000EMPLOYED","A","2020",7.2012898748265,
