"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","RESEARCHER","WOMEN","HEADCOUNT","A","2017",16004.818516254,
"CZE","RESEARCHER","WOMEN","HEADCOUNT","A","2018",16461,
"CZE","RESEARCHER","WOMEN","HEADCOUNT","A","2019",17313,
"CZE","RESEARCHER","WOMEN","HEADCOUNT","A","2020",17992,
"TUR","RESEARCHER","WOMEN","HEADCOUNT","A","2017",78056,
"TUR","RESEARCHER","WOMEN","HEADCOUNT","A","2018",84701,
"TUR","RESEARCHER","WOMEN","HEADCOUNT","A","2019",90168,
"TUR","RESEARCHER","WOMEN","HEADCOUNT","A","2020",94682,
"AUT","RESEARCHER","WOMEN","HEADCOUNT","A","2017",25144,
"AUT","RESEARCHER","WOMEN","HEADCOUNT","A","2019",28319,
"FRA","RESEARCHER","WOMEN","HEADCOUNT","A","2017",117754,
"CHL","RESEARCHER","WOMEN","HEADCOUNT","A","2017",4955.582,
"CHL","RESEARCHER","WOMEN","HEADCOUNT","A","2018",5016.3549,
"CHL","RESEARCHER","WOMEN","HEADCOUNT","A","2019",5372.3648883213,
"CHL","RESEARCHER","WOMEN","HEADCOUNT","A","2020",5493.9642776551,
"JPN","RESEARCHER","WOMEN","HEADCOUNT","A","2017",150545,
"JPN","RESEARCHER","WOMEN","HEADCOUNT","A","2018",154964,
"JPN","RESEARCHER","WOMEN","HEADCOUNT","A","2019",158927,
"JPN","RESEARCHER","WOMEN","HEADCOUNT","A","2020",166304,
"TWN","RESEARCHER","WOMEN","HEADCOUNT","A","2017",42393.196843596,
"TWN","RESEARCHER","WOMEN","HEADCOUNT","A","2018",43653.892355044,
"TWN","RESEARCHER","WOMEN","HEADCOUNT","A","2019",45114.620875301,
"TWN","RESEARCHER","WOMEN","HEADCOUNT","A","2020",46671.703534592,
"NOR","RESEARCHER","WOMEN","HEADCOUNT","A","2017",22052,
"NOR","RESEARCHER","WOMEN","HEADCOUNT","A","2018",23112,
"NOR","RESEARCHER","WOMEN","HEADCOUNT","A","2019",23794,
"NOR","RESEARCHER","WOMEN","HEADCOUNT","A","2020",24397,
"MEX","RESEARCHER","WOMEN","HEADCOUNT","A","2017",18256.375469499,
"MEX","RESEARCHER","WOMEN","HEADCOUNT","A","2018",18112.497064131,
"MEX","RESEARCHER","WOMEN","HEADCOUNT","A","2019",19032.668640823,
"MEX","RESEARCHER","WOMEN","HEADCOUNT","A","2020",20156.562422633,
"GBR","RESEARCHER","WOMEN","HEADCOUNT","A","2017",201858,
"GBR","RESEARCHER","WOMEN","HEADCOUNT","A","2018",206687,
"GBR","RESEARCHER","WOMEN","HEADCOUNT","A","2019",213855.71,
"PRT","RESEARCHER","WOMEN","HEADCOUNT","A","2017",39148,
"PRT","RESEARCHER","WOMEN","HEADCOUNT","A","2018",41576,
"PRT","RESEARCHER","WOMEN","HEADCOUNT","A","2019",43171,
"PRT","RESEARCHER","WOMEN","HEADCOUNT","A","2020",44466,
"EST","RESEARCHER","WOMEN","HEADCOUNT","A","2017",3099,
"EST","RESEARCHER","WOMEN","HEADCOUNT","A","2018",3199,
"EST","RESEARCHER","WOMEN","HEADCOUNT","A","2019",3283,
"EST","RESEARCHER","WOMEN","HEADCOUNT","A","2020",3678,
"SWE","RESEARCHER","WOMEN","HEADCOUNT","A","2017",34931,
"SWE","RESEARCHER","WOMEN","HEADCOUNT","A","2019",36990,
"ROU","RESEARCHER","WOMEN","HEADCOUNT","A","2017",12790,
"ROU","RESEARCHER","WOMEN","HEADCOUNT","A","2018",12705,
"ROU","RESEARCHER","WOMEN","HEADCOUNT","A","2019",12745,
"ROU","RESEARCHER","WOMEN","HEADCOUNT","A","2020",13275,
"KOR","RESEARCHER","WOMEN","HEADCOUNT","A","2017",97042,
"KOR","RESEARCHER","WOMEN","HEADCOUNT","A","2018",104728,
"KOR","RESEARCHER","WOMEN","HEADCOUNT","A","2019",113187,
"KOR","RESEARCHER","WOMEN","HEADCOUNT","A","2020",119551,
"POL","RESEARCHER","WOMEN","HEADCOUNT","A","2017",71611,
"POL","RESEARCHER","WOMEN","HEADCOUNT","A","2018",73088,
"POL","RESEARCHER","WOMEN","HEADCOUNT","A","2019",73175,
"POL","RESEARCHER","WOMEN","HEADCOUNT","A","2020",71845,
"NLD","RESEARCHER","WOMEN","HEADCOUNT","A","2017",32626,
"NLD","RESEARCHER","WOMEN","HEADCOUNT","A","2018",35191,
"NLD","RESEARCHER","WOMEN","HEADCOUNT","A","2019",37891,
"NLD","RESEARCHER","WOMEN","HEADCOUNT","A","2020",40000,
"ESP","RESEARCHER","WOMEN","HEADCOUNT","A","2017",91498.665,
"ESP","RESEARCHER","WOMEN","HEADCOUNT","A","2018",95717,
"ESP","RESEARCHER","WOMEN","HEADCOUNT","A","2019",99772,
"ESP","RESEARCHER","WOMEN","HEADCOUNT","A","2020",101263,
"LUX","RESEARCHER","WOMEN","HEADCOUNT","A","2017",994,
"LUX","RESEARCHER","WOMEN","HEADCOUNT","A","2019",1019,
"ITA","RESEARCHER","WOMEN","HEADCOUNT","A","2017",67131,
"ITA","RESEARCHER","WOMEN","HEADCOUNT","A","2018",71076,
"ITA","RESEARCHER","WOMEN","HEADCOUNT","A","2019",75878,
"ITA","RESEARCHER","WOMEN","HEADCOUNT","A","2020",75762,
"SVN","RESEARCHER","WOMEN","HEADCOUNT","A","2017",4549,
"SVN","RESEARCHER","WOMEN","HEADCOUNT","A","2018",5008,
"SVN","RESEARCHER","WOMEN","HEADCOUNT","A","2019",5303,
"SVN","RESEARCHER","WOMEN","HEADCOUNT","A","2020",5492,
"HUN","RESEARCHER","WOMEN","HEADCOUNT","A","2017",13024,
"HUN","RESEARCHER","WOMEN","HEADCOUNT","A","2018",15366,
"HUN","RESEARCHER","WOMEN","HEADCOUNT","A","2019",17433,
"HUN","RESEARCHER","WOMEN","HEADCOUNT","A","2020",17713,
"ZAF","RESEARCHER","WOMEN","HEADCOUNT","A","2017",27774,
"ZAF","RESEARCHER","WOMEN","HEADCOUNT","A","2018",28401,
"ZAF","RESEARCHER","WOMEN","HEADCOUNT","A","2019",28623,
"GRC","RESEARCHER","WOMEN","HEADCOUNT","A","2017",23301,
"GRC","RESEARCHER","WOMEN","HEADCOUNT","A","2019",25942,
"GRC","RESEARCHER","WOMEN","HEADCOUNT","A","2020",28028,
"IRL","RESEARCHER","WOMEN","HEADCOUNT","A","2017",12605,
"IRL","RESEARCHER","WOMEN","HEADCOUNT","A","2019",14116,
"SGP","RESEARCHER","WOMEN","HEADCOUNT","A","2017",13170,
"SGP","RESEARCHER","WOMEN","HEADCOUNT","A","2018",13330,
"SGP","RESEARCHER","WOMEN","HEADCOUNT","A","2019",14184,
"FIN","RESEARCHER","WOMEN","HEADCOUNT","A","2017",17948,
"FIN","RESEARCHER","WOMEN","HEADCOUNT","A","2018",18677,
