"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TOUR_GDP","TOT","PC_GDP","A","2017",3.103,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2018",3.104,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2019",2.585,
"AUS","TOUR_GDP","TOT","PC_GDP","A","2020",1.568,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2017",5.379,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2018",5.451,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2019",5.587,
"AUT","TOUR_GDP","TOT","PC_GDP","A","2020",3.529,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2017",2.908,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2018",2.882,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2019",2.876,
"CZE","TOUR_GDP","TOT","PC_GDP","A","2020",1.48,"P"
"FRA","TOUR_GDP","TOT","PC_GDP","A","2017",7.223,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2018",7.333,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2019",7.47,
"FRA","TOUR_GDP","TOT","PC_GDP","A","2020",5.329,"P"
"ISL","TOUR_GDP","TOT","PC_GDP","A","2017",8.02,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2018",8.077,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2019",8.077,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2020",3.623,
"ISL","TOUR_GDP","TOT","PC_GDP","A","2021",4.189,"P"
"JPN","TOUR_GDP","TOT","PC_GDP","A","2017",1.97,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2018",1.945,
"JPN","TOUR_GDP","TOT","PC_GDP","A","2019",1.986,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2017",8.025,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2018",7.944,
"MEX","TOUR_GDP","TOT","PC_GDP","A","2019",8.002,"P"
"MEX","TOUR_GDP","TOT","PC_GDP","A","2020",6.315,"P"
"NOR","TOUR_GDP","TOT","PC_GDP","A","2017",3.68,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2018",3.386,
"NOR","TOUR_GDP","TOT","PC_GDP","A","2019",3.576,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2017",2.56,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2018",2.679,
"SVK","TOUR_GDP","TOT","PC_GDP","A","2019",2.784,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2017",12.14,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2018",12.223,
"ESP","TOUR_GDP","TOT","PC_GDP","A","2019",12.435,"P"
"ESP","TOUR_GDP","TOT","PC_GDP","A","2020",5.473,"P"
"SWE","TOUR_GDP","TOT","PC_GDP","A","2017",2.601,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2018",2.598,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2019",2.44,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2020",1.691,
"SWE","TOUR_GDP","TOT","PC_GDP","A","2021",1.93,
"CHL","TOUR_GDP","TOT","PC_GDP","A","2017",3.54,"P"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2018",3.296,"P"
"CHL","TOUR_GDP","TOT","PC_GDP","A","2019",3.314,"P"
"HRV","TOUR_GDP","TOT","PC_GDP","A","2019",11.823,
"IDN","TOUR_GDP","TOT","PC_GDP","A","2017",4.675,
"IDN","TOUR_GDP","TOT","PC_GDP","A","2018",4.912,
"IDN","TOUR_GDP","TOT","PC_GDP","A","2019",4.966,
"IDN","TOUR_GDP","TOT","PC_GDP","A","2020",2.241,"P"
"MAR","TOUR_GDP","TOT","PC_GDP","A","2017",6.811,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2018",6.934,
"MAR","TOUR_GDP","TOT","PC_GDP","A","2019",7.119,
"PER","TOUR_GDP","TOT","PC_GDP","A","2017",3.86,
"PER","TOUR_GDP","TOT","PC_GDP","A","2018",3.86,"P"
"PER","TOUR_GDP","TOT","PC_GDP","A","2019",3.863,"P"
"PER","TOUR_GDP","TOT","PC_GDP","A","2020",1.455,
"PER","TOUR_GDP","TOT","PC_GDP","A","2021",1.828,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2017",2.787,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2018",2.909,
"ROU","TOUR_GDP","TOT","PC_GDP","A","2019",2.981,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2017",5.287,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2019",5.397,
"SVN","TOUR_GDP","TOT","PC_GDP","A","2020",3.275,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2017",2.607,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2018",2.733,
"ZAF","TOUR_GDP","TOT","PC_GDP","A","2019",3.726,
"LUX","TOUR_GDP","TOT","PC_GDP","A","2017",1.318,
"LUX","TOUR_GDP","TOT","PC_GDP","A","2018",1.306,
"LUX","TOUR_GDP","TOT","PC_GDP","A","2019",1.21,
"LUX","TOUR_GDP","TOT","PC_GDP","A","2020",0.955,
"KOR","TOUR_GDP","TOT","PC_GDP","A","2019",2.482,"P"
"SAU","TOUR_GDP","TOT","PC_GDP","A","2019",3.789,
"SAU","TOUR_GDP","TOT","PC_GDP","A","2020",1.684,
