"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TOUR_GDP","TOT","PC_GVA","A","2017",3.048,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2018",3.039,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2019",2.537,
"AUS","TOUR_GDP","TOT","PC_GVA","A","2020",1.514,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2017",2.079,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2018",2.09,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2019",2.09,
"CAN","TOUR_GDP","TOT","PC_GVA","A","2020",1.062,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2017",2.796,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2018",2.771,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2019",2.767,
"CZE","TOUR_GDP","TOT","PC_GVA","A","2020",1.455,"P"
"DNK","TOUR_GDP","TOT","PC_GVA","A","2017",2.339,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2018",2.258,
"DNK","TOUR_GDP","TOT","PC_GVA","A","2019",2.393,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2017",2.023,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2018",2.043,
"FIN","TOUR_GDP","TOT","PC_GVA","A","2019",2.028,
"DEU","TOUR_GDP","TOT","PC_GVA","A","2017",2.023,
"DEU","TOUR_GDP","TOT","PC_GVA","A","2018",2.043,
"DEU","TOUR_GDP","TOT","PC_GVA","A","2019",2.028,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2017",6.543,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2018",6.932,
"GRC","TOUR_GDP","TOT","PC_GVA","A","2019",7.7,"P"
"GRC","TOUR_GDP","TOT","PC_GVA","A","2020",4.591,"P"
"HUN","TOUR_GDP","TOT","PC_GVA","A","2017",6.697,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2018",6.85,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2019",6.806,
"HUN","TOUR_GDP","TOT","PC_GVA","A","2020",5.409,"P"
"ITA","TOUR_GDP","TOT","PC_GVA","A","2017",2.023,
"ITA","TOUR_GDP","TOT","PC_GVA","A","2018",2.043,
"ITA","TOUR_GDP","TOT","PC_GVA","A","2019",2.028,
"MEX","TOUR_GDP","TOT","PC_GVA","A","2017",8.494,
