"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MININCBEN","COUPL2CHLD","PC_MDI","A","2017",43,
"AUS","MININCBEN","COUPL2CHLD","PC_MDI","A","2018",42,
"AUS","MININCBEN","COUPL2CHLD","PC_MDI","A","2019",42,
"AUS","MININCBEN","COUPL2CHLD","PC_MDI","A","2020",42,
"AUS","MININCBEN","COUPL2CHLD","PC_MDI","A","2021",46,
"AUS","MININCBEN","COUPLNOCHLD","PC_MDI","A","2017",40,
"AUS","MININCBEN","COUPLNOCHLD","PC_MDI","A","2018",39,
"AUS","MININCBEN","COUPLNOCHLD","PC_MDI","A","2019",40,
"AUS","MININCBEN","COUPLNOCHLD","PC_MDI","A","2020",40,
"AUS","MININCBEN","COUPLNOCHLD","PC_MDI","A","2021",47,
"AUS","MININCBEN","SNGL2CHLD","PC_MDI","A","2017",45,
"AUS","MININCBEN","SNGL2CHLD","PC_MDI","A","2018",44,
"AUS","MININCBEN","SNGL2CHLD","PC_MDI","A","2019",44,
"AUS","MININCBEN","SNGL2CHLD","PC_MDI","A","2020",44,
"AUS","MININCBEN","SNGL2CHLD","PC_MDI","A","2021",46,
"AUS","MININCBEN","SNGLNOCHLD","PC_MDI","A","2017",35,
"AUS","MININCBEN","SNGLNOCHLD","PC_MDI","A","2018",34,
"AUS","MININCBEN","SNGLNOCHLD","PC_MDI","A","2019",34,
"AUS","MININCBEN","SNGLNOCHLD","PC_MDI","A","2020",34,
"AUS","MININCBEN","SNGLNOCHLD","PC_MDI","A","2021",39,
"AUT","MININCBEN","COUPL2CHLD","PC_MDI","A","2017",47,
"AUT","MININCBEN","COUPL2CHLD","PC_MDI","A","2018",47,
"AUT","MININCBEN","COUPL2CHLD","PC_MDI","A","2019",46,
"AUT","MININCBEN","COUPL2CHLD","PC_MDI","A","2020",47,
"AUT","MININCBEN","COUPL2CHLD","PC_MDI","A","2021",47,
"AUT","MININCBEN","COUPL2CHLD","PC_MDI","A","2022",46,
"AUT","MININCBEN","COUPLNOCHLD","PC_MDI","A","2017",39,
"AUT","MININCBEN","COUPLNOCHLD","PC_MDI","A","2018",39,
"AUT","MININCBEN","COUPLNOCHLD","PC_MDI","A","2019",38,
"AUT","MININCBEN","COUPLNOCHLD","PC_MDI","A","2020",39,
"AUT","MININCBEN","COUPLNOCHLD","PC_MDI","A","2021",40,
"AUT","MININCBEN","COUPLNOCHLD","PC_MDI","A","2022",39,
"AUT","MININCBEN","SNGL2CHLD","PC_MDI","A","2017",46,
"AUT","MININCBEN","SNGL2CHLD","PC_MDI","A","2018",46,
"AUT","MININCBEN","SNGL2CHLD","PC_MDI","A","2019",46,
"AUT","MININCBEN","SNGL2CHLD","PC_MDI","A","2020",46,
"AUT","MININCBEN","SNGL2CHLD","PC_MDI","A","2021",47,
"AUT","MININCBEN","SNGL2CHLD","PC_MDI","A","2022",45,
"AUT","MININCBEN","SNGLNOCHLD","PC_MDI","A","2017",41,
"AUT","MININCBEN","SNGLNOCHLD","PC_MDI","A","2018",41,
"AUT","MININCBEN","SNGLNOCHLD","PC_MDI","A","2019",41,
"AUT","MININCBEN","SNGLNOCHLD","PC_MDI","A","2020",42,
"AUT","MININCBEN","SNGLNOCHLD","PC_MDI","A","2021",42,
"AUT","MININCBEN","SNGLNOCHLD","PC_MDI","A","2022",41,
"BEL","MININCBEN","COUPL2CHLD","PC_MDI","A","2017",37,
"BEL","MININCBEN","COUPL2CHLD","PC_MDI","A","2018",36,
"BEL","MININCBEN","COUPL2CHLD","PC_MDI","A","2019",36,
"BEL","MININCBEN","COUPL2CHLD","PC_MDI","A","2020",37,
"BEL","MININCBEN","COUPL2CHLD","PC_MDI","A","2021",36,
"BEL","MININCBEN","COUPL2CHLD","PC_MDI","A","2022",38,
"BEL","MININCBEN","COUPLNOCHLD","PC_MDI","A","2017",38,
