"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2018",22,
"AUS","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2019",19,
"AUS","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2020",21,
"AUS","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2021",21,
"AUS","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2018",12,
"AUS","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2019",7,
"AUS","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2020",7,
"AUS","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2021",7,
"AUT","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2018",3,
"AUT","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2019",3,
"AUT","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2020",3,
"AUT","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2021",3,
"AUT","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2018",3,
"AUT","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2019",3,
"AUT","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2020",3,
"AUT","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2021",3,
"BEL","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2018",12,
"BEL","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2019",13,
"BEL","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2020",13,
"BEL","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2021",13,
"BEL","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2018",4,
"BEL","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2019",4,
"BEL","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2020",4,
"BEL","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2021",4,
"CAN","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2018",22,
"CAN","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2019",17,
"CAN","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2020",18,
"CAN","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2021",18,
"CAN","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2018",2,
"CAN","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2019",-2,
"CAN","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2020",-2,
"CAN","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2021",-2,
"CZE","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2018",27,
"CZE","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2019",25,
"CZE","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2020",31,
"CZE","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2021",29,
"CZE","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2018",27,
"CZE","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2019",25,
"CZE","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2020",31,
"CZE","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_AVEWAGE","A","2021",29,
"DNK","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2018",11,
"DNK","CHLDCARECOST","COUPL_AVEWAGE","PC_AVEWAGE","A","2019",11,
