"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2018",16,
"AUS","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2019",14,
"AUS","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2020",14,
"AUS","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2021",15,
"AUS","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2018",17,
"AUS","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2019",15,
"AUS","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2020",16,
"AUS","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2021",16,
"AUS","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_HI","A","2018",17,
"AUS","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_HI","A","2019",10,
"AUS","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_HI","A","2020",10,
"AUS","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_HI","A","2021",10,
"AUT","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2018",3,
"AUT","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2019",3,
"AUT","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2020",3,
"AUT","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2021",3,
"AUT","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2018",3,
"AUT","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2019",2,
"AUT","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2020",3,
"AUT","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2021",2,
"AUT","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_HI","A","2018",6,
"AUT","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_HI","A","2019",5,
"AUT","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_HI","A","2020",5,
"AUT","CHLDCARECOST","SNGL_67PC_AVEWAGE","PC_HI","A","2021",5,
"BEL","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2018",9,
"BEL","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2019",9,
"BEL","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2020",9,
"BEL","CHLDCARECOST","COUPL_67PC_AVEWAGE","PC_HI","A","2021",9,
"BEL","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2018",11,
"BEL","CHLDCARECOST","COUPL_AVEWAGE","PC_HI","A","2019",11,
