"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",70,
"AUS","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",66,
"AUS","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",66,
"AUS","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",80,
"AUS","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",64,
"AUS","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",60,
"AUS","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",61,
"AUS","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",70,
"AUS","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2018",77,
"AUS","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2019",69,
"AUS","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2020",69,
"AUS","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2021",95,
"AUT","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",51,
"AUT","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",42,
"AUT","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",41,
"AUT","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",44,
"AUT","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",48,
"AUT","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",43,
"AUT","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",42,
"AUT","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",44,
"BEL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",56,
"BEL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",57,
"BEL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",59,
"BEL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",59,
"BEL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",59,
"BEL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",60,
"BEL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",61,
"BEL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",61,
"BEL","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2018",43,
"BEL","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2019",44,
"BEL","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2020",47,
"BEL","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2021",47,
"CAN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",102,
"CAN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",90,
"CAN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",90,
"CAN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",89,
"CAN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",85,
"CAN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",76,
"CAN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",76,
"CAN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",75,
"CAN","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2018",135,
"CAN","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2019",111,
"CAN","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2020",112,
"CAN","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2021",110,
"CZE","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",79,
"CZE","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",75,
"CZE","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",84,
"CZE","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",72,
"CZE","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",63,
"CZE","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",61,
"CZE","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",66,
"CZE","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",57,
"CZE","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2018",115,
"CZE","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2019",107,
"CZE","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2020",115,
"CZE","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2021",100,
"DNK","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",91,
"DNK","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",89,
"DNK","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",88,
"DNK","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",87,
"DNK","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",74,
"DNK","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",73,
"DNK","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",73,
"DNK","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",72,
"FIN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",58,
"FIN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",57,
"FIN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",54,
"FIN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",54,
"FIN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",57,
"FIN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",56,
"FIN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",53,
"FIN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",53,
"FRA","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",44,
"FRA","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",49,
"FRA","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",50,
"FRA","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",53,
"FRA","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",51,
"FRA","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",54,
"FRA","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",50,
"FRA","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",52,
"FRA","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2018",50,
"FRA","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2019",56,
"FRA","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2020",56,
"FRA","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2021",57,
"DEU","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",51,
"DEU","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",45,
"DEU","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",44,
"DEU","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",43,
"DEU","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",50,
"DEU","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",45,
"DEU","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",45,
"DEU","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",44,
"DEU","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2018",56,
"DEU","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2019",44,
"DEU","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2020",43,
"DEU","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2021",43,
"GRC","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",37,
"GRC","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",36,
"GRC","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",34,
"GRC","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",33,
"GRC","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",36,
"GRC","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",38,
"GRC","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",37,
"GRC","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",35,
"GRC","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2018",40,
"GRC","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2019",35,
"GRC","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2020",33,
"GRC","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2021",31,
"HUN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",61,
"HUN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",51,
"HUN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",49,
"HUN","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",48,
"HUN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",52,
"HUN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",45,
"HUN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",44,
"HUN","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",43,
"HUN","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2018",80,
"HUN","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2019",59,
"HUN","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2020",59,
"HUN","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2021",60,
"ISL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",58,
"ISL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",57,
"ISL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",56,
"ISL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",53,
"ISL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",54,
"ISL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",54,
"ISL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",53,
"ISL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",51,
"IRL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2018",69,
"IRL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2019",70,
"IRL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2020",64,
"IRL","FINDISINCHLDCARE","67PC_AVEWAGE","PC_EARN","A","2021",65,
"IRL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2018",60,
"IRL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2019",61,
"IRL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2020",64,
"IRL","FINDISINCHLDCARE","AVEWAGE","PC_EARN","A","2021",64,
"IRL","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2018",92,
"IRL","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2019",93,
"IRL","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2020",64,
"IRL","FINDISINCHLDCARE","MINWAGE","PC_EARN","A","2021",66,
