"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",42,
"AUS","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",42,
"AUS","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",41,
"AUS","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2020",40,
"AUS","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2021",38,
"AUS","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",40,
"AUS","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",38,
"AUS","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",36,
"AUS","FINDISINWKHR","AVEWAGE","PC_EARN","A","2020",37,
"AUS","FINDISINWKHR","AVEWAGE","PC_EARN","A","2021",35,
"AUS","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",52,
"AUS","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",50,
"AUS","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",50,
"AUS","FINDISINWKHR","MINWAGE","PC_EARN","A","2020",39,
"AUS","FINDISINWKHR","MINWAGE","PC_EARN","A","2021",40,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",41,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",41,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",24,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2020",25,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2021",26,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2022",29,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",43,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",43,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",39,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2020",38,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2021",39,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2022",41,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",60,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",61,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",62,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2020",62,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2021",63,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2022",63,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",62,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",61,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",61,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2020",61,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2021",61,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2022",61,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",35,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",29,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",29,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2020",34,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2021",36,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2022",37,
"CAN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",33,
"CAN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",33,
"CAN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",33,
"CAN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2020",33,
"CAN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2021",34,
"CAN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",38,
"CAN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",38,
"CAN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",38,
"CAN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2020",38,
"CAN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2021",37,
"CAN","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",37,
"CAN","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",37,
"CAN","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",37,
"CAN","FINDISINWKHR","MINWAGE","PC_EARN","A","2020",36,
"CAN","FINDISINWKHR","MINWAGE","PC_EARN","A","2021",34,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",30,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",31,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",31,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2020",31,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2021",22,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2022",40,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",39,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",31,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",31,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2020",31,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2021",26,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2022",26,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",49,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",45,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",20,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2020",23,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2021",11,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2022",11,
