"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2017",7,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2018",8,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2019",9,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2020",10,
"AUS","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2021",7,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2017",19,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2018",19,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2019",20,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2020",20,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2021",9,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2017",17,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2018",19,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2019",22,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2020",24,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2021",7,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2017",15,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2018",17,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2019",18,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2020",21,
"AUS","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2021",4,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2017",31,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2018",31,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2019",29,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2020",29,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2021",29,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2022",31,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2017",20,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2018",20,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2019",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2020",20,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2021",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2022",21,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2017",39,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2018",39,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2019",36,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2020",36,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2021",36,
"AUT","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2022",38,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2017",33,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2018",33,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2019",34,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2020",33,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2021",33,
"AUT","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2022",35,
"BEL","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2017",22,
"BEL","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2018",22,
"BEL","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2019",23,
"BEL","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2020",21,
"BEL","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2021",22,
"BEL","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2022",23,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2017",16,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2018",16,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2019",16,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2020",16,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2021",16,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2022",17,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2017",28,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2018",30,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2019",29,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2020",26,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2021",26,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2022",29,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2017",22,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2018",23,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2019",23,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2020",23,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2021",23,
"BEL","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2022",24,
"CAN","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2017",15,
"CAN","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2018",17,
"CAN","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2019",17,
"CAN","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2020",21,
"CAN","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2021",23,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2017",23,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2018",23,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2019",22,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2020",23,
"CAN","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2021",24,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2017",27,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2018",30,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2019",30,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2020",33,
"CAN","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2021",34,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2017",31,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2018",32,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2019",31,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2020",32,
"CAN","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2021",32,
"CZE","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2017",43,
"CZE","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2018",43,
"CZE","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2019",44,
"CZE","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2020",45,
"CZE","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2021",40,
"CZE","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2022",39,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2017",27,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2018",27,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2019",27,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2020",28,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2021",25,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2022",27,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2017",42,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2018",42,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2019",43,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2020",49,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2021",41,
"CZE","WORKEXPOV","UNEMP_COUPL2CHLD","HR_67PC_AVEWAGE","A","2022",44,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2017",36,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2018",36,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2019",36,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2020",36,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2021",36,
"CZE","WORKEXPOV","UNEMP_COUPLNOCHLD","HR_67PC_AVEWAGE","A","2022",38,
"DNK","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2017",4,
"DNK","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2018",8,
"DNK","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2019",11,
"DNK","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2020",9,
"DNK","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2021",10,
"DNK","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2022",19,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2017",21,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2018",24,
