"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2017",12,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2018",13,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2019",15,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2020",16,
"AUS","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2021",11,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2017",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2018",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2019",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2020",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2021",15,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2017",28,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2018",31,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2019",34,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2020",37,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2021",11,
"BEL","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2017",39,
"BEL","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2018",39,
"BEL","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2019",40,
"BEL","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2020",37,
"BEL","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2021",38,
"BEL","WORKEXPOV","SNGL2CHLD","HR_MINWAGE","A","2022",42,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2017",28,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2018",29,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2019",28,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2020",28,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2021",29,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2022",31,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2017",49,
"BEL","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2018",52,
