"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGELEVEL","LPAY","PC","A","2017",15.0616443644929,
"AUS","WAGELEVEL","LPAY","PC","A","2018",15.4324258284697,
"AUS","WAGELEVEL","LPAY","PC","A","2019",15.4576924077978,
"AUT","WAGELEVEL","LPAY","PC","A","2017",15.1370649130179,
"AUT","WAGELEVEL","LPAY","PC","A","2018",14.9266828183379,
"AUT","WAGELEVEL","LPAY","PC","A","2019",14.7446410862766,
"AUT","WAGELEVEL","LPAY","PC","A","2020",14.6743424195433,
"AUT","WAGELEVEL","HPAY","PC","A","2017",20.7899879587043,
"AUT","WAGELEVEL","HPAY","PC","A","2018",20.8102233823954,
"AUT","WAGELEVEL","HPAY","PC","A","2019",20.6072527416642,
"AUT","WAGELEVEL","HPAY","PC","A","2020",20.6248576069142,
"BEL","WAGELEVEL","LPAY","PC","A","2017",5.5,
"BEL","WAGELEVEL","LPAY","PC","A","2018",9.2,
"BEL","WAGELEVEL","LPAY","PC","A","2019",11.5,
"BEL","WAGELEVEL","HPAY","PC","A","2017",13.8,
"BEL","WAGELEVEL","HPAY","PC","A","2018",11.9,
"BEL","WAGELEVEL","HPAY","PC","A","2019",12.6,
"CAN","WAGELEVEL","LPAY","PC","A","2017",22.0107809846944,
"CAN","WAGELEVEL","LPAY","PC","A","2018",20.6792952745909,
"CAN","WAGELEVEL","LPAY","PC","A","2019",19.3774776501261,
"CAN","WAGELEVEL","LPAY","PC","A","2020",18.6743125446917,
"CAN","WAGELEVEL","LPAY","PC","A","2021",19.543631583376,
"CAN","WAGELEVEL","HPAY","PC","A","2017",22.5056582544189,
"CAN","WAGELEVEL","HPAY","PC","A","2018",22.1761150545507,
"CAN","WAGELEVEL","HPAY","PC","A","2019",22.6855205722467,
"CAN","WAGELEVEL","HPAY","PC","A","2020",21.603937512881,
"CAN","WAGELEVEL","HPAY","PC","A","2021",20.7086011498848,
"CZE","WAGELEVEL","LPAY","PC","A","2017",19.8700023844003,
"CZE","WAGELEVEL","LPAY","PC","A","2018",19.6800025584003,
"CZE","WAGELEVEL","LPAY","PC","A","2019",18.36,
"CZE","WAGELEVEL","LPAY","PC","A","2020",17.77,
"CZE","WAGELEVEL","LPAY","PC","A","2021",17.25,
"DNK","WAGELEVEL","LPAY","PC","A","2017",8.51944995079203,
"DNK","WAGELEVEL","LPAY","PC","A","2018",8.72529216888955,
"FIN","WAGELEVEL","LPAY","PC","A","2017",7.55308566616365,
"FIN","WAGELEVEL","LPAY","PC","A","2018",7.31696261103491,
"FIN","WAGELEVEL","LPAY","PC","A","2019",8.62715571672965,
"FIN","WAGELEVEL","HPAY","PC","A","2017",17.3007415320097,
"FIN","WAGELEVEL","HPAY","PC","A","2018",16.9503685072218,
"FIN","WAGELEVEL","HPAY","PC","A","2019",16.9999108202292,
"DEU","WAGELEVEL","LPAY","PC","A","2017",18.2056400574646,
"DEU","WAGELEVEL","LPAY","PC","A","2018",17.8328181659835,
"DEU","WAGELEVEL","LPAY","PC","A","2019",17.6354643612952,
"DEU","WAGELEVEL","LPAY","PC","A","2020",16.9838728085733,
"DEU","WAGELEVEL","HPAY","PC","A","2017",19.1190933637085,
"DEU","WAGELEVEL","HPAY","PC","A","2018",18.8073612745168,
"DEU","WAGELEVEL","HPAY","PC","A","2019",18.7002408168102,
"DEU","WAGELEVEL","HPAY","PC","A","2020",18.6247683568663,
"GRC","WAGELEVEL","LPAY","PC","A","2018",16.4285714285714,
"GRC","WAGELEVEL","LPAY","PC","A","2019",15.3926496179361,
"GRC","WAGELEVEL","LPAY","PC","A","2020",14.4725859026947,
"GRC","WAGELEVEL","HPAY","PC","A","2018",25.9999731364362,
"GRC","WAGELEVEL","HPAY","PC","A","2019",25.5794910625956,
"GRC","WAGELEVEL","HPAY","PC","A","2020",23.1215683108841,
"HUN","WAGELEVEL","LPAY","PC","A","2017",15.72,
"HUN","WAGELEVEL","LPAY","PC","A","2018",15.97,
"HUN","WAGELEVEL","LPAY","PC","A","2019",20.2640643336244,
"HUN","WAGELEVEL","LPAY","PC","A","2020",19.8492493776121,
"ISL","WAGELEVEL","LPAY","PC","A","2018",7.5986394557823,
"ISL","WAGELEVEL","HPAY","PC","A","2018",20.9986535631992,
"IRL","WAGELEVEL","LPAY","PC","A","2018",14.9027777777777,
"IRL","WAGELEVEL","LPAY","PC","A","2019",17.9795540804576,
"ITA","WAGELEVEL","LPAY","PC","A","2018",3.71171171171171,
"ITA","WAGELEVEL","LPAY","PC","A","2019",4.88824731758168,
"ITA","WAGELEVEL","HPAY","PC","A","2018",18.9999283851775,
"ITA","WAGELEVEL","HPAY","PC","A","2019",22.6514202344423,
"JPN","WAGELEVEL","LPAY","PC","A","2017",12.3226056884127,
"JPN","WAGELEVEL","LPAY","PC","A","2018",12.1153969378755,
"JPN","WAGELEVEL","LPAY","PC","A","2019",11.7871279540516,
"JPN","WAGELEVEL","LPAY","PC","A","2020",10.88446642216,
"JPN","WAGELEVEL","LPAY","PC","A","2021",10.6609969844957,
"KOR","WAGELEVEL","LPAY","PC","A","2017",22.3,
"KOR","WAGELEVEL","LPAY","PC","A","2018",19.0435686183441,
"KOR","WAGELEVEL","LPAY","PC","A","2019",16.9620432415201,
"KOR","WAGELEVEL","LPAY","PC","A","2020",15.96146924446,
"KOR","WAGELEVEL","LPAY","PC","A","2021",15.6320225695921,
"LUX","WAGELEVEL","LPAY","PC","A","2018",11.0833333333333,
"LUX","WAGELEVEL","HPAY","PC","A","2018",23.9998659531248,
"NLD","WAGELEVEL","LPAY","PC","A","2018",6.36781609195402,
"NLD","WAGELEVEL","LPAY","PC","A","2019",6.48978277319179,
