"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPAGE","25_54","PC_AGE","A","2017",80.2253,
"AUS","EMPAGE","25_54","PC_AGE","A","2018",80.96532,
"AUS","EMPAGE","25_54","PC_AGE","A","2019",81.55085,
"AUS","EMPAGE","25_54","PC_AGE","A","2020",80.11679,
"AUS","EMPAGE","25_54","PC_AGE","A","2021",81.88222,
"AUS","EMPAGE","55_64","PC_AGE","A","2017",63.58626,
"AUS","EMPAGE","55_64","PC_AGE","A","2018",63.81186,
"AUS","EMPAGE","55_64","PC_AGE","A","2019",64.47645,
"AUS","EMPAGE","55_64","PC_AGE","A","2020",63.63142,
"AUS","EMPAGE","55_64","PC_AGE","A","2021",65.37649,
"AUT","EMPAGE","15_24","PC_AGE","A","2017",50.575,
"AUT","EMPAGE","15_24","PC_AGE","A","2018",51.35,
"AUT","EMPAGE","15_24","PC_AGE","A","2019",51.625,
"AUT","EMPAGE","15_24","PC_AGE","A","2020",49.775,
"AUT","EMPAGE","15_24","PC_AGE","A","2021",50.125,
"AUT","EMPAGE","25_54","PC_AGE","A","2017",84.1,
"AUT","EMPAGE","25_54","PC_AGE","A","2018",84.55,
"AUT","EMPAGE","25_54","PC_AGE","A","2019",85.3,
"AUT","EMPAGE","25_54","PC_AGE","A","2020",83.1,
"AUT","EMPAGE","25_54","PC_AGE","A","2021",83.825,
"AUT","EMPAGE","55_64","PC_AGE","A","2017",51.275,
"AUT","EMPAGE","55_64","PC_AGE","A","2018",53.975,
"AUT","EMPAGE","55_64","PC_AGE","A","2019",54.475,
"AUT","EMPAGE","55_64","PC_AGE","A","2020",54.25,
"AUT","EMPAGE","55_64","PC_AGE","A","2021",55.4,
"BEL","EMPAGE","15_24","PC_AGE","A","2017",22.7,
"BEL","EMPAGE","15_24","PC_AGE","A","2018",24.975,
"BEL","EMPAGE","15_24","PC_AGE","A","2019",26.575,
"BEL","EMPAGE","15_24","PC_AGE","A","2020",23.875,
"BEL","EMPAGE","15_24","PC_AGE","A","2021",24.75,
"BEL","EMPAGE","25_54","PC_AGE","A","2017",79.525,
"BEL","EMPAGE","25_54","PC_AGE","A","2018",80.4,
"BEL","EMPAGE","25_54","PC_AGE","A","2019",80.75,
"BEL","EMPAGE","25_54","PC_AGE","A","2020",79.975,
"BEL","EMPAGE","25_54","PC_AGE","A","2021",80.75,
"BEL","EMPAGE","55_64","PC_AGE","A","2017",48.225,
"BEL","EMPAGE","55_64","PC_AGE","A","2018",50.35,
"BEL","EMPAGE","55_64","PC_AGE","A","2019",52.1,
"BEL","EMPAGE","55_64","PC_AGE","A","2020",53.1,
"BEL","EMPAGE","55_64","PC_AGE","A","2021",54.45,
"CAN","EMPAGE","15_24","PC_AGE","A","2017",57.11666,
