"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",82.556374,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",83.478004,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",82.946716,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",81.819893,
"NZL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",83.292053,
"GBR","EMPEDU","TRY","PC_25_64","A","2017",85.466637,
"GBR","EMPEDU","TRY","PC_25_64","A","2018",86.119209,
"GBR","EMPEDU","TRY","PC_25_64","A","2019",86.628654,
"GBR","EMPEDU","TRY","PC_25_64","A","2020",86.339325,
"GBR","EMPEDU","TRY","PC_25_64","A","2021",86.314072,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2017",67.160423,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2018",68.587822,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2019",68.791687,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2020",69.120865,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2021",66.632103,
"TUR","EMPEDU","TRY","PC_25_64","A","2017",75.208984,
"TUR","EMPEDU","TRY","PC_25_64","A","2018",74.325996,
"TUR","EMPEDU","TRY","PC_25_64","A","2019",73.619423,
"TUR","EMPEDU","TRY","PC_25_64","A","2021",72.292519,
"NLD","EMPEDU","TRY","PC_25_64","A","2017",88.830811,
"NLD","EMPEDU","TRY","PC_25_64","A","2018",89.607353,
"NLD","EMPEDU","TRY","PC_25_64","A","2019",89.671005,
"NLD","EMPEDU","TRY","PC_25_64","A","2020",89.500687,
"NLD","EMPEDU","TRY","PC_25_64","A","2021",89.027794,
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",59.319614,
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",60.870548,
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",62.335983,
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",62.153561,
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",62.988297,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2017",65.798889,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2018",64.728958,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2019",63.626556,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2020",61.423512,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2021",61.157108,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2017",65.3769,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2018",65.051361,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2019",62.385929,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2020",62.542736,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2021",64.107475,
"DEU","EMPEDU","TRY","PC_25_64","A","2017",88.58493,
"DEU","EMPEDU","TRY","PC_25_64","A","2018",88.895027,
"DEU","EMPEDU","TRY","PC_25_64","A","2019",89.345268,
"DEU","EMPEDU","TRY","PC_25_64","A","2020",88.669289,
"DEU","EMPEDU","TRY","PC_25_64","A","2021",88.338303,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2017",61.138855,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2018",61.091515,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2019",60.748222,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2020",60.465584,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2021",61.790646,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",74.074074,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",75.68013,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",76.588898,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",75.267929,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",76.822716,
"NOR","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",79.68779,
"NOR","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",80.771706,
"NOR","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",80.785126,
"NOR","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",79.452942,
"NOR","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",81.227379,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2017",39.054001,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2018",38.262417,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2019",38.039867,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2020",36.489971,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2021",29.777237,
"USA","EMPEDU","TRY","PC_25_64","A","2017",81.797844,
"USA","EMPEDU","TRY","PC_25_64","A","2018",82.208473,
"USA","EMPEDU","TRY","PC_25_64","A","2019",82.679253,
"USA","EMPEDU","TRY","PC_25_64","A","2020",81.856888,
"USA","EMPEDU","TRY","PC_25_64","A","2021",80.604126,
"RUS","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",72.559456,
"RUS","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",73.475655,
"EST","EMPEDU","TRY","PC_25_64","A","2017",85.679253,
"EST","EMPEDU","TRY","PC_25_64","A","2018",85.069229,
"EST","EMPEDU","TRY","PC_25_64","A","2019",86.615898,
"EST","EMPEDU","TRY","PC_25_64","A","2020",85.228409,
"EST","EMPEDU","TRY","PC_25_64","A","2021",87.260757,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2017",55.559578,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2018",56.757965,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2019",56.059174,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2020",55.072292,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2021",52.077045,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2017",52.307957,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.440334,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2019",50.084469,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2021",49.672829,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2017",54.064987,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2018",55.321404,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2019",55.563885,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2020",53.948326,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2021",54.440353,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2017",49.611893,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2018",50.366364,
