"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","2017",1738.4942536067,
"AUS","HRWKD","TOT","HR_WKD","A","2018",1732.53874302482,
"AUS","HRWKD","TOT","HR_WKD","A","2019",1722.31334232542,
"AUS","HRWKD","TOT","HR_WKD","A","2020",1683.11193199766,
"AUS","HRWKD","TOT","HR_WKD","A","2021",1694.12905338561,
"AUT","HRWKD","TOT","HR_WKD","A","2017",1498,
"AUT","HRWKD","TOT","HR_WKD","A","2018",1502,
"AUT","HRWKD","TOT","HR_WKD","A","2019",1508.64347667649,
"AUT","HRWKD","TOT","HR_WKD","A","2020",1400.69358244345,
"AUT","HRWKD","TOT","HR_WKD","A","2021",1442.45375748537,
"BEL","HRWKD","TOT","HR_WKD","A","2017",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2018",1580,
"BEL","HRWKD","TOT","HR_WKD","A","2019",1577,
"BEL","HRWKD","TOT","HR_WKD","A","2020",1443,
"BEL","HRWKD","TOT","HR_WKD","A","2021",1493.12638580931,
"CAN","HRWKD","TOT","HR_WKD","A","2017",1695,
"CAN","HRWKD","TOT","HR_WKD","A","2018",1708,
"CAN","HRWKD","TOT","HR_WKD","A","2019",1690,
"CAN","HRWKD","TOT","HR_WKD","A","2020",1644,
"CAN","HRWKD","TOT","HR_WKD","A","2021",1684.99840044174,
"CZE","HRWKD","TOT","HR_WKD","A","2017",1776.44770281944,
"CZE","HRWKD","TOT","HR_WKD","A","2018",1784.66636269155,
"CZE","HRWKD","TOT","HR_WKD","A","2019",1786.03344465839,
"CZE","HRWKD","TOT","HR_WKD","A","2020",1703.59653546415,
"CZE","HRWKD","TOT","HR_WKD","A","2021",1752.82063270898,
"DNK","HRWKD","TOT","HR_WKD","A","2017",1404.20432783947,
"DNK","HRWKD","TOT","HR_WKD","A","2018",1381.28888987796,
"DNK","HRWKD","TOT","HR_WKD","A","2019",1371.49881061049,
"DNK","HRWKD","TOT","HR_WKD","A","2020",1342.32701888433,
"DNK","HRWKD","TOT","HR_WKD","A","2021",1363.43075437447,
"FIN","HRWKD","TOT","HR_WKD","A","2017",1548.87961089044,
"FIN","HRWKD","TOT","HR_WKD","A","2018",1546.37323846403,
"FIN","HRWKD","TOT","HR_WKD","A","2019",1538.37118618515,
"FIN","HRWKD","TOT","HR_WKD","A","2020",1528.78994195106,
"FIN","HRWKD","TOT","HR_WKD","A","2021",1518.26736906017,
"FRA","HRWKD","TOT","HR_WKD","A","2017",1507.60482048707,
"FRA","HRWKD","TOT","HR_WKD","A","2018",1514.41032743803,
"FRA","HRWKD","TOT","HR_WKD","A","2019",1518.15725565889,
"FRA","HRWKD","TOT","HR_WKD","A","2020",1407.25763480479,
"FRA","HRWKD","TOT","HR_WKD","A","2021",1490.33174431957,
"DEU","HRWKD","TOT","HR_WKD","A","2017",1389.1,
"DEU","HRWKD","TOT","HR_WKD","A","2018",1384.7,
"DEU","HRWKD","TOT","HR_WKD","A","2019",1381.5,
"DEU","HRWKD","TOT","HR_WKD","A","2020",1324.2,
"DEU","HRWKD","TOT","HR_WKD","A","2021",1349.3,
"GRC","HRWKD","TOT","HR_WKD","A","2017",1946.94095359204,
"GRC","HRWKD","TOT","HR_WKD","A","2018",1961.08118109017,
"GRC","HRWKD","TOT","HR_WKD","A","2019",1916.66005063335,
"GRC","HRWKD","TOT","HR_WKD","A","2020",1730.73763920219,
"GRC","HRWKD","TOT","HR_WKD","A","2021",1872.23705073194,
"HUN","HRWKD","TOT","HR_WKD","A","2017",1747.4,
"HUN","HRWKD","TOT","HR_WKD","A","2018",1729.9,
"HUN","HRWKD","TOT","HR_WKD","A","2019",1722.2,
"HUN","HRWKD","TOT","HR_WKD","A","2020",1657.1,
"HUN","HRWKD","TOT","HR_WKD","A","2021",1697.1,
"ISL","HRWKD","TOT","HR_WKD","A","2017",1507.07676664972,
"ISL","HRWKD","TOT","HR_WKD","A","2018",1496.45607107601,
"ISL","HRWKD","TOT","HR_WKD","A","2019",1480.14822134387,
"ISL","HRWKD","TOT","HR_WKD","A","2020",1446.23962655602,
"ISL","HRWKD","TOT","HR_WKD","A","2021",1433.40955284553,
"IRL","HRWKD","TOT","HR_WKD","A","2017",1775,
"IRL","HRWKD","TOT","HR_WKD","A","2018",1782,
"IRL","HRWKD","TOT","HR_WKD","A","2019",1771,
"IRL","HRWKD","TOT","HR_WKD","A","2020",1746,
"IRL","HRWKD","TOT","HR_WKD","A","2021",1775,
"ITA","HRWKD","TOT","HR_WKD","A","2017",1719.2,
"ITA","HRWKD","TOT","HR_WKD","A","2018",1719.4,
"ITA","HRWKD","TOT","HR_WKD","A","2019",1710.2,
"ITA","HRWKD","TOT","HR_WKD","A","2020",1553.6,
"ITA","HRWKD","TOT","HR_WKD","A","2021",1668.5,
"JPN","HRWKD","TOT","HR_WKD","A","2017",1708.580314583,
"JPN","HRWKD","TOT","HR_WKD","A","2018",1680.16706755507,
"JPN","HRWKD","TOT","HR_WKD","A","2019",1643.81852049291,
"JPN","HRWKD","TOT","HR_WKD","A","2020",1597.98137890323,
"JPN","HRWKD","TOT","HR_WKD","A","2021",1607,
"KOR","HRWKD","TOT","HR_WKD","A","2017",2018,
"KOR","HRWKD","TOT","HR_WKD","A","2018",1993,
"KOR","HRWKD","TOT","HR_WKD","A","2019",1967,
"KOR","HRWKD","TOT","HR_WKD","A","2020",1908,
"KOR","HRWKD","TOT","HR_WKD","A","2021",1915,
"LUX","HRWKD","TOT","HR_WKD","A","2017",1508,
"LUX","HRWKD","TOT","HR_WKD","A","2018",1509,
"LUX","HRWKD","TOT","HR_WKD","A","2019",1507,
"LUX","HRWKD","TOT","HR_WKD","A","2020",1420,
"LUX","HRWKD","TOT","HR_WKD","A","2021",1382,
"MEX","HRWKD","TOT","HR_WKD","A","2017",2148.53849544537,
"MEX","HRWKD","TOT","HR_WKD","A","2018",2149.40816249208,
"MEX","HRWKD","TOT","HR_WKD","A","2019",2138.88973353248,
"MEX","HRWKD","TOT","HR_WKD","A","2020",2123.53725184504,
"MEX","HRWKD","TOT","HR_WKD","A","2021",2127.80798709157,
"NLD","HRWKD","TOT","HR_WKD","A","2017",1436.76564376979,
"NLD","HRWKD","TOT","HR_WKD","A","2018",1436.06016156463,
"NLD","HRWKD","TOT","HR_WKD","A","2019",1438.52012093411,
"NLD","HRWKD","TOT","HR_WKD","A","2020",1406.86703688181,
"NLD","HRWKD","TOT","HR_WKD","A","2021",1416.54266598044,
"NZL","HRWKD","TOT","HR_WKD","A","2017",1756,
"NZL","HRWKD","TOT","HR_WKD","A","2018",1759,
"NZL","HRWKD","TOT","HR_WKD","A","2019",1783,
"NZL","HRWKD","TOT","HR_WKD","A","2020",1739,
"NZL","HRWKD","TOT","HR_WKD","A","2021",1730,
"NOR","HRWKD","TOT","HR_WKD","A","2017",1419.5,
"NOR","HRWKD","TOT","HR_WKD","A","2018",1419.2,
"NOR","HRWKD","TOT","HR_WKD","A","2019",1418.6,
"NOR","HRWKD","TOT","HR_WKD","A","2020",1410.7,
"NOR","HRWKD","TOT","HR_WKD","A","2021",1427.1,
"POL","HRWKD","TOT","HR_WKD","A","2017",1811.61621665347,
"POL","HRWKD","TOT","HR_WKD","A","2018",1787.32860357238,
"POL","HRWKD","TOT","HR_WKD","A","2019",1782.62521918646,
"POL","HRWKD","TOT","HR_WKD","A","2020",1768.75639746518,
"POL","HRWKD","TOT","HR_WKD","A","2021",1830.23680735821,
"PRT","HRWKD","TOT","HR_WKD","A","2017",1727.14047263943,
"PRT","HRWKD","TOT","HR_WKD","A","2018",1737.70375215135,
"PRT","HRWKD","TOT","HR_WKD","A","2019",1743.93031905266,
"PRT","HRWKD","TOT","HR_WKD","A","2020",1611.19346205528,
"PRT","HRWKD","TOT","HR_WKD","A","2021",1648.9427488591,
"SVK","HRWKD","TOT","HR_WKD","A","2017",1713.78384120432,
"SVK","HRWKD","TOT","HR_WKD","A","2018",1703.92396055708,
"SVK","HRWKD","TOT","HR_WKD","A","2019",1691.98630781248,
"SVK","HRWKD","TOT","HR_WKD","A","2020",1571.98039240206,
"SVK","HRWKD","TOT","HR_WKD","A","2021",1583.15940762679,
"ESP","HRWKD","TOT","HR_WKD","A","2017",1692.4,
"ESP","HRWKD","TOT","HR_WKD","A","2018",1697.62195152733,
"ESP","HRWKD","TOT","HR_WKD","A","2019",1682.93641908017,
"ESP","HRWKD","TOT","HR_WKD","A","2020",1569.67218571875,
"ESP","HRWKD","TOT","HR_WKD","A","2021",1640.94070030968,
"SWE","HRWKD","TOT","HR_WKD","A","2017",1466.70910516774,
"SWE","HRWKD","TOT","HR_WKD","A","2018",1466.18058667684,
"SWE","HRWKD","TOT","HR_WKD","A","2019",1453.42360181864,
"SWE","HRWKD","TOT","HR_WKD","A","2020",1426.15544289783,
"SWE","HRWKD","TOT","HR_WKD","A","2021",1444.28508500871,
"CHE","HRWKD","TOT","HR_WKD","A","2017",1559.09025293729,
"CHE","HRWKD","TOT","HR_WKD","A","2018",1551.41571943214,
