"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","LF","MEN","THND_PER","A","2017",2665.525,
"PRT","LF","MEN","THND_PER","A","2018",2660.225,
"PRT","LF","MEN","THND_PER","A","2019",2657.475,
"PRT","LF","MEN","THND_PER","A","2020",2610.125,"B"
"PRT","LF","MEN","THND_PER","A","2021",2590.775,
"SVN","LF","MEN","THND_PER","A","2017",547.425,
"SVN","LF","MEN","THND_PER","A","2018",555.775,
"SVN","LF","MEN","THND_PER","A","2019",554.375,
"SVN","LF","MEN","THND_PER","A","2020",555.025,"B"
"SVN","LF","MEN","THND_PER","A","2021",551.4,
"CHL","LF","WOMEN","THND_PER","A","2017",3892.875,
"CHL","LF","WOMEN","THND_PER","A","2018",4023.785,
"CHL","LF","WOMEN","THND_PER","A","2019",4129.313,
"CHL","LF","WOMEN","THND_PER","A","2020",3631.248,
"CHL","LF","WOMEN","THND_PER","A","2021",3769.087,
"IRL","LF","WOMEN","THND_PER","A","2017",1075.25,"B"
"IRL","LF","WOMEN","THND_PER","A","2018",1098.75,
"IRL","LF","WOMEN","THND_PER","A","2019",1121.825,
"IRL","LF","WOMEN","THND_PER","A","2020",1115.2,"B"
"IRL","LF","WOMEN","THND_PER","A","2021",1184.9,
"MEX","LF","TOT","THND_PER","A","2017",53520.09,
"MEX","LF","TOT","THND_PER","A","2018",54971.52,
"MEX","LF","TOT","THND_PER","A","2019",56594.99,
"MEX","LF","TOT","THND_PER","A","2020",53304.76,"E"
"MEX","LF","TOT","THND_PER","A","2021",57530.66,
"FRA","LF","TOT","THND_PER","A","2017",29586.97,
"FRA","LF","TOT","THND_PER","A","2018",29699.8,
"FRA","LF","TOT","THND_PER","A","2019",29625.03,
"FRA","LF","TOT","THND_PER","A","2020",29345.8,"B"
"FRA","LF","TOT","THND_PER","A","2021",30092.88,
"BEL","LF","WOMEN","THND_PER","A","2017",2304.65,
"BEL","LF","WOMEN","THND_PER","A","2018",2354.95,
"BEL","LF","WOMEN","THND_PER","A","2019",2382.75,
"BEL","LF","WOMEN","THND_PER","A","2020",2372.925,"B"
"BEL","LF","WOMEN","THND_PER","A","2021",2420.35,
"CZE","LF","MEN","THND_PER","A","2017",2985.55,
"CZE","LF","MEN","THND_PER","A","2018",3000.075,
"CZE","LF","MEN","THND_PER","A","2019",3002.4,
"CZE","LF","MEN","THND_PER","A","2020",2995.025,
"CZE","LF","MEN","THND_PER","A","2021",2985.875,"B"
"FIN","LF","TOT","THND_PER","A","2017",2707.075,
"FIN","LF","TOT","THND_PER","A","2018",2741.725,
"FIN","LF","TOT","THND_PER","A","2019",2749.65,
"FIN","LF","TOT","THND_PER","A","2020",2740.875,"B"
"FIN","LF","TOT","THND_PER","A","2021",2785.225,
"ISL","LF","MEN","THND_PER","A","2017",106.775,
"ISL","LF","MEN","THND_PER","A","2018",109.95,
"ISL","LF","MEN","THND_PER","A","2019",112.475,
"ISL","LF","MEN","THND_PER","A","2020",111.25,"B"
"ISL","LF","MEN","THND_PER","A","2021",113.375,
"OECD","LF","TOT","THND_PER","A","2017",654605.6,"B"
"OECD","LF","TOT","THND_PER","A","2018",662085.1,"B"
"OECD","LF","TOT","THND_PER","A","2019",668962.8,"B"
"OECD","LF","TOT","THND_PER","A","2020",656807.4,"E"
"OECD","LF","TOT","THND_PER","A","2021",666375.9,"B"
"EST","LF","MEN","THND_PER","A","2017",360.075,
"EST","LF","MEN","THND_PER","A","2018",361.975,
