"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","MEN","PC_WKGPOP","A","2017",77.89658,
"AUS","EMP","MEN","PC_WKGPOP","A","2018",78.36244,
"AUS","EMP","MEN","PC_WKGPOP","A","2019",78.69923,
"AUS","EMP","MEN","PC_WKGPOP","A","2020",76.85204,
"AUS","EMP","MEN","PC_WKGPOP","A","2021",78.78232,
"AUS","EMP","TOT","PC_WKGPOP","A","2017",72.98936,
"AUS","EMP","TOT","PC_WKGPOP","A","2018",73.76588,
"AUS","EMP","TOT","PC_WKGPOP","A","2019",74.32264,
"AUS","EMP","TOT","PC_WKGPOP","A","2020",72.70296,
"AUS","EMP","TOT","PC_WKGPOP","A","2021",74.97159,
"AUS","EMP","WOMEN","PC_WKGPOP","A","2017",68.15321,
"AUS","EMP","WOMEN","PC_WKGPOP","A","2018",69.23586,
"AUS","EMP","WOMEN","PC_WKGPOP","A","2019",70.00863,
"AUS","EMP","WOMEN","PC_WKGPOP","A","2020",68.61752,
"AUS","EMP","WOMEN","PC_WKGPOP","A","2021",71.21827,
"AUT","EMP","MEN","PC_WKGPOP","A","2017",76.15,
"AUT","EMP","MEN","PC_WKGPOP","A","2018",77.475,
"AUT","EMP","MEN","PC_WKGPOP","A","2019",77.95,
"AUT","EMP","MEN","PC_WKGPOP","A","2020",76.05,
"AUT","EMP","MEN","PC_WKGPOP","A","2021",76.65,
"AUT","EMP","TOT","PC_WKGPOP","A","2017",72.2,
"AUT","EMP","TOT","PC_WKGPOP","A","2018",73.025,
"AUT","EMP","TOT","PC_WKGPOP","A","2019",73.525,
"AUT","EMP","TOT","PC_WKGPOP","A","2020",71.725,
"AUT","EMP","TOT","PC_WKGPOP","A","2021",72.4,
"AUT","EMP","WOMEN","PC_WKGPOP","A","2017",68.175,
"AUT","EMP","WOMEN","PC_WKGPOP","A","2018",68.625,
"AUT","EMP","WOMEN","PC_WKGPOP","A","2019",69.15,
"AUT","EMP","WOMEN","PC_WKGPOP","A","2020",67.425,
"AUT","EMP","WOMEN","PC_WKGPOP","A","2021",68.125,
"BEL","EMP","MEN","PC_WKGPOP","A","2017",67.55,
"BEL","EMP","MEN","PC_WKGPOP","A","2018",68.2,
"BEL","EMP","MEN","PC_WKGPOP","A","2019",68.85,
"BEL","EMP","MEN","PC_WKGPOP","A","2020",68.05,
"BEL","EMP","MEN","PC_WKGPOP","A","2021",68.75,
