"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMP","MEN","PC_EMP","A","2017",11.61789,
"AUS","SELFEMP","MEN","PC_EMP","A","2018",11.37172,
"AUS","SELFEMP","MEN","PC_EMP","A","2019",11.33459,
"AUS","SELFEMP","MEN","PC_EMP","A","2020",10.82315,
"AUS","SELFEMP","MEN","PC_EMP","A","2021",10.82267,
"AUS","SELFEMP","TOT","PC_EMP","A","2017",9.948956,
"AUS","SELFEMP","TOT","PC_EMP","A","2018",9.648202,
"AUS","SELFEMP","TOT","PC_EMP","A","2019",9.673334,
"AUS","SELFEMP","TOT","PC_EMP","A","2020",9.419978,
"AUS","SELFEMP","TOT","PC_EMP","A","2021",9.529204,
"AUS","SELFEMP","WOMEN","PC_EMP","A","2017",8.045096,
"AUS","SELFEMP","WOMEN","PC_EMP","A","2018",7.697906,
"AUS","SELFEMP","WOMEN","PC_EMP","A","2019",7.806888,
"AUS","SELFEMP","WOMEN","PC_EMP","A","2020",7.851676,
"AUS","SELFEMP","WOMEN","PC_EMP","A","2021",8.095675,
"AUT","SELFEMP","MEN","PC_EMP","A","2017",14.62728,
"AUT","SELFEMP","MEN","PC_EMP","A","2018",14.27996,
"AUT","SELFEMP","MEN","PC_EMP","A","2019",14.51641,
"AUT","SELFEMP","MEN","PC_EMP","A","2020",14.55356,"B"
"AUT","SELFEMP","MEN","PC_EMP","A","2021",14.10642,
"AUT","SELFEMP","TOT","PC_EMP","A","2017",12.37002,
"AUT","SELFEMP","TOT","PC_EMP","A","2018",12.00509,
"AUT","SELFEMP","TOT","PC_EMP","A","2019",12.15712,
"AUT","SELFEMP","TOT","PC_EMP","A","2020",12.21432,"B"
"AUT","SELFEMP","TOT","PC_EMP","A","2021",11.91098,
"AUT","SELFEMP","WOMEN","PC_EMP","A","2017",9.831734,
"AUT","SELFEMP","WOMEN","PC_EMP","A","2018",9.4255,
"AUT","SELFEMP","WOMEN","PC_EMP","A","2019",9.482062,
"AUT","SELFEMP","WOMEN","PC_EMP","A","2020",9.577221,"B"
"AUT","SELFEMP","WOMEN","PC_EMP","A","2021",9.421475,
"BEL","SELFEMP","MEN","PC_EMP","A","2017",17.39893,
"BEL","SELFEMP","MEN","PC_EMP","A","2018",16.92148,
