"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2017",19.890177839515,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2018",19.3563397422267,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2017",33.4254343612173,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2018",28.8987448132482,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2019",25.1328403692699,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2020",24.5320990392762,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2021",31.5239420419318,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2017",48.7943091964919,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2018",48.6773860664732,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2019",43.5104395820304,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2020",41.6391326342935,
"BEL","LTUNEMP","TOT","PC_UNEMP","A","2021",42.2961789893167,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2017",12.103240847094,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2018",10.0740205476178,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2019",8.45739336165229,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2020",5.1393728552248,
"CAN","LTUNEMP","TOT","PC_UNEMP","A","2021",16.3277880419594,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2017",35.9833041743798,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2018",31.7416558768664,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2019",30.2626266216064,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2020",22.257991415924,
"CZE","LTUNEMP","TOT","PC_UNEMP","A","2021",28.2484671468104,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2017",20.864936553904,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2018",19.411513142013,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2019",16.8713863642248,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2020",16.8919665019284,
"DNK","LTUNEMP","TOT","PC_UNEMP","A","2021",20.2856902343136,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2017",24.8628814577521,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2018",22.7557021082779,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2019",18.4881801275982,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2020",15.9032807406754,
"FIN","LTUNEMP","TOT","PC_UNEMP","A","2021",24.1566158566262,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2017",44.0315658977647,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2018",40.4071268557429,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2019",38.8331267111713,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2020",36.7497851718855,
"FRA","LTUNEMP","TOT","PC_UNEMP","A","2021",29.5411767860324,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2017",41.9107707198999,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2018",41.3501936646861,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2019",38.1583903869189,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2020",28.7280389051887,
"DEU","LTUNEMP","TOT","PC_UNEMP","A","2021",32.5677960475731,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2017",72.7519257626143,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2018",70.3467394725231,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2019",70.2012221426896,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2020",66.6499628471946,
"GRC","LTUNEMP","TOT","PC_UNEMP","A","2021",62.9146130147646,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2017",41.3231719744653,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2018",39.4893544874372,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2019",32.8483784685415,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2020",27.214691427454,
"HUN","LTUNEMP","TOT","PC_UNEMP","A","2021",31.1530029345803,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2017",10.2577409011085,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2018",13.6362688720326,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2019",7.50871783132085,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2020",10.4105103670417,
"ISL","LTUNEMP","TOT","PC_UNEMP","A","2021",21.2944825108539,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2017",46.456689867155,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2018",37.5912098678011,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2019",33.2762074639964,
"IRL","LTUNEMP","TOT","PC_UNEMP","A","2020",24.0209080045498,
