"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","UNEMP","15_24","PC_LF","A","2017",12.3,
"GBR","UNEMP","15_24","PC_LF","A","2018",11.55,
"GBR","UNEMP","15_24","PC_LF","A","2019",11.425,
"GBR","UNEMP","15_24","PC_LF","A","2020",13.725,
"GBR","UNEMP","15_24","PC_LF","A","2021",12.325,
"DNK","UNEMP","15_24","PC_LF","A","2017",12.35,
"DNK","UNEMP","15_24","PC_LF","A","2018",10.51667,
"DNK","UNEMP","15_24","PC_LF","A","2019",10.01667,
"DNK","UNEMP","15_24","PC_LF","A","2020",11.525,
"DNK","UNEMP","15_24","PC_LF","A","2021",10.8,
"NLD","UNEMP","15_24","PC_LF","A","2017",10.35833,
"NLD","UNEMP","15_24","PC_LF","A","2018",8.866667,
"NLD","UNEMP","15_24","PC_LF","A","2019",8.475,
"NLD","UNEMP","15_24","PC_LF","A","2020",10.55833,
"NLD","UNEMP","15_24","PC_LF","A","2021",9.35,
"KOR","UNEMP","15_24","PC_LF","A","2017",10.30059,
"KOR","UNEMP","15_24","PC_LF","A","2018",10.49935,
"KOR","UNEMP","15_24","PC_LF","A","2019",10.39847,
"KOR","UNEMP","15_24","PC_LF","A","2020",10.50752,
"KOR","UNEMP","15_24","PC_LF","A","2021",8.510448,
"IRL","UNEMP","15_24","PC_LF","A","2017",14.36667,
"IRL","UNEMP","15_24","PC_LF","A","2018",13.675,
"IRL","UNEMP","15_24","PC_LF","A","2019",12.425,
"IRL","UNEMP","15_24","PC_LF","A","2020",15.86667,
"IRL","UNEMP","15_24","PC_LF","A","2021",14.75,
"BEL","UNEMP","15_24","PC_LF","A","2017",19.475,
"BEL","UNEMP","15_24","PC_LF","A","2018",16.1,
"BEL","UNEMP","15_24","PC_LF","A","2019",14.5,
"BEL","UNEMP","15_24","PC_LF","A","2020",15.85,
"BEL","UNEMP","15_24","PC_LF","A","2021",18.225,
"SWE","UNEMP","15_24","PC_LF","A","2017",17.075,
"SWE","UNEMP","15_24","PC_LF","A","2018",16.69167,"B"
"SWE","UNEMP","15_24","PC_LF","A","2019",19.4,
"SWE","UNEMP","15_24","PC_LF","A","2020",23.225,
"SWE","UNEMP","15_24","PC_LF","A","2021",24.76667,
"HUN","UNEMP","15_24","PC_LF","A","2017",10.49167,
"HUN","UNEMP","15_24","PC_LF","A","2018",9.841666,
"HUN","UNEMP","15_24","PC_LF","A","2019",11.25,
"HUN","UNEMP","15_24","PC_LF","A","2020",12.44167,
"HUN","UNEMP","15_24","PC_LF","A","2021",13.44167,
"SVN","UNEMP","15_24","PC_LF","A","2017",11.325,
"SVN","UNEMP","15_24","PC_LF","A","2018",8.85,
"SVN","UNEMP","15_24","PC_LF","A","2019",8.175,
"SVN","UNEMP","15_24","PC_LF","A","2020",14.425,
"SVN","UNEMP","15_24","PC_LF","A","2021",13.075,
"SVK","UNEMP","15_24","PC_LF","A","2017",19.95,
"SVK","UNEMP","15_24","PC_LF","A","2018",15.75,
"SVK","UNEMP","15_24","PC_LF","A","2019",17.04167,
"SVK","UNEMP","15_24","PC_LF","A","2020",20.34167,
