"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",13.63616,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",12.81712,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",12.81681,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",15.2716,
"AUS","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",12.6139,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",11.47283,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",10.66178,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",10.58938,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",13.19642,
"AUS","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",9.838854,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",11.66667,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",10.3,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",9.95,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",12.61667,
"AUT","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",10.75833,
"AUT","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",9.125,
"AUT","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",9.766666,
"AUT","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",8.05,
"AUT","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",10.64167,
"AUT","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",11.275,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",20.325,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",16.65,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",16.4,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",16.125,
"BEL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",19.825,
"BEL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",18.4,
"BEL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",15.425,
"BEL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",12.325,
"BEL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",15.475,
"BEL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",16.275,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",13.06667,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",12.25833,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",12.25,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",20.61667,
"CAN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",14.58333,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",9.675,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",9.358334,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",9.566667,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",19.44167,
"CAN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",12.56667,
"CZE","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",7.383333,
"CZE","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",6.4,
"CZE","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",5.366667,
"CZE","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",7.191667,
"CZE","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",7.55,
"CZE","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",8.766666,
"CZE","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",7.166667,
"CZE","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",5.966667,
"CZE","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",9.1,
"CZE","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",9.1,
"DNK","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",13.1,
"DNK","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",11.5,
"DNK","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",10.6,
"DNK","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",12.85,
"DNK","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",9.175,
"DNK","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",9.925,
"FIN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",20.85833,
"FIN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",17.49167,
"FIN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",19.18333,
"FIN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",22.63333,
"FIN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",17.60833,
"FIN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",18.875,
"FIN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",16.43333,
"FIN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",15.35833,
"FIN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",19,
"FIN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",16.48333,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",22.26667,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",20.80833,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",20.03333,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",19.74167,
"FRA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",19,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",24.93333,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",23.45,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",21.56667,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",23.44167,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",18.80833,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",8.058333,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",7.525,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",6.991667,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",7.933333,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",7.391667,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",6.216667,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",5.525,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",5.116667,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",7.025,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",6.45,
"GRC","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",40.48333,
"GRC","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",37.71667,
"GRC","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",34.75834,
"GRC","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",34.61666,
"GRC","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",30.80833,
"GRC","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",48.825,
"GRC","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",45.38334,
"GRC","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",40.975,
"GRC","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",43.39167,
"GRC","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",40.90833,
"HUN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",9.741667,
"HUN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",9.758333,
"HUN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",12,
"HUN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",11.81667,
"HUN","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",11.88333,
"HUN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",11.46667,
"HUN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",9.9,
"HUN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",10.16667,
"HUN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",13.14167,
"HUN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",15.53333,
"ISL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",10.225,
"ISL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",6.891667,
"ISL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",13.08333,
"ISL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",12.59167,
"ISL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",13.475,
"ISL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",6.675,
"ISL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",5.958333,
"ISL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",11.29167,
"ISL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",11.03333,
"IRL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",16.00833,
"IRL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",14.75,
"IRL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",14.10833,
"IRL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",15.80833,
"IRL","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",14.51667,
"IRL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",12.575,
"IRL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",12.46667,
"IRL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2019",10.56667,
"IRL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2020",15.90833,
"IRL","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2021",15,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2017",32.875,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2018",30.375,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2019",27.825,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2020",28.15,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","A","2021",27.725,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2017",37.2,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","A","2018",34.8,
