Country;Total Ranking;Total Score;Helping a stranger Ranking;Helping a stranger Score;Donating money Ranking;Donating money Score;Volunteering time Ranking;Volunteering time Score
Indonesia;1;68%;76;58%;1;84%;1;63%
Kenya;2;61%;7;77%;20;55%;2;52%
United States of America;3;59%;4;80%;9;61%;7;37%
Australia;4;55%;34;69%;6;64%;20;33%
New Zealand;5;54%;46;66%;10;61%;14;34%
Myanmar;6;52%;83;55%;2;73%;36;28%
Sierra Leone;7;51%;1;83%;76;27%;3;44%
Canada;8;51%;50;65%;13;59%;33;29%
Zambia;9;50%;18;74%;53;35%;4;43%
Ukraine;10;49%;13;75%;29;47%;54;24%
Ireland;11;49%;87;55%;14;59%;21;32%
Thailand;12;48%;58;64%;8;62%;75;19%
Czech Republic;13;48%;54;64%;21;55%;52;24%
Nigeria;14;48%;5;79%;73;29%;13;35%
United Arab Emirates;15;47%;48;65%;18;56%;70;21%
Poland;16;47%;45;66%;26;50%;45;25%
United Kingdom;17;47%;97;52%;5;65%;55;24%
Brazil;18;47%;11;76%;38;41%;48;25%
Guinea;19;47%;26;72%;52;35%;15;33%
Philippines;20;47%;15;75%;79;26%;6;39%
Argentina;21;47%;12;76%;56;33%;24;31%
Uganda;22;46%;8;77%;78;27%;12;35%
Iceland;23;46%;109;50%;4;67%;69;22%
Denmark;24;46%;74;60%;22;55%;61;23%
Mongolia;25;46%;107;50%;24;52%;11;36%
Honduras;26;46%;37;68%;47;36%;17;33%
Serbia;27;46%;39;68%;11;60%;116;9%
Jamaica;28;46%;3;80%;95;20%;9;36%
Netherlands;29;46%;114;43%;3;68%;42;26%
Russia;30;46%;31;71%;35;42%;53;24%
Singapore;31;45%;73;61%;23;52%;57;23%
Norway;32;45%;106;50%;15;59%;41;26%
Austria;33;45%;102;51%;17;57%;38;27%
North Macedonia;34;45%;35;69%;25;51%;96;14%
Malta;35;45%;110;48%;7;64%;60;23%
Venezuela;36;45%;2;82%;87;22%;27;30%
Mexico;37;44%;10;76%;66;30%;37;27%
Dominican Republic;38;44%;25;73%;82;25%;10;36%
Paraguay;39;44%;29;71%;59;33%;31;29%
Sri Lanka;40;44%;44;66%;69;30%;8;37%
Kyrgyzstan;41;44%;47;65%;33;44%;64;23%
Bosnia and Herzegovina;42;44%;66;62%;12;60%;110;10%
Costa Rica;43;44%;6;78%;60;32%;66;22%
Kosovo;44;43%;59;64%;19;56%;106;11%
Bolivia;45;43%;14;75%;90;22%;19;33%
Ghana;46;43%;69;61%;50;35%;16;33%
Vietnam;47;43%;56;64%;39;40%;43;26%
Iran;48;43%;55;64%;27;49%;91;15%
China;49;42%;49;65%;51;35%;35;28%
Sweden;50;42%;101;51%;16;58%;81;17%
Colombia;51;42%;9;76%;80;25%;50;24%
Ecuador;52;42%;17;74%;93;21%;30;30%
Slovakia;53;41%;62;63%;36;42%;77;19%
Bulgaria;54;41%;28;72%;54;34%;80;18%
Germany;55;41%;91;54%;28;48%;72;20%
Nepal;56;40%;85;55%;46;36%;26;30%
India;57;40%;82;57%;61;31%;18;33%
Nicaragua;58;40%;51;64%;75;27%;29;30%
Uruguay;59;40%;27;72%;68;30%;78;19%
Cyprus;60;40%;64;63%;49;35%;65;22%
Senegal;61;40%;30;71%;86;24%;46;25%
Hungary;62;40%;19;73%;55;33%;101;13%
Turkey;63;40%;16;75%;57;33%;104;11%
Estonia;64;40%;84;55%;34;43%;74;20%
Burkina Faso;65;39%;72;61%;83;24%;22;32%
Tajikistan;66;39%;75;60%;108;15%;5;43%
Malawi;67;39%;20;73%;110;14%;28;30%
Peru;68;39%;33;70%;91;22%;51;24%
Slovenia;69;39%;108;50%;37;42%;49;25%
Uzbekistan;70;38%;88;54%;31;45%;90;15%
Chile;71;38%;42;67%;63;30%;86;16%
Congo Brazzaville;72;38%;36;69%;99;18%;43;26%
Mali;73;38%;60;63%;104;18%;23;32%
Finland;74;37%;95;53%;44;37%;63;23%
Iraq;75;37%;22;73%;72;29%;109;10%
Switzerland;76;37%;115;40%;30;45%;40;27%
Cameroon;77;37%;32;71%;98;19%;68;22%
Israel;78;37%;100;51%;42;39%;71;21%
Mauritius;79;37%;90;54%;58;33%;47;25%
Cote d'Ivoire;80;37%;43;67%;85;24%;73;20%
Hong Kong;81;37%;86;55%;32;44%;103;12%
Croatia;82;37%;65;63%;43;37%;108;10%
Lithuania;83;37%;52;64%;77;27%;76;19%
Panama;84;36%;53;64%;88;22%;59;23%
Saudi Arabia;85;36%;57;64%;71;29%;85;16%
El Salvador;86;36%;71;61%;96;20%;39;27%
South Africa;87;35%;67;62%;106;16%;34;28%
