event_id,event_date,event_title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
684,08/01/2008 12:00:00 AM,"Sigou Village, Loufan County, Shanxi Province","Sigou Village, Loufan County, Shanxi Province",unknown,landslide,rain,large,mine,11,,,,glc,684,China,CN,Shaanxi,0,Jingyang,41.02145,107.45,32.5625
956,01/02/2009 02:00:00 AM,"Lake Oswego, Oregon","Lake Oswego, Oregon",5km,mudslide,downpour,small,unknown,0,,,,glc,956,United States,US,Oregon,36619,Lake Oswego,0.60342,-122.663,45.42
973,01/19/2007 12:00:00 AM,"San Ramon district, 195 miles northeast of the capital, Lima, ","San Ramon district, 195 miles northeast of the capital, Lima, ",10km,landslide,downpour,large,unknown,10,,,,glc,973,Peru,PE,Junín,14708,San Ramón,0.85548,-75.3587,-11.1295
1067,07/31/2009 12:00:00 AM,Dailekh district,Dailekh district,unknown,landslide,monsoon,medium,unknown,1,,,,glc,1067,Nepal,NP,Mid Western,20908,Dailekh,0.75395,81.708,28.8378
2603,10/16/2010 12:00:00 PM,sitio Bakilid in barangay Lahug,sitio Bakilid in barangay Lahug,5km,landslide,tropical_cyclone,medium,unknown,0,,Supertyphoon Juan (Megi),,glc,2603,Philippines,PH,Central Visayas,798634,Cebu City,2.02204,123.8978,10.3336
4203,02/16/2012 12:00:00 AM,"Paguite, Abuyog, Leyte","Paguite, Abuyog, Leyte",5km,landslide,downpour,medium,unknown,0,,,,glc,4203,Philippines,PH,Eastern Visayas,2404,Balinsacayao,2.28967,124.9668,10.7004
4290,03/30/2012 12:00:00 AM,"Pend Oreille County, State Route 20 near Usk, OR","Pend Oreille County, State Route 20 near Usk, OR",5km,mudslide,downpour,small,unknown,0,,,,glc,4290,United States,US,Washington,2126,Newport,19.97241,-117.2665,48.2797
225,09/02/2007 12:00:00 AM,3 killed in Acapulco,"calle Granjas, Ampliación Miguel de la Madrid, Acapulco",10km,complex,tropical_cyclone,medium,unknown,3,,Tropical Storm Henrietta,,glc,225,Mexico,MX,Sinaloa,3191,El Limón de los Ramos,10.88351,-107.622,24.9531
236,09/05/2007 12:00:00 AM,"Warm Springs Road, Idaho","Warm Springs Road, Idaho",5km,mudslide,rain,medium,unknown,,,,,glc,236,United States,US,Idaho,2689,Ketchum,4.51471,-114.4194,43.6846
873,11/01/2008 12:00:00 AM,"Lincang City, Yunnan, Yunnan-Tibet No. 214 highway.","Lincang City, Yunnan, Yunnan-Tibet No. 214 highway.",10km,complex,downpour,medium,unknown,2,,,,glc,873,China,CN,Yunnan,0,Mengmeng,55.18512,100.0845,23.89
874,11/01/2008 12:00:00 AM,"Kunming, Yunnan","Kunming, Yunnan",25km,complex,downpour,medium,unknown,4,,,,glc,874,China,CN,Yunnan,1023674,Kunming,6.82298,102.695,25.0967
8253,12/21/2014 08:10:00 AM,"US 30, milepost 29","US 30, milepost 29",exact,landslide,unknown,unknown,above_road,0,0,,,glc,8253,United States,US,Oregon,12883,Saint Helens,0.87786,-122.8178,45.8647
954,01/01/2009 10:24:00 PM,South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,10km,mudslide,rain,small,unknown,0,,,,glc,954,United States,US,Oregon,4864,Mount Hood Village,7.43093,-122.0704,45.377
9958,07/03/2017 02:33:00 PM,Landslides block roads,"Huyện Mèo Vạc, Hà Giang",10km,landslide,downpour,small,above_road,0,0,,Date very approximate as article is sparse,,,,,,,,,105.5299971,23.14383048
955,01/02/2009 08:30:00 PM,"Gadgaron village of Matnog town, Sorsogon ","Gadgaron village of Matnog town, Sorsogon ",5km,landslide,downpour,medium,unknown,0,1,,,glc,955,Philippines,PH,Bicol,6721,Matnog,5.5353,124.0419,12.5655
957,01/03/2009 12:00:00 AM,"Suburban Portland, Oregon.","Suburban Portland, Oregon.",10km,mudslide,rain,small,unknown,0,,,,glc,957,United States,US,Oregon,583776,Portland,0.55624,-122.67,45.521
958,01/07/2009 01:41:00 AM,"Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ","Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ",1km,landslide,rain,small,unknown,0,,,,glc,958,United States,US,North Carolina,1150,Maggie Valley,2.71542,-83.071,35.507
959,01/07/2009 12:00:00 AM,"Rochester along the Cowlitz and Lewis rivers, Washington","Rochester along the Cowlitz and Lewis rivers, Washington",5km,landslide,rain,small,unknown,0,,,,glc,959,United States,US,Oregon,1895,Rainier,4.05885,-122.893,46.11
961,01/07/2009 12:00:00 AM,"Sixth Place South in Normandy Park , Washington","Sixth Place South in Normandy Park , Washington",5km,mudslide,rain,small,unknown,0,,,,glc,961,United States,US,Washington,6335,Normandy Park,0.68778,-122.334,47.432
962,01/07/2009 12:00:00 AM,"Concrete, 70 miles northeast of Seattle,Washington","Concrete, 70 miles northeast of Seattle,Washington",5km,landslide,downpour,medium,unknown,0,,,,glc,962,United States,US,Washington,1347,Darrington,33.29411,-121.75,48.538
963,01/07/2009 12:00:00 AM,"Acme area, Whatcom County, Washington","Acme area, Whatcom County, Washington",1km,mudslide,rain,small,unknown,0,,,,glc,963,United States,US,Washington,6441,Sudden Valley,10.78797,-122.2,48.72
964,01/08/2009 12:00:00 AM,"Burcham Street, Kelso, Washington","Burcham Street, Kelso,Washington",5km,mudslide,unknown,small,unknown,0,,,,glc,964,United States,US,Washington,11925,Kelso,1.87666,-122.909,46.1299
965,01/08/2009 01:00:00 AM,"9700 block of Rainier Avenue South, Seatle, Washington ","9700 block of Rainier Avenue South, Seatle, Washington ",5km,complex,rain,small,unknown,0,,,,glc,965,United States,US,Washington,22699,Mercer Island,5.27987,-122.273,47.538
966,01/08/2009 06:00:00 AM,"Mount Baker Highway at about milepost 16, Washington","Mount Baker Highway at about milepost 16, Washington",5km,mudslide,rain,small,unknown,0,,,,glc,966,United States,US,Washington,3324,Peaceful Valley,8.1479,-122.037,48.929
968,01/13/2009 12:00:00 AM,"Chehna in Jijel province, some 360 km (225 miles) from the capital Algiers","Chehna in Jijel province, some 360 km (225 miles) from the capital Algiers",5km,landslide,downpour,medium,unknown,6,,,,glc,968,Algeria,DZ,Jijel,148000,Jijel,2.88422,5.765,36.7946
969,01/13/2009 08:50:00 AM,"SR 522, near Bothell, Washington","SR 522, near Bothell, Washington",1km,mudslide,rain,small,unknown,0,,,,glc,969,United States,US,Washington,33505,Bothell,0.57422,-122.2072,47.7573
971,01/16/2009 01:00:00 PM,"Sekolah Kebangsaan Sungai Arip, Mukah about 600 km from Kuching ","Sekolah Kebangsaan Sungai Arip, Mukah about 600 km from Kuching ",10km,landslide,rain,medium,unknown,0,,,,glc,971,Malaysia,MY,Sarawak,570407,Kuching,2.42408,110.3442,1.531
972,01/19/2009 11:00:00 PM,"Buwung Mas Sekotong, about 1,060km east of the capital, Jakarta,","Buwung Mas Sekotong, about 1,060km east of the capital, Jakarta,",25km,landslide,rain,medium,unknown,4,,,,glc,972,Indonesia,ID,Nusa Tenggara Barat,0,Kampungbaru,0.63292,116.662,-8.5073
1085,08/13/2009 12:00:00 AM,Freetown,Freetown,5km,landslide,downpour,medium,unknown,7,,,,glc,1085,Sierra Leone,SL,Western Area,802639,Freetown,0.13721,-13.2287,8.4841
974,01/22/2009 12:00:00 AM,Muara District,Muara District,5km,landslide,downpour,medium,unknown,2,,,,glc,974,Brunei,BN,Brunei and Muara,64409,Bandar Seri Begawan,16.55352,115.0668,5.031
975,01/22/2009 12:00:00 AM,Mexico City,Mexico City,50km,landslide,downpour,medium,unknown,2,,,,glc,975,Mexico,MX,The Federal District,12294193,Mexico City,0.15208,-99.1276,19.4271
976,01/26/2009 12:00:00 AM,South of Naples,South of Naples,5km,mudslide,downpour,medium,unknown,2,,,,glc,976,Italy,IT,Campania,959470,Napoli,0.79183,14.252,40.8403
