Year,City,Sport,Discipline,Country,Gender,Event,Medal
1924,Chamonix,Biathlon,Biathlon,FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,SUI,Men,Military Patrol,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Gold
1924,Chamonix,Curling,Curling,FRA,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,GBR,Men,Curling,Gold
1924,Chamonix,Curling,Curling,SWE,Men,Curling,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,Ice Hockey,GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Silver
1924,Chamonix,Skating,Figure skating,AUT,Men,Individual,Silver
1924,Chamonix,Skating,Figure skating,AUT,Men,Pairs,Gold
1924,Chamonix,Skating,Figure skating,AUT,Women,Individual,Gold
1924,Chamonix,Skating,Figure skating,AUT,Women,Pairs,Gold
1924,Chamonix,Skating,Figure skating,FIN,Men,Pairs,Silver
1924,Chamonix,Skating,Figure skating,FIN,Women,Pairs,Silver
1924,Chamonix,Skating,Figure skating,FRA,Men,Pairs,Bronze
1924,Chamonix,Skating,Figure skating,FRA,Women,Pairs,Bronze
1924,Chamonix,Skating,Figure skating,GBR,Women,Individual,Bronze
1924,Chamonix,Skating,Figure skating,SUI,Men,Individual,Bronze
1924,Chamonix,Skating,Figure skating,SWE,Men,Individual,Gold
1924,Chamonix,Skating,Figure skating,USA,Women,Individual,Silver
1924,Chamonix,Skating,Speed skating,FIN,Men,10000M,Gold
1924,Chamonix,Skating,Speed skating,FIN,Men,10000M,Silver
1924,Chamonix,Skating,Speed skating,FIN,Men,1500M,Gold
1924,Chamonix,Skating,Speed skating,FIN,Men,5000M,Gold
1924,Chamonix,Skating,Speed skating,FIN,Men,5000M,Silver
1924,Chamonix,Skating,Speed skating,FIN,Men,500M,Bronze
1924,Chamonix,Skating,Speed skating,FIN,Men,Combined (4 Events),Bronze
1924,Chamonix,Skating,Speed skating,FIN,Men,Combined (4 Events),Gold
1924,Chamonix,Skating,Speed skating,NOR,Men,10000M,Bronze
1924,Chamonix,Skating,Speed skating,NOR,Men,1500M,Bronze
1924,Chamonix,Skating,Speed skating,NOR,Men,1500M,Silver
1924,Chamonix,Skating,Speed skating,NOR,Men,5000M,Bronze
1924,Chamonix,Skating,Speed skating,NOR,Men,500M,Bronze
1924,Chamonix,Skating,Speed skating,NOR,Men,500M,Silver
1924,Chamonix,Skating,Speed skating,NOR,Men,Combined (4 Events),Silver
1924,Chamonix,Skating,Speed skating,USA,Men,500M,Gold
1924,Chamonix,Skiing,Cross Country Skiing,FIN,Men,18KM,Bronze
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,18KM,Gold
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,18KM,Silver
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,50KM,Bronze
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,50KM,Gold
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,50KM,Silver
1924,Chamonix,Skiing,Nordic Combined,NOR,Men,Individual,Bronze
1924,Chamonix,Skiing,Nordic Combined,NOR,Men,Individual,Gold
1924,Chamonix,Skiing,Nordic Combined,NOR,Men,Individual,Silver
