date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,vessel_type,vessel_status
1993-01-02,NA,116.9667,19.7,NA,Hong Kong - Luzon - Hainan,CHN,TWN,357.5023726,115.8259561,22.74664352,NA,NA
1993-01-04,NA,116,22.35,NA,Hong Kong - Luzon - Hainan,CHN,CHN,47.43157252,115.8259561,22.74664352,NA,NA
1993-01-06,NA,115.25,19.67,NA,Hong Kong - Luzon - Hainan,CHN,TWN,280.8118709,114.3025008,22.04486726,NA,NA
1993-01-08,NA,124.5833,29.9,NA,East China Sea,CHN,CHN,209.9233962,122.4096786,29.91120026,NA,NA
1993-01-12,NA,120.2667,18.1333333,NA,Hong Kong - Luzon - Hainan,PHL,PHL,22.02733208,120.4700627,18.09100983,NA,NA
1993-01-13,NA,101.85,9.7173,NA,Gulf of Thailand. South China Sea,KHM,KHM,184.7966407,103.2921656,10.58315664,NA,NA
1993-01-25,NA,106.8667,8.5666667,NA,South China Sea,VNM,VNM,27.43734378,106.6557723,8.698879299,NA,NA
1993-01-26,NA,123.5,29,NA,East China Sea,CHN,CHN,141.5155643,122.3951929,29.8333194,NA,NA
1993-01-26,NA,13.25,-8.8,NA,"Luanda, Angola",AGO,AGO,0.509215669,13.24537194,-8.800062758,NA,Anchored
1993-01-26,NA,119.4,4.4333333,NA,South China Sea,PHL,PHL,25.37858765,119.4565536,4.655707098,NA,NA
1993-01-27,NA,13.25,-8.8,NA,"Port of Luanda, Angola",AGO,AGO,0.509215669,13.24537194,-8.800062758,NA,NA
1993-02-04,NA,123.1667,25.75,NA,East China Sea,NA,NA,34.60225313,123.5114852,25.7580834,NA,NA
1993-02-05,NA,7.2267,5.0016667,NA,"Bonny Anchorage, Nigeria",NGA,NGA,31.94602534,7.071787957,4.758124091,NA,Anchored
1993-02-06,NA,118.1667,16.5833333,NA,Hong Kong - Luzon - Hainan,PHL,PHL,174.7366959,119.7578231,16.21670157,NA,NA
1993-02-15,NA,121.2995,38.6974,NA,7.4 miles SE of Waglan. South China Sea,CHN,CHN,9.412733696,121.1984969,38.72785065,NA,NA
1993-02-16,NA,118.7167,19.3166667,NA,Hong Kong - Luzon - Hainan,PHL,PHL,214.9032465,120.5608016,18.48676179,NA,NA
1993-02-16,NA,39.3533,-6.775,NA,"Dar-Es-Salam Anchor, Tanzania",TZA,TZA,5.977859498,39.32650801,-6.821954034,NA,NA
1993-02-16,NA,111.0333,17.3333333,NA,Hong Kong - Luzon - Hainan,CHN,CHN,107.3275228,111.6028752,16.53335196,NA,NA
1993-02-16,NA,111.2,15.7833333,NA,NA,VNM,VNM,0.475901494,111.1962997,15.78571198,NA,NA
1993-02-16,NA,39.3533,-6.775,NA,"Dar-Es-Salam Roads, Tanzania",TZA,TZA,5.977859498,39.32650801,-6.821954034,NA,NA
1993-02-18,NA,115.25,19.67,NA,Western Luzon. Hong Kong - Luzon - Hainan,CHN,TWN,280.8118709,114.3025008,22.04486726,NA,NA
1993-02-25,NA,104.4,8.5166667,NA,South China Sea,VNM,VNM,36.79960757,104.722911,8.602687893,NA,NA
1993-02-25,NA,124.4333,36.2,NA,East China Sea,KOR,KOR,162.2626611,126.1289169,36.71190013,NA,NA
1993-02-28,NA,67.1457,24.7847,NA,"Base Creek, Anchor. Arabian Sea",PAK,PAK,1.291377263,67.15601647,24.79157136,NA,Anchored
1993-03-01,NA,50.5833,8.9333333,NA,Somalia,SOM,SOM,9.93972078,50.49488366,8.951971747,NA,NA
1993-03-03,NA,120.4667,25.4333333,NA,Taiwan Sea,CHN,CHN,61.08917382,119.8745223,25.55678946,NA,NA
1993-03-05,NA,120.0667,17.6,NA,Hong Kong - Luzon - Hainan,PHL,PHL,28.76509067,120.3338322,17.55638255,NA,NA
1993-03-06,NA,98.7167,3.8,NA,Straits of Malacca-Indonesia,IDN,IDN,0.793892444,98.71062259,3.803778387,NA,NA
1993-03-19,NA,122.7667,37.2833333,NA,East China Sea,CHN,CHN,12.77479324,122.6789657,37.37466055,NA,NA
1993-03-21,NA,115.25,19.67,NA,SW of Hong Kong. Hong Kong - Luzon - Hainan,CHN,TWN,280.8118709,114.3025008,22.04486726,NA,NA
1993-03-21,NA,109.5,15,NA,South China Sea,VNM,VNM,54.13836499,109.0808212,14.72947826,NA,NA
1993-03-23,NA,105.85,3.8166667,NA,South China Sea,IDN,IDN,68.73987072,106.2708439,3.360988674,NA,NA
1993-03-23,NA,124.3333,26.75,NA,East China Sea,NA,NA,97.18674873,124.5668238,25.89842357,NA,NA
1993-03-24,NA,-43.1667,-22.8933333,NA,"Anchorage, Rio de Janeiro, Brazil",BRA,BRA,0.539139852,-43.16209876,-22.8956845,NA,Anchored
1993-04-02,NA,121.7766,38.7931,NA,30 miles East of Waglan. Hong Kong - Luzon - Hainan,CHN,CHN,10.42762457,121.6962997,38.8629418,NA,NA
1993-04-04,NA,123.8,22.7333333,NA,Hong Kong - Luzon - Hainan,JPN,JPN,168.8271381,123.8512476,24.25698477,NA,NA
1993-04-04,NA,115.6667,22.3333333,NA,Hong Kong - Luzon - Hainan,CHN,CHN,38.27281173,115.5752189,22.66833597,NA,NA
1993-04-08,NA,111.4167,12.5166667,NA,South China Sea,VNM,VNM,211.8323817,109.4724227,12.65639883,NA,NA
1993-04-13,NA,115.25,19.67,NA,Hong Kong Harbour. Hong Kong - Luzon - Hainan,CHN,TWN,280.8118709,114.3025008,22.04486726,NA,NA
1993-04-17,NA,115.6167,17.6333333,NA,Hong Kong - Luzon - Hainan,CHN,TWN,324.7929248,112.736827,16.6602237,NA,NA
1993-04-22,NA,117.35,20.3,NA,Hong Kong - Luzon - Hainan,CHN,TWN,305.362037,116.4946879,22.93935241,NA,NA
1993-04-22,NA,98.6767,3.7766667,NA,Belawan Port. Straits of Malacca-Indonesia,IDN,IDN,4.815190419,98.71062259,3.803778387,NA,NA
1993-04-22,NA,116.0833,19.4,NA,Hong Kong - Luzon - Hainan,CHN,TWN,346.6162688,114.3025008,22.04486726,NA,NA
