Table B.2: Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Selected Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Cities Selected Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,M49 classification,Country,,Year,Number of Cases,Improved water sources,,,,,,,,,,Total Improved water (d),Access to basic drinking water services (e),Improved sanitation facilities,,,,,,,Total Improved Sanitation (f),Access to basic sanitation services (g),Basic hand-washing facility (h),Durable housing (i),,,Sufficient living area (j),,,,Type of main cooking fuel,,,,,Source
,,,,,,Piped water sources,,,Non-piped water sources,,,,,,,,,Sewered facilities,Non-sewered facilities,,,,,,,,,,,,,Other basic services,,,Clean fuel,,,,Solid Fuel (k),
,,,City/Region name,,,Piped water (a),Public tap,Total piped,Borehole/ tubewell,Protected well,Protected Spring,Rainwater,Delivered water (b),Packaged water (c),Total non-piped,,,Connection to sewerage,Composting toilet,VIP toilet facility,Flush septic,Flush to Pit Latrine,Pit latrine with slab,Total non sewered,,,,Durable floor material,Durable wall material,Durable roof material,,Telephone,Mobile phone,Electricity,Electricity,LPG/ Natural gas,Biogas,Total clean fuel,,
Middle Africa,Sub-Saharan Africa,Angola,Luanda,2006,"5,418",35.8,13.8,49.6,1.3,0,0.3,0.1,48.8,0,50.4,100,16.4,0.5,,1.5,39.8,1.6,34.1,77.5,93.8,,,97.2,,,100,89.5,40.3,74.3,0.2,94.7,2.8,97.6,2.4,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Angola,Luanda,2011,"9,851",28.9,27,55.9,0,0.5,5.6,0.3,35.9,0.8,43.2,99.1,,19.3,0.4,3.5,27.5,3.7,40.1,75.2,94.5,,,95.7,95.6,98.3,59.5,,97,88.4,1,95.1,0,96.1,3.8,UN-Habitat_DHS
Middle Africa,Sub-Saharan Africa,Angola,Luanda,2015,"25,359",32.2,24,56.1,0.2,2.9,0.2,0.2,34.2,2.3,39.9,95.9,71.2,12.8,,,84.5,,,84.5,97.3,71.8,45.8,94.5,96.2,99.2,67.5,5.5,94.9,82.3,1.9,95.2,0,97.1,2.7,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Benin,Cotonou,1996,"2,840",96.3,0,96.3,0,1.6,0,0,0,0,1.6,97.9,,,,,9.9,,61.8,61.8,71.7,,,95.1,88.7,99.6,65.3,,,60.3,0,3.3,,3.3,96.2,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Benin,Cotonou,2001,"3,556",99.9,0,99.9,0,0,,0,0,0.1,0.1,100,98.2,12.4,,67.8,,0,,67.8,80.2,26,,97.8,87.8,98.8,,16.2,,77.5,0,4.7,,4.7,92,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Benin,Cotonou,2011,"10,708",68.9,23.2,92.1,4.8,1.5,0.2,0.1,0,0.1,6.6,98.7,98.7,,,,22.1,,45.6,81.5,25.1,,,95.4,93.8,90.2,60.7,,,91.5,0.3,20.1,3.3,23.7,75.9,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Benin,Cotonou,2018,"3,740",95.7,0.8,96.5,0.8,0.6,0,0,0,0.4,1.8,98.3,98.3,,,,23.5,,30.3,85.1,85.5,34.3,,95.7,89.2,99.1,68.5,,,86.9,1.4,25.9,,28.2,70.4,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Benin,Djouguo,1996,979,67.8,0,67.8,0,3.1,0,16.1,0,0,19.2,87,,,,,0,,44.2,44.2,44.2,,,77.5,46.1,95.7,70.2,,,33.1,0,0,,0,99.5,UN-Habitat_DHS
