"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AGRSUPP","TSE","PC_GDP","A","2017",0.198370492,
"AUS","AGRSUPP","TSE","PC_GDP","A","2018",0.1766925064,
"AUS","AGRSUPP","TSE","PC_GDP","A","2019",0.1760848033,
"AUS","AGRSUPP","TSE","PC_GDP","A","2020",0.2108612844,
"AUS","AGRSUPP","TSE","PC_GDP","A","2021",0.2022351314,
"CAN","AGRSUPP","TSE","PC_GDP","A","2017",0.3247299119,
"CAN","AGRSUPP","TSE","PC_GDP","A","2018",0.3158780065,
"CAN","AGRSUPP","TSE","PC_GDP","A","2019",0.344699011,
"CAN","AGRSUPP","TSE","PC_GDP","A","2020",0.3768544908,
"CAN","AGRSUPP","TSE","PC_GDP","A","2021",0.4936769964,
"ISL","AGRSUPP","TSE","PC_GDP","A","2017",1.0898991627,
"ISL","AGRSUPP","TSE","PC_GDP","A","2018",0.9836177123,
"ISL","AGRSUPP","TSE","PC_GDP","A","2019",0.9367869659,
"ISL","AGRSUPP","TSE","PC_GDP","A","2020",0.9898455183,
"ISL","AGRSUPP","TSE","PC_GDP","A","2021",0.9356270435,
"JPN","AGRSUPP","TSE","PC_GDP","A","2017",0.9588860905,
"JPN","AGRSUPP","TSE","PC_GDP","A","2018",0.9148781561,
"JPN","AGRSUPP","TSE","PC_GDP","A","2019",0.9259719108,
"JPN","AGRSUPP","TSE","PC_GDP","A","2020",1.0489714291,
"JPN","AGRSUPP","TSE","PC_GDP","A","2021",0.8531959967,
"KOR","AGRSUPP","TSE","PC_GDP","A","2017",1.5395436713,
"KOR","AGRSUPP","TSE","PC_GDP","A","2018",1.5733200819,
"KOR","AGRSUPP","TSE","PC_GDP","A","2019",1.4520902105,
"KOR","AGRSUPP","TSE","PC_GDP","A","2020",1.5313613625,
"KOR","AGRSUPP","TSE","PC_GDP","A","2021",1.4976191896,
"MEX","AGRSUPP","TSE","PC_GDP","A","2017",0.5551841537,
"MEX","AGRSUPP","TSE","PC_GDP","A","2018",0.5993026724,
"MEX","AGRSUPP","TSE","PC_GDP","A","2019",0.5643125161,
