"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AQUAPROD","TOT","TONNE","A","2017",93818.098,
"AUS","AQUAPROD","TOT","TONNE","A","2018",97671.92,
"AUS","AQUAPROD","TOT","TONNE","A","2019",94085.535,
"AUS","AQUAPROD","TOT","TONNE","A","2020",106088.351,
"AUT","AQUAPROD","TOT","TONNE","A","2017",3861.6,
"AUT","AQUAPROD","TOT","TONNE","A","2018",3990.6,
"AUT","AQUAPROD","TOT","TONNE","A","2019",4250.025,
"AUT","AQUAPROD","TOT","TONNE","A","2020",4527.368,
"BEL","AQUAPROD","TOT","TONNE","A","2017",75,
"BEL","AQUAPROD","TOT","TONNE","A","2018",111,
"BEL","AQUAPROD","TOT","TONNE","A","2019",86,
"BEL","AQUAPROD","TOT","TONNE","A","2020",209,
"CAN","AQUAPROD","TOT","TONNE","A","2017",191616,
"CAN","AQUAPROD","TOT","TONNE","A","2018",191373,
"CAN","AQUAPROD","TOT","TONNE","A","2019",187226,
"CAN","AQUAPROD","TOT","TONNE","A","2020",171007,
"CZE","AQUAPROD","TOT","TONNE","A","2017",21685,
"CZE","AQUAPROD","TOT","TONNE","A","2018",21751,
"CZE","AQUAPROD","TOT","TONNE","A","2019",20986,
"CZE","AQUAPROD","TOT","TONNE","A","2020",20401,
"DNK","AQUAPROD","TOT","TONNE","A","2017",37498,"E"
"DNK","AQUAPROD","TOT","TONNE","A","2018",36453,"E"
"DNK","AQUAPROD","TOT","TONNE","A","2019",40221.49,
"DNK","AQUAPROD","TOT","TONNE","A","2020",42629,
"FIN","AQUAPROD","TOT","TONNE","A","2017",14586.9,
"FIN","AQUAPROD","TOT","TONNE","A","2018",14163.7,
"FIN","AQUAPROD","TOT","TONNE","A","2019",15295.8,
"FIN","AQUAPROD","TOT","TONNE","A","2020",15052.9,
"FRA","AQUAPROD","TOT","TONNE","A","2017",188605.81,
"FRA","AQUAPROD","TOT","TONNE","A","2018",187465.08,
"FRA","AQUAPROD","TOT","TONNE","A","2019",196151.36,
"FRA","AQUAPROD","TOT","TONNE","A","2020",191350,"E"
"DEU","AQUAPROD","TOT","TONNE","A","2017",35979,
"DEU","AQUAPROD","TOT","TONNE","A","2018",34196,
"DEU","AQUAPROD","TOT","TONNE","A","2019",40756,
"DEU","AQUAPROD","TOT","TONNE","A","2020",32258,
"GRC","AQUAPROD","TOT","TONNE","A","2017",125524.7,
"GRC","AQUAPROD","TOT","TONNE","A","2018",132364.52,
"GRC","AQUAPROD","TOT","TONNE","A","2019",128821.578,
"GRC","AQUAPROD","TOT","TONNE","A","2020",131737.165,
"HUN","AQUAPROD","TOT","TONNE","A","2017",18257.5,
"HUN","AQUAPROD","TOT","TONNE","A","2018",17852.3,
"HUN","AQUAPROD","TOT","TONNE","A","2019",17283.305,
"HUN","AQUAPROD","TOT","TONNE","A","2020",18373.345,
"ISL","AQUAPROD","TOT","TONNE","A","2017",20858.7,
"ISL","AQUAPROD","TOT","TONNE","A","2018",19185,
"ISL","AQUAPROD","TOT","TONNE","A","2019",33958.864,
"ISL","AQUAPROD","TOT","TONNE","A","2020",40595.06,
"IRL","AQUAPROD","TOT","TONNE","A","2017",45433.1,
"IRL","AQUAPROD","TOT","TONNE","A","2018",36895.9,
"IRL","AQUAPROD","TOT","TONNE","A","2019",37913.7,
"IRL","AQUAPROD","TOT","TONNE","A","2020",37750.7,
"ITA","AQUAPROD","TOT","TONNE","A","2017",156625,"E"
"ITA","AQUAPROD","TOT","TONNE","A","2018",145000.183,
"ITA","AQUAPROD","TOT","TONNE","A","2019",132377.8,"E"
"ITA","AQUAPROD","TOT","TONNE","A","2020",122778.259,
"JPN","AQUAPROD","TOT","TONNE","A","2017",1023192.201,
"JPN","AQUAPROD","TOT","TONNE","A","2018",1034919.655,
"JPN","AQUAPROD","TOT","TONNE","A","2019",946642.842,
"JPN","AQUAPROD","TOT","TONNE","A","2020",996297.329,
"KOR","AQUAPROD","TOT","TONNE","A","2017",2334719,
"KOR","AQUAPROD","TOT","TONNE","A","2018",2278850,"E"
"KOR","AQUAPROD","TOT","TONNE","A","2019",2399720,
"KOR","AQUAPROD","TOT","TONNE","A","2020",2327903,
"MEX","AQUAPROD","TOT","TONNE","A","2017",243307.314,
"MEX","AQUAPROD","TOT","TONNE","A","2018",247222.423,
"MEX","AQUAPROD","TOT","TONNE","A","2019",251242.01,
"MEX","AQUAPROD","TOT","TONNE","A","2020",278693.813,
"NLD","AQUAPROD","TOT","TONNE","A","2017",52185,"E"
"NLD","AQUAPROD","TOT","TONNE","A","2018",53485,"E"
"NLD","AQUAPROD","TOT","TONNE","A","2019",46350,"E"
"NLD","AQUAPROD","TOT","TONNE","A","2020",39940,"E"
"NZL","AQUAPROD","TOT","TONNE","A","2017",116530,
"NZL","AQUAPROD","TOT","TONNE","A","2018",104549,
"NZL","AQUAPROD","TOT","TONNE","A","2019",114582,
"NZL","AQUAPROD","TOT","TONNE","A","2020",118582,
"NOR","AQUAPROD","TOT","TONNE","A","2017",1308633.787,
"NOR","AQUAPROD","TOT","TONNE","A","2018",1355116.799,
"NOR","AQUAPROD","TOT","TONNE","A","2019",1453042.383,
"NOR","AQUAPROD","TOT","TONNE","A","2020",1490412.045,
"POL","AQUAPROD","TOT","TONNE","A","2017",38799.77,
"POL","AQUAPROD","TOT","TONNE","A","2018",43361.335,
"POL","AQUAPROD","TOT","TONNE","A","2019",44719,
"POL","AQUAPROD","TOT","TONNE","A","2020",47700,"E"
"PRT","AQUAPROD","TOT","TONNE","A","2017",12508.74,
"PRT","AQUAPROD","TOT","TONNE","A","2018",13991.176,
"PRT","AQUAPROD","TOT","TONNE","A","2019",13690.77,
"PRT","AQUAPROD","TOT","TONNE","A","2020",14551.75,
"SVK","AQUAPROD","TOT","TONNE","A","2017",2646.264,
