"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIFLOW","INWARD","PC_GDP","A","2017",3.2014818887071,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2018",4.708096375063,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2019",2.8480177125879,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2020",1.4158443777366,
"AUS","FDIFLOW","INWARD","PC_GDP","A","2021",1.6047417430418,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2017",3.577175137506,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2018",1.2108985562436,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2019",1.0748897815609,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2020",-2.1408036253677,
"AUT","FDIFLOW","INWARD","PC_GDP","A","2021",2.8371274079577,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2017",-0.60814881127368,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2018",4.988095696988,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2019",2.2151517985989,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2020",1.3015227604948,
"BEL","FDIFLOW","INWARD","PC_GDP","A","2021",1.9311683863814,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2017",1.3802601486178,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2018",2.1868415244961,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2019",2.8791033433623,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2020",1.408391653448,
"CAN","FDIFLOW","INWARD","PC_GDP","A","2021",3.0298313738527,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2017",4.3534721823416,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2018",4.4227430491717,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2019",4.0035619768854,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2020",3.8258275299083,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2021",2.0601600189656,
"DNK","FDIFLOW","INWARD","PC_GDP","A","2017",1.1355027446692,
"DNK","FDIFLOW","INWARD","PC_GDP","A","2018",0.48070292999054,
"DNK","FDIFLOW","INWARD","PC_GDP","A","2019",2.0350258427321,
"DNK","FDIFLOW","INWARD","PC_GDP","A","2020",0.47442502801028,
"DNK","FDIFLOW","INWARD","PC_GDP","A","2021",1.1751713258061,
"FIN","FDIFLOW","INWARD","PC_GDP","A","2017",1.1177971164528,
"FIN","FDIFLOW","INWARD","PC_GDP","A","2018",-0.78719798038192,
