"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIFLOW","INWARD","MLN_USD","A","2017",45220.323396429,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2018",68461.940688728,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2019",39218.044067561,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2020",20140.350877193,
"AUS","FDIFLOW","INWARD","MLN_USD","A","2021",27516.334960571,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2017",14926.163904859,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2018",5511.6251622802,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2019",4783.3874398298,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2020",-9275.2136752137,
"AUT","FDIFLOW","INWARD","MLN_USD","A","2021",13526.490066225,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2017",-3057.1525194454,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2018",27119.084149652,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2019",11859.397738722,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2020",6789.7435897436,
"BEL","FDIFLOW","INWARD","MLN_USD","A","2021",11584.673604541,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2017",22764.155821662,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2018",37653.520660751,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2019",50141.784359608,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2020",23174.005829481,
"CAN","FDIFLOW","INWARD","MLN_USD","A","2021",60243.237035102,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2017",9517.9483440594,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2018",11010.423243656,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2019",10108.913920396,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2020",9410.5639633818,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2021",5805.075638081,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2017",3771.2442061256,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2018",1715.5302130356,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2019",7072.9622743358,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2020",1685.2644451238,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2021",4680.7461713395,
"FIN","FDIFLOW","INWARD","MLN_USD","A","2017",2857.6259722692,
"FIN","FDIFLOW","INWARD","MLN_USD","A","2018",-2170.423698808,
"FIN","FDIFLOW","INWARD","MLN_USD","A","2019",13454.606515168,
"FIN","FDIFLOW","INWARD","MLN_USD","A","2020",-1574.9287749288,
"FIN","FDIFLOW","INWARD","MLN_USD","A","2021",13804.399243141,
"FRA","FDIFLOW","INWARD","MLN_USD","A","2017",24780.123544944,
"FRA","FDIFLOW","INWARD","MLN_USD","A","2018",41806.555352358,
"FRA","FDIFLOW","INWARD","MLN_USD","A","2019",13099.799088589,
"FRA","FDIFLOW","INWARD","MLN_USD","A","2020",2149.3322954832,
"FRA","FDIFLOW","INWARD","MLN_USD","A","2021",26972.820176308,
"DEU","FDIFLOW","INWARD","MLN_USD","A","2017",48537.786044414,
"DEU","FDIFLOW","INWARD","MLN_USD","A","2018",72053.068570754,
"DEU","FDIFLOW","INWARD","MLN_USD","A","2019",52663.789320497,
"DEU","FDIFLOW","INWARD","MLN_USD","A","2020",64442.495726496,
"DEU","FDIFLOW","INWARD","MLN_USD","A","2021",31262.887890255,
"GRC","FDIFLOW","INWARD","MLN_USD","A","2017",3477.4350884906,
"GRC","FDIFLOW","INWARD","MLN_USD","A","2018",3970.8529965774,
"GRC","FDIFLOW","INWARD","MLN_USD","A","2019",5019.2122735923,
"GRC","FDIFLOW","INWARD","MLN_USD","A","2020",3205.2211874644,
"GRC","FDIFLOW","INWARD","MLN_USD","A","2021",6327.4229517502,
"HUN","FDIFLOW","INWARD","MLN_USD","A","2017",3514.3430655605,
"HUN","FDIFLOW","INWARD","MLN_USD","A","2018",6460.1031636304,
"HUN","FDIFLOW","INWARD","MLN_USD","A","2019",4448.3826985719,
"HUN","FDIFLOW","INWARD","MLN_USD","A","2020",7038.5505694479,
"HUN","FDIFLOW","INWARD","MLN_USD","A","2021",7491.5513167587,
"ISL","FDIFLOW","INWARD","MLN_USD","A","2017",-41.404785842802,
"ISL","FDIFLOW","INWARD","MLN_USD","A","2018",-381.57631018211,
"ISL","FDIFLOW","INWARD","MLN_USD","A","2019",-224.85149201094,
"ISL","FDIFLOW","INWARD","MLN_USD","A","2020",-928.09167533965,
"ISL","FDIFLOW","INWARD","MLN_USD","A","2021",24.994072474145,
"IRL","FDIFLOW","INWARD","MLN_USD","A","2017",52722.353736896,
"IRL","FDIFLOW","INWARD","MLN_USD","A","2018",-12511.507140328,
"IRL","FDIFLOW","INWARD","MLN_USD","A","2019",158488.74958021,
"IRL","FDIFLOW","INWARD","MLN_USD","A","2020",82121.937321937,
"IRL","FDIFLOW","INWARD","MLN_USD","A","2021",15926.059689413,
"ITA","FDIFLOW","INWARD","MLN_USD","A","2017",23995.849396911,
"ITA","FDIFLOW","INWARD","MLN_USD","A","2018",37658.715921161,
"ITA","FDIFLOW","INWARD","MLN_USD","A","2019",18145.40244039,
"ITA","FDIFLOW","INWARD","MLN_USD","A","2020",-23568.315669516,
"ITA","FDIFLOW","INWARD","MLN_USD","A","2021",-8953.7263481552,
"JPN","FDIFLOW","INWARD","MLN_USD","A","2017",9354.172848183,
"JPN","FDIFLOW","INWARD","MLN_USD","A","2018",9961.4018676757,
"JPN","FDIFLOW","INWARD","MLN_USD","A","2019",13750.802541893,
"JPN","FDIFLOW","INWARD","MLN_USD","A","2020",10703.787972058,
"JPN","FDIFLOW","INWARD","MLN_USD","A","2021",24649.566086833,
"KOR","FDIFLOW","INWARD","MLN_USD","A","2017",12699,
"KOR","FDIFLOW","INWARD","MLN_USD","A","2018",13299,
"KOR","FDIFLOW","INWARD","MLN_USD","A","2019",12547.99,
"KOR","FDIFLOW","INWARD","MLN_USD","A","2020",6836.57,
"KOR","FDIFLOW","INWARD","MLN_USD","A","2021",16819.7,
"LUX","FDIFLOW","INWARD","MLN_USD","A","2017",-27311.464321948,
"LUX","FDIFLOW","INWARD","MLN_USD","A","2018",-83284.550926472,
"LUX","FDIFLOW","INWARD","MLN_USD","A","2019",163713.19825367,
"LUX","FDIFLOW","INWARD","MLN_USD","A","2020",68694.017094017,
"LUX","FDIFLOW","INWARD","MLN_USD","A","2021",6605.9602649007,
"MEX","FDIFLOW","INWARD","MLN_USD","A","2017",34032.157931,
"MEX","FDIFLOW","INWARD","MLN_USD","A","2018",34084.326905,
"MEX","FDIFLOW","INWARD","MLN_USD","A","2019",34373.924564,
"MEX","FDIFLOW","INWARD","MLN_USD","A","2020",28132.62654,
"MEX","FDIFLOW","INWARD","MLN_USD","A","2021",31517.39183,
"NLD","FDIFLOW","INWARD","MLN_USD","A","2017",20545.448277534,
"NLD","FDIFLOW","INWARD","MLN_USD","A","2018",99319.400136905,
"NLD","FDIFLOW","INWARD","MLN_USD","A","2019",-1140.234143065,
"NLD","FDIFLOW","INWARD","MLN_USD","A","2020",-86310.481075783,
"NLD","FDIFLOW","INWARD","MLN_USD","A","2021",-77443.666538553,
"NZL","FDIFLOW","INWARD","MLN_USD","A","2017",2720.6195822083,
"NZL","FDIFLOW","INWARD","MLN_USD","A","2018",2297.3159933592,
"NZL","FDIFLOW","INWARD","MLN_USD","A","2019",4272.7272727273,
"NZL","FDIFLOW","INWARD","MLN_USD","A","2020",3889.1772644692,
"NZL","FDIFLOW","INWARD","MLN_USD","A","2021",3992.2206506365,
"NOR","FDIFLOW","INWARD","MLN_USD","A","2017",-5922.3793978963,
"NOR","FDIFLOW","INWARD","MLN_USD","A","2018",225.81993411024,
"NOR","FDIFLOW","INWARD","MLN_USD","A","2019",17354.465483145,
"NOR","FDIFLOW","INWARD","MLN_USD","A","2020",-4269.1114605023,
"NOR","FDIFLOW","INWARD","MLN_USD","A","2021",13568.527032532,
"POL","FDIFLOW","INWARD","MLN_USD","A","2017",9536.5517433623,
"POL","FDIFLOW","INWARD","MLN_USD","A","2018",16376.288032858,
"POL","FDIFLOW","INWARD","MLN_USD","A","2019",13326.296250478,
"POL","FDIFLOW","INWARD","MLN_USD","A","2020",15274.346174417,
"POL","FDIFLOW","INWARD","MLN_USD","A","2021",29462.439052387,
"PRT","FDIFLOW","INWARD","MLN_USD","A","2017",6912.4112275955,
"PRT","FDIFLOW","INWARD","MLN_USD","A","2018",7174.5544671309,
"PRT","FDIFLOW","INWARD","MLN_USD","A","2019",12251.203403112,
"PRT","FDIFLOW","INWARD","MLN_USD","A","2020",7666.0968660969,
"PRT","FDIFLOW","INWARD","MLN_USD","A","2021",8681.4096499527,
"SVK","FDIFLOW","INWARD","MLN_USD","A","2017",4008.2128858077,
"SVK","FDIFLOW","INWARD","MLN_USD","A","2018",1643.4887123805,
"SVK","FDIFLOW","INWARD","MLN_USD","A","2019",2510.5702507556,
"SVK","FDIFLOW","INWARD","MLN_USD","A","2020",-2398.0814415954,
"SVK","FDIFLOW","INWARD","MLN_USD","A","2021",58.701518448439,
"ESP","FDIFLOW","INWARD","MLN_USD","A","2017",41876.90226581,
"ESP","FDIFLOW","INWARD","MLN_USD","A","2018",57427.121444589,
"ESP","FDIFLOW","INWARD","MLN_USD","A","2019",18525.691257136,
"ESP","FDIFLOW","INWARD","MLN_USD","A","2020",13778.917378917,
"ESP","FDIFLOW","INWARD","MLN_USD","A","2021",18947.492904447,
"SWE","FDIFLOW","INWARD","MLN_USD","A","2017",12511.407511408,
"SWE","FDIFLOW","INWARD","MLN_USD","A","2018",3806.7292644757,
"SWE","FDIFLOW","INWARD","MLN_USD","A","2019",9110.608191711,
"SWE","FDIFLOW","INWARD","MLN_USD","A","2020",19127.007394378,
"SWE","FDIFLOW","INWARD","MLN_USD","A","2021",25794.2846483,
"CHE","FDIFLOW","INWARD","MLN_USD","A","2017",119135.79876176,
"CHE","FDIFLOW","INWARD","MLN_USD","A","2018",-95712.181756412,
"CHE","FDIFLOW","INWARD","MLN_USD","A","2019",-91206.820002437,
"CHE","FDIFLOW","INWARD","MLN_USD","A","2020",-42186.503360511,
"CHE","FDIFLOW","INWARD","MLN_USD","A","2021",12098.304117608,
"TUR","FDIFLOW","INWARD","MLN_USD","A","2017",10958.91,
"TUR","FDIFLOW","INWARD","MLN_USD","A","2018",12535.19,
"TUR","FDIFLOW","INWARD","MLN_USD","A","2019",9662.42,
"TUR","FDIFLOW","INWARD","MLN_USD","A","2020",7733.89,
"TUR","FDIFLOW","INWARD","MLN_USD","A","2021",12365.96,
"GBR","FDIFLOW","INWARD","MLN_USD","A","2017",96400.978624775,
"GBR","FDIFLOW","INWARD","MLN_USD","A","2018",87817.79378418,
"GBR","FDIFLOW","INWARD","MLN_USD","A","2019",53907.605921388,
"GBR","FDIFLOW","INWARD","MLN_USD","A","2020",58259.587020649,
"GBR","FDIFLOW","INWARD","MLN_USD","A","2021",23088.03301238,
"USA","FDIFLOW","INWARD","MLN_USD","A","2017",325073,
"USA","FDIFLOW","INWARD","MLN_USD","A","2018",216415,
"USA","FDIFLOW","INWARD","MLN_USD","A","2019",256715,
"USA","FDIFLOW","INWARD","MLN_USD","A","2020",109120,
"USA","FDIFLOW","INWARD","MLN_USD","A","2021",405296,
"ARG","FDIFLOW","INWARD","MLN_USD","A","2017",11516.8,
"ARG","FDIFLOW","INWARD","MLN_USD","A","2018",11716.8,
"ARG","FDIFLOW","INWARD","MLN_USD","A","2019",6649,
"ARG","FDIFLOW","INWARD","MLN_USD","A","2020",4723,
"ARG","FDIFLOW","INWARD","MLN_USD","A","2021",6782,
"BRA","FDIFLOW","INWARD","MLN_USD","A","2017",66584.92744386,
"BRA","FDIFLOW","INWARD","MLN_USD","A","2018",59802.40648982,
"BRA","FDIFLOW","INWARD","MLN_USD","A","2019",65386,
"BRA","FDIFLOW","INWARD","MLN_USD","A","2020",28318.45132417,
"BRA","FDIFLOW","INWARD","MLN_USD","A","2021",50367.41633359,
"CHL","FDIFLOW","INWARD","MLN_USD","A","2017",6694.6040256459,
"CHL","FDIFLOW","INWARD","MLN_USD","A","2018",13030.519361932,
"CHL","FDIFLOW","INWARD","MLN_USD","A","2019",14403.43390085,
"CHL","FDIFLOW","INWARD","MLN_USD","A","2020",8860.7888012176,
"CHL","FDIFLOW","INWARD","MLN_USD","A","2021",14188.77504882,
"CHN","FDIFLOW","INWARD","MLN_USD","A","2017",166083.7557,
"CHN","FDIFLOW","INWARD","MLN_USD","A","2018",235365.1,
"CHN","FDIFLOW","INWARD","MLN_USD","A","2019",187169.8,
"CHN","FDIFLOW","INWARD","MLN_USD","A","2020",253095.6,
"CHN","FDIFLOW","INWARD","MLN_USD","A","2021",333979,
"EST","FDIFLOW","INWARD","MLN_USD","A","2017",1946.6339758765,
"EST","FDIFLOW","INWARD","MLN_USD","A","2018",1516.3082733388,
"EST","FDIFLOW","INWARD","MLN_USD","A","2019",3195.5938654427,
"EST","FDIFLOW","INWARD","MLN_USD","A","2020",3466.9595441595,
"EST","FDIFLOW","INWARD","MLN_USD","A","2021",187.97185430464,
"IND","FDIFLOW","INWARD","MLN_USD","A","2017",39966.09136,
"IND","FDIFLOW","INWARD","MLN_USD","A","2018",42117.450708886,
"IND","FDIFLOW","INWARD","MLN_USD","A","2019",50609.92,
"IND","FDIFLOW","INWARD","MLN_USD","A","2020",64362,
"IND","FDIFLOW","INWARD","MLN_USD","A","2021",44727,
"IDN","FDIFLOW","INWARD","MLN_USD","A","2017",20579,
"IDN","FDIFLOW","INWARD","MLN_USD","A","2018",20563,
"IDN","FDIFLOW","INWARD","MLN_USD","A","2019",23883,
"IDN","FDIFLOW","INWARD","MLN_USD","A","2020",18591,
"IDN","FDIFLOW","INWARD","MLN_USD","A","2021",20733,
"ISR","FDIFLOW","INWARD","MLN_USD","A","2017",16892.7,
"ISR","FDIFLOW","INWARD","MLN_USD","A","2018",21514.6,
"ISR","FDIFLOW","INWARD","MLN_USD","A","2019",17362.8,
"ISR","FDIFLOW","INWARD","MLN_USD","A","2020",23109.4,
"ISR","FDIFLOW","INWARD","MLN_USD","A","2021",21486.4,
"RUS","FDIFLOW","INWARD","MLN_USD","A","2017",25954,
"RUS","FDIFLOW","INWARD","MLN_USD","A","2018",13228,
"RUS","FDIFLOW","INWARD","MLN_USD","A","2019",32076,
"RUS","FDIFLOW","INWARD","MLN_USD","A","2020",10410,
"RUS","FDIFLOW","INWARD","MLN_USD","A","2021",38526,
"SAU","FDIFLOW","INWARD","MLN_USD","A","2017",1418.843614,
"SAU","FDIFLOW","INWARD","MLN_USD","A","2018",4247.107441,
"SAU","FDIFLOW","INWARD","MLN_USD","A","2019",4562.573671,
"SAU","FDIFLOW","INWARD","MLN_USD","A","2020",5399.215693,
"SAU","FDIFLOW","INWARD","MLN_USD","A","2021",19285.64358,
"SVN","FDIFLOW","INWARD","MLN_USD","A","2017",895.83136061323,
"SVN","FDIFLOW","INWARD","MLN_USD","A","2018",1383.3105157559,
"SVN","FDIFLOW","INWARD","MLN_USD","A","2019",1462.8747341319,
"SVN","FDIFLOW","INWARD","MLN_USD","A","2020",219.49857549858,
"SVN","FDIFLOW","INWARD","MLN_USD","A","2021",1773.0818353832,
"ZAF","FDIFLOW","INWARD","MLN_USD","A","2017",2006.8547600834,
"ZAF","FDIFLOW","INWARD","MLN_USD","A","2018",5446.6841377852,
"ZAF","FDIFLOW","INWARD","MLN_USD","A","2019",5124.9965394092,
"ZAF","FDIFLOW","INWARD","MLN_USD","A","2020",3062.2573530752,
"ZAF","FDIFLOW","INWARD","MLN_USD","A","2021",40895.883941077,
"WLD","FDIFLOW","INWARD","MLN_USD","A","2017",1703165.7133181,
"WLD","FDIFLOW","INWARD","MLN_USD","A","2018",1459124.0035378,
"WLD","FDIFLOW","INWARD","MLN_USD","A","2019",1730632.8498776,
"WLD","FDIFLOW","INWARD","MLN_USD","A","2020",1098169.6446272,
"WLD","FDIFLOW","INWARD","MLN_USD","A","2021",1748467.1937426,
"EU","FDIFLOW","INWARD","MLN_USD","A","2017",380089.75595806,
"EU","FDIFLOW","INWARD","MLN_USD","A","2018",400186.35610859,
"EU","FDIFLOW","INWARD","MLN_USD","A","2019",648369.42684305,
"EU","FDIFLOW","INWARD","MLN_USD","A","2020",173169.43122507,
"EU","FDIFLOW","INWARD","MLN_USD","A","2021",134564.21955915,
"G20","FDIFLOW","INWARD","MLN_USD","A","2017",987926.73048626,
"G20","FDIFLOW","INWARD","MLN_USD","A","2018",1024233.0625281,
"G20","FDIFLOW","INWARD","MLN_USD","A","2019",929687.85251434,
"G20","FDIFLOW","INWARD","MLN_USD","A","2020",695085.85496209,
"G20","FDIFLOW","INWARD","MLN_USD","A","2021",1206074.148498,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2017",970190.09548693,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2018",734911.95058992,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2019",975130.29330534,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2020",448223.12475679,
"OECD","FDIFLOW","INWARD","MLN_USD","A","2021",828495.66811666,
"LVA","FDIFLOW","INWARD","MLN_USD","A","2017",743.99729455529,
"LVA","FDIFLOW","INWARD","MLN_USD","A","2018",960.69868995633,
"LVA","FDIFLOW","INWARD","MLN_USD","A","2019",926.90025747229,
"LVA","FDIFLOW","INWARD","MLN_USD","A","2020",1003.9886039886,
"LVA","FDIFLOW","INWARD","MLN_USD","A","2021",3319.5364238411,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2017",1018.6112050502,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2018",976.02974153192,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2019",3021.560505989,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2020",3484.4102564103,
"LTU","FDIFLOW","INWARD","MLN_USD","A","2021",2773.1196783349,
"COL","FDIFLOW","INWARD","MLN_USD","A","2017",13700.8804452,
"COL","FDIFLOW","INWARD","MLN_USD","A","2018",11298.692773849,
"COL","FDIFLOW","INWARD","MLN_USD","A","2019",13989.839283908,
"COL","FDIFLOW","INWARD","MLN_USD","A","2020",7458.62498428,
"COL","FDIFLOW","INWARD","MLN_USD","A","2021",9727.14244579,
"EU27_2020","FDIFLOW","INWARD","MLN_USD","A","2017",283688.77733328,
"EU27_2020","FDIFLOW","INWARD","MLN_USD","A","2018",312368.56232441,
"EU27_2020","FDIFLOW","INWARD","MLN_USD","A","2019",594461.82092167,
"EU27_2020","FDIFLOW","INWARD","MLN_USD","A","2020",173169.43122507,
"EU27_2020","FDIFLOW","INWARD","MLN_USD","A","2021",134564.21955915,
"CRI","FDIFLOW","INWARD","MLN_USD","A","2017",2778.31402305,
"CRI","FDIFLOW","INWARD","MLN_USD","A","2018",2487.18040051,
"CRI","FDIFLOW","INWARD","MLN_USD","A","2019",2812.26128758,
"CRI","FDIFLOW","INWARD","MLN_USD","A","2020",1756.6916138674,
"CRI","FDIFLOW","INWARD","MLN_USD","A","2021",3324.3501325089,
