"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIRESTR","TOT","RESTR","A","2017",0.147,
"AUS","FDIRESTR","TOT","RESTR","A","2018",0.149,
"AUS","FDIRESTR","TOT","RESTR","A","2019",0.149,
"AUS","FDIRESTR","TOT","RESTR","A","2020",0.149,
"AUT","FDIRESTR","TOT","RESTR","A","2017",0.106,
"AUT","FDIRESTR","TOT","RESTR","A","2018",0.106,
"AUT","FDIRESTR","TOT","RESTR","A","2019",0.106,
"AUT","FDIRESTR","TOT","RESTR","A","2020",0.106,
"BEL","FDIRESTR","TOT","RESTR","A","2017",0.04,
"BEL","FDIRESTR","TOT","RESTR","A","2018",0.04,
"BEL","FDIRESTR","TOT","RESTR","A","2019",0.04,
"BEL","FDIRESTR","TOT","RESTR","A","2020",0.04,
"CAN","FDIRESTR","TOT","RESTR","A","2017",0.162,
"CAN","FDIRESTR","TOT","RESTR","A","2018",0.161,
"CAN","FDIRESTR","TOT","RESTR","A","2019",0.161,
"CAN","FDIRESTR","TOT","RESTR","A","2020",0.161,
"CZE","FDIRESTR","TOT","RESTR","A","2017",0.01,
"CZE","FDIRESTR","TOT","RESTR","A","2018",0.01,
"CZE","FDIRESTR","TOT","RESTR","A","2019",0.01,
"CZE","FDIRESTR","TOT","RESTR","A","2020",0.01,
"DNK","FDIRESTR","TOT","RESTR","A","2017",0.033,
"DNK","FDIRESTR","TOT","RESTR","A","2018",0.033,
"DNK","FDIRESTR","TOT","RESTR","A","2019",0.033,
"DNK","FDIRESTR","TOT","RESTR","A","2020",0.033,
"FIN","FDIRESTR","TOT","RESTR","A","2017",0.019,
"FIN","FDIRESTR","TOT","RESTR","A","2018",0.019,
"FIN","FDIRESTR","TOT","RESTR","A","2019",0.019,
"FIN","FDIRESTR","TOT","RESTR","A","2020",0.019,
"FRA","FDIRESTR","TOT","RESTR","A","2017",0.045,
"FRA","FDIRESTR","TOT","RESTR","A","2018",0.045,
"FRA","FDIRESTR","TOT","RESTR","A","2019",0.045,
"FRA","FDIRESTR","TOT","RESTR","A","2020",0.045,
"DEU","FDIRESTR","TOT","RESTR","A","2017",0.023,
"DEU","FDIRESTR","TOT","RESTR","A","2018",0.023,
"DEU","FDIRESTR","TOT","RESTR","A","2019",0.023,
"DEU","FDIRESTR","TOT","RESTR","A","2020",0.023,
"GRC","FDIRESTR","TOT","RESTR","A","2017",0.032,
"GRC","FDIRESTR","TOT","RESTR","A","2018",0.032,
"GRC","FDIRESTR","TOT","RESTR","A","2019",0.032,
"GRC","FDIRESTR","TOT","RESTR","A","2020",0.032,
"HUN","FDIRESTR","TOT","RESTR","A","2017",0.029,
"HUN","FDIRESTR","TOT","RESTR","A","2018",0.029,
"HUN","FDIRESTR","TOT","RESTR","A","2019",0.029,
"HUN","FDIRESTR","TOT","RESTR","A","2020",0.029,
"ISL","FDIRESTR","TOT","RESTR","A","2017",0.167,
"ISL","FDIRESTR","TOT","RESTR","A","2018",0.167,
"ISL","FDIRESTR","TOT","RESTR","A","2019",0.167,
"ISL","FDIRESTR","TOT","RESTR","A","2020",0.167,
"IRL","FDIRESTR","TOT","RESTR","A","2017",0.043,
"IRL","FDIRESTR","TOT","RESTR","A","2018",0.043,
"IRL","FDIRESTR","TOT","RESTR","A","2019",0.043,
"IRL","FDIRESTR","TOT","RESTR","A","2020",0.043,
"ITA","FDIRESTR","TOT","RESTR","A","2017",0.052,
"ITA","FDIRESTR","TOT","RESTR","A","2018",0.052,
"ITA","FDIRESTR","TOT","RESTR","A","2019",0.052,
"ITA","FDIRESTR","TOT","RESTR","A","2020",0.052,
"JPN","FDIRESTR","TOT","RESTR","A","2017",0.052,
"JPN","FDIRESTR","TOT","RESTR","A","2018",0.052,
"JPN","FDIRESTR","TOT","RESTR","A","2019",0.052,
"JPN","FDIRESTR","TOT","RESTR","A","2020",0.052,
"KOR","FDIRESTR","TOT","RESTR","A","2017",0.135,
"KOR","FDIRESTR","TOT","RESTR","A","2018",0.135,
"KOR","FDIRESTR","TOT","RESTR","A","2019",0.135,
"KOR","FDIRESTR","TOT","RESTR","A","2020",0.135,
