"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","INWARD","PC_GDP","A","2017",49.588117924116,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2018",48.240659789758,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2019",53.22218353342,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2020",55.883667771384,
"AUS","FDISTOCK","INWARD","PC_GDP","A","2021",44.941259059767,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2017",47.524608331527,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2018",42.149306660628,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2019",44.930249323584,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2020",49.125317154161,
"AUT","FDISTOCK","INWARD","PC_GDP","A","2021",46.029142226175,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2017",115.41516741001,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2018",92.410180948011,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2019",109.02953036178,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2020",115.83373262264,
"BEL","FDISTOCK","INWARD","PC_GDP","A","2021",89.914874630914,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2017",57.011969434188,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2018",53.549615636866,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2019",66.380201102685,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2020",75.092229132325,
"CAN","FDISTOCK","INWARD","PC_GDP","A","2021",77.920139356531,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2017",71.351103204832,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2018",65.966851356822,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2019",67.855484239487,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2020",79.373908998876,
"CZE","FDISTOCK","INWARD","PC_GDP","A","2021",71.186176542756,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2017",34.893105463941,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2018",32.967065382307,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2019",37.115190246371,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2020",44.088222712297,
"DNK","FDISTOCK","INWARD","PC_GDP","A","2021",35.817293968328,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2017",34.115330262969,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2018",25.219512836904,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2019",31.011689151658,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2020",32.506521474039,
"FIN","FDISTOCK","INWARD","PC_GDP","A","2021",27.98617002341,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2017",31.571484544408,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2018",29.010115157077,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2019",30.459117407932,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2020",36.248016160013,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2021",32.39126797494,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2017",27.071987973849,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2018",24.492932804545,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2019",26.067729369623,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2020",30.028540446489,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2021",26.221023414691,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2017",16.715045301457,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2018",16.8530049338,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2019",22.009480362284,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2020",20.696763996132,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2021",19.475135046529,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2017",64.662922714523,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2018",57.331712004279,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2019",57.619425186464,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2020",65.157182119481,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2021",57.548475355257,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2017",40.957832147522,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2018",33.418082514771,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2019",33.854167782639,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2020",35.158020572146,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2021",30.564394712248,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2017",311.78380048895,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2018",278.09200851058,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2019",312.40545056255,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2020",324.6720851697,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2021",276.48239039136,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2017",21.650725608355,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2018",20.776211363246,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2019",22.052155222369,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2020",25.902000557495,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2021",21.219852894937,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2017",4.1595793231601,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2018",4.1277819499209,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2019",4.4035645945226,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2020",4.9616031205866,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2021",4.6597943430596,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2017",12.99164344992,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2018",12.401141689098,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2019",13.257088311252,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2020",14.196639371076,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2017",317.1351711876,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2018",249.07196508261,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2019",403.19444479468,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2020",1516.8369851391,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2021",1204.8570579365,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2017",42.931056075785,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2018",42.251538386359,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2019",44.667984584317,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2020",50.080170049343,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2021",45.80077462197,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2017",179.60948275747,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2018",159.58296803386,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2019",156.84043752552,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2020",299.12608546146,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2021",270.97135480393,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2017",36.647519901237,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2018",36.003128797476,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2019",38.146754483494,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2020",43.523327099192,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2021",37.10831913998,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2017",36.518577019742,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2018",35.052281715036,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2019",41.806915265436,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2020",47.217241741146,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2021",35.600691029724,
