"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2017",35.672872969122,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2018",34.260997979195,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2019",42.184317223296,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2020",43.80058526904,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2021",36.060447004842,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2017",57.723152898122,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2018",51.956776835199,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2019",55.284671159542,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2020",59.667647659254,
"AUT","FDISTOCK","OUTWARD","PC_GDP","A","2021",55.855537603308,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2017",140.80585864744,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2018",100.08590019791,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2019",122.88477813303,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2020",131.0541024561,
"BEL","FDISTOCK","OUTWARD","PC_GDP","A","2021",106.68988140607,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2017",92.940095566366,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2018",79.405435568646,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2019",95.651296400663,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2020",118.33574737346,
"CAN","FDISTOCK","OUTWARD","PC_GDP","A","2021",114.52258373922,
"CZE","FDISTOCK","OUTWARD","PC_GDP","A","2017",14.803190715912,
"CZE","FDISTOCK","OUTWARD","PC_GDP","A","2018",16.470509728924,
"CZE","FDISTOCK","OUTWARD","PC_GDP","A","2019",17.875232225074,
"CZE","FDISTOCK","OUTWARD","PC_GDP","A","2020",20.848895032177,
"CZE","FDISTOCK","OUTWARD","PC_GDP","A","2021",19.024728171575,
"DNK","FDISTOCK","OUTWARD","PC_GDP","A","2017",61.756606941414,
