"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2017",503872.55284299,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2018",498200.16939582,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2019",580890.49253836,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2020",623062.23043746,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2021",618324.62632419,
"AUT","FDISTOCK","OUTWARD","MLN_USD","A","2017",240856.32046054,
"AUT","FDISTOCK","OUTWARD","MLN_USD","A","2018",236490.72589879,
"AUT","FDISTOCK","OUTWARD","MLN_USD","A","2019",246023.36553583,
"AUT","FDISTOCK","OUTWARD","MLN_USD","A","2020",258515.15523377,
"AUT","FDISTOCK","OUTWARD","MLN_USD","A","2021",266300.8268207,
"BEL","FDISTOCK","OUTWARD","MLN_USD","A","2017",707828.37610938,
"BEL","FDISTOCK","OUTWARD","MLN_USD","A","2018",544143.11884589,
"BEL","FDISTOCK","OUTWARD","MLN_USD","A","2019",657895.97843181,
"BEL","FDISTOCK","OUTWARD","MLN_USD","A","2020",683678.97901583,
"BEL","FDISTOCK","OUTWARD","MLN_USD","A","2021",640010.19367992,
"CAN","FDISTOCK","OUTWARD","MLN_USD","A","2017",1532829.0247832,
"CAN","FDISTOCK","OUTWARD","MLN_USD","A","2018",1367220.3382222,
"CAN","FDISTOCK","OUTWARD","MLN_USD","A","2019",1665840.404408,
"CAN","FDISTOCK","OUTWARD","MLN_USD","A","2020",1947124.0778478,
"CAN","FDISTOCK","OUTWARD","MLN_USD","A","2021",2277094.1041848,
"CZE","FDISTOCK","OUTWARD","MLN_USD","A","2017",32364.053027101,
"CZE","FDISTOCK","OUTWARD","MLN_USD","A","2018",41003.350440666,
"CZE","FDISTOCK","OUTWARD","MLN_USD","A","2019",45134.603863667,
"CZE","FDISTOCK","OUTWARD","MLN_USD","A","2020",51282.986159817,
"CZE","FDISTOCK","OUTWARD","MLN_USD","A","2021",53607.479522573,
"DNK","FDISTOCK","OUTWARD","MLN_USD","A","2017",205106.7222965,
"DNK","FDISTOCK","OUTWARD","MLN_USD","A","2018",208361.65904838,
"DNK","FDISTOCK","OUTWARD","MLN_USD","A","2019",220724.09712548,
"DNK","FDISTOCK","OUTWARD","MLN_USD","A","2020",258288.12115772,
"DNK","FDISTOCK","OUTWARD","MLN_USD","A","2021",273881.84419054,
"FIN","FDISTOCK","OUTWARD","MLN_USD","A","2017",124606.62029264,
"FIN","FDISTOCK","OUTWARD","MLN_USD","A","2018",128743.98900847,
"FIN","FDISTOCK","OUTWARD","MLN_USD","A","2019",146328.9148506,
"FRA","FDISTOCK","OUTWARD","MLN_USD","A","2017",1440433.588205,
"FRA","FDISTOCK","OUTWARD","MLN_USD","A","2018",1455820.8180094,
"FRA","FDISTOCK","OUTWARD","MLN_USD","A","2019",1437072.0003269,
"FRA","FDISTOCK","OUTWARD","MLN_USD","A","2020",1509429.5843699,
"FRA","FDISTOCK","OUTWARD","MLN_USD","A","2021",1453054.643484,
"DEU","FDISTOCK","OUTWARD","MLN_USD","A","2017",1671519.5490525,
"DEU","FDISTOCK","OUTWARD","MLN_USD","A","2018",1688585.9858026,
"DEU","FDISTOCK","OUTWARD","MLN_USD","A","2019",1826741.1817569,
"DEU","FDISTOCK","OUTWARD","MLN_USD","A","2020",2032904.6508774,
"DEU","FDISTOCK","OUTWARD","MLN_USD","A","2021",2112679.8051875,
"GRC","FDISTOCK","OUTWARD","MLN_USD","A","2017",20104.273762284,
"GRC","FDISTOCK","OUTWARD","MLN_USD","A","2018",19497.870342828,
"GRC","FDISTOCK","OUTWARD","MLN_USD","A","2019",19234.863795115,
"GRC","FDISTOCK","OUTWARD","MLN_USD","A","2020",13676.519150212,
"GRC","FDISTOCK","OUTWARD","MLN_USD","A","2021",13963.643024279,
"HUN","FDISTOCK","OUTWARD","MLN_USD","A","2017",29292.548489298,
"HUN","FDISTOCK","OUTWARD","MLN_USD","A","2018",28903.879572151,
"HUN","FDISTOCK","OUTWARD","MLN_USD","A","2019",32483.452527651,
"HUN","FDISTOCK","OUTWARD","MLN_USD","A","2020",35883.680703524,
"HUN","FDISTOCK","OUTWARD","MLN_USD","A","2021",39575.508759326,
"ISL","FDISTOCK","OUTWARD","MLN_USD","A","2017",5268.5500861904,
"ISL","FDISTOCK","OUTWARD","MLN_USD","A","2018",5229.399123184,
"ISL","FDISTOCK","OUTWARD","MLN_USD","A","2019",5346.3336085879,
"ISL","FDISTOCK","OUTWARD","MLN_USD","A","2020",5365.8910463014,
"ISL","FDISTOCK","OUTWARD","MLN_USD","A","2021",5181.8760546096,
