"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.959786,
"AUS","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.964045,
"AUS","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.068088,
"AUT","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",4.501811,
"AUT","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.37799,
"AUT","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.353996,
"BEL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",5.263385,
"BEL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",5.244929,
"BEL","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",5.188996,
"CAN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",4.507942,
"CAN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.441295,
"CAN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.359075,
"CZE","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.118059,
"CZE","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.594657,
"CZE","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.841881,
"DNK","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",5.059807,
"DNK","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.985753,
"DNK","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.914449,
"FIN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",5.022893,
"FIN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.978864,
"FIN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",5.071212,
"FRA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",4.513451,
"FRA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",4.486246,
"FRA","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",4.456799,
"DEU","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.603547,
"DEU","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.658774,
"DEU","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.734666,
"GRC","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.184782,
"GRC","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.296461,
"GRC","EDUPUBEXP","PRY_TRY","PC_GDP","A","2019",3.281959,
"HUN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2017",3.310075,
"HUN","EDUPUBEXP","PRY_TRY","PC_GDP","A","2018",3.263033,
