"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",65.957,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",65.068,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",65.877,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",64.954,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2017",86.431,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2018",87.25,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2019",84.264,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2020",82.27,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2017",99.255,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2018",99.99,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2019",99.659,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2020",96.996,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",76.462,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",77.28,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",77.815,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",77.851,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2017",93.477,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2018",93.94,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2019",93.998,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2020",93.928,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2017",97.835,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2018",98.037,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2019",98.009,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2020",97.745,
"BEL","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",98.616,
"BEL","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",98.488,
"BEL","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",97.867,
"BEL","ENROLMENT_ECE","AGE_4","PC_AGE","A","2017",98.634,
"BEL","ENROLMENT_ECE","AGE_4","PC_AGE","A","2018",98.303,
"BEL","ENROLMENT_ECE","AGE_4","PC_AGE","A","2019",98.272,
"BEL","ENROLMENT_ECE","AGE_5","PC_AGE","A","2017",98.681,
"BEL","ENROLMENT_ECE","AGE_5","PC_AGE","A","2018",98.681,
"BEL","ENROLMENT_ECE","AGE_5","PC_AGE","A","2019",98.637,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",79.099,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",77.408,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",77.633,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",76.966,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2017",88.379,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2018",89.06,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2019",87.082,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2020",87.885,
"CZE","ENROLMENT_ECE","AGE_5","PC_AGE","A","2017",95.647,
"CZE","ENROLMENT_ECE","AGE_5","PC_AGE","A","2018",93.819,
"CZE","ENROLMENT_ECE","AGE_5","PC_AGE","A","2019",94.377,
"CZE","ENROLMENT_ECE","AGE_5","PC_AGE","A","2020",92.715,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",96.464,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",98.312,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",96.504,
"DNK","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",96.432,
"DNK","ENROLMENT_ECE","AGE_4","PC_AGE","A","2017",98.044,
"DNK","ENROLMENT_ECE","AGE_4","PC_AGE","A","2018",99.808,
"DNK","ENROLMENT_ECE","AGE_4","PC_AGE","A","2019",98.129,
"DNK","ENROLMENT_ECE","AGE_4","PC_AGE","A","2020",98.022,
"DNK","ENROLMENT_ECE","AGE_5","PC_AGE","A","2017",98.04,
"DNK","ENROLMENT_ECE","AGE_5","PC_AGE","A","2018",100,
"DNK","ENROLMENT_ECE","AGE_5","PC_AGE","A","2019",98.434,
"DNK","ENROLMENT_ECE","AGE_5","PC_AGE","A","2020",98.32,
