"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",21.478,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",26.503,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",28.375,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",25.995,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",17.186,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",17.494,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",17.641,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",17.977,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",8.653,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",10.454,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",10.043,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",10.376,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",12.917,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",13.838,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",16.221,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",18.209,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",12.543,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",13.606,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",14.364,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",14.989,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",10.757,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",10.707,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",10.491,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",10.232,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",8.178,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",8.052,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",8.053,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",7.972,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",10.201,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",8.768,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",9.175,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",9.185,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",8.373,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",9.966,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",10.106,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",11.241,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",3.41,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",3.433,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",3.499,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",2.795,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",9.974,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",11.411,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",12.605,
"HUN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",13.476,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",6.851,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",8.018,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",8.449,
"ISL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",8.511,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",8.88,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",9.638,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",10.715,
"IRL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",10.199,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",5.311,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",5.623,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",2.831,
"ITA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",2.881,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",4.265,
"JPN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",4.732,
