"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATETRY","BACHR_MEN","PC","A","2017",27.786,
"AUS","GRADRATETRY","BACHR_MEN","PC","A","2018",27.569,
"AUS","GRADRATETRY","BACHR_MEN","PC","A","2019",27.25,
"AUS","GRADRATETRY","BACHR_MEN","PC","A","2020",27.219,
"AUS","GRADRATETRY","BACHR_WOMEN","PC","A","2017",41.905,
"AUS","GRADRATETRY","BACHR_WOMEN","PC","A","2018",42.126,
"AUS","GRADRATETRY","BACHR_WOMEN","PC","A","2019",42.093,
"AUS","GRADRATETRY","BACHR_WOMEN","PC","A","2020",41.974,
"AUT","GRADRATETRY","BACHR_MEN","PC","A","2017",13.813,
"AUT","GRADRATETRY","BACHR_MEN","PC","A","2018",14.201,
"AUT","GRADRATETRY","BACHR_MEN","PC","A","2019",14.786,
"AUT","GRADRATETRY","BACHR_MEN","PC","A","2020",15.598,
"AUT","GRADRATETRY","BACHR_WOMEN","PC","A","2017",22.053,
"AUT","GRADRATETRY","BACHR_WOMEN","PC","A","2018",20.031,
"AUT","GRADRATETRY","BACHR_WOMEN","PC","A","2019",22.632,
"AUT","GRADRATETRY","BACHR_WOMEN","PC","A","2020",23.758,
"BEL","GRADRATETRY","BACHR_MEN","PC","A","2017",31.382,
"BEL","GRADRATETRY","BACHR_MEN","PC","A","2018",26.533,
"BEL","GRADRATETRY","BACHR_MEN","PC","A","2019",32.204,
"BEL","GRADRATETRY","BACHR_MEN","PC","A","2020",35.064,
"BEL","GRADRATETRY","BACHR_WOMEN","PC","A","2017",47.774,
"BEL","GRADRATETRY","BACHR_WOMEN","PC","A","2018",40.27,
"BEL","GRADRATETRY","BACHR_WOMEN","PC","A","2019",48.532,
"BEL","GRADRATETRY","BACHR_WOMEN","PC","A","2020",52.459,
"CZE","GRADRATETRY","BACHR_MEN","PC","A","2017",18.53,
"CZE","GRADRATETRY","BACHR_MEN","PC","A","2018",18.145,
"CZE","GRADRATETRY","BACHR_MEN","PC","A","2019",17.845,
"CZE","GRADRATETRY","BACHR_MEN","PC","A","2020",19.303,
"CZE","GRADRATETRY","BACHR_WOMEN","PC","A","2017",32.841,
"CZE","GRADRATETRY","BACHR_WOMEN","PC","A","2018",32.276,
"CZE","GRADRATETRY","BACHR_WOMEN","PC","A","2019",32.367,
"CZE","GRADRATETRY","BACHR_WOMEN","PC","A","2020",33.766,
"DNK","GRADRATETRY","BACHR_MEN","PC","A","2017",32.948,
"DNK","GRADRATETRY","BACHR_MEN","PC","A","2018",32.999,
"DNK","GRADRATETRY","BACHR_MEN","PC","A","2019",32.527,
"DNK","GRADRATETRY","BACHR_MEN","PC","A","2020",33.597,
"DNK","GRADRATETRY","BACHR_WOMEN","PC","A","2017",48.141,
"DNK","GRADRATETRY","BACHR_WOMEN","PC","A","2018",47.979,
"DNK","GRADRATETRY","BACHR_WOMEN","PC","A","2019",48.944,
"DNK","GRADRATETRY","BACHR_WOMEN","PC","A","2020",49.72,
"FIN","GRADRATETRY","BACHR_MEN","PC","A","2017",28.236,
"FIN","GRADRATETRY","BACHR_MEN","PC","A","2018",29.646,
"FIN","GRADRATETRY","BACHR_MEN","PC","A","2019",30.283,
"FIN","GRADRATETRY","BACHR_MEN","PC","A","2020",30.662,
"FIN","GRADRATETRY","BACHR_WOMEN","PC","A","2017",43.378,
"FIN","GRADRATETRY","BACHR_WOMEN","PC","A","2018",42.628,
"FIN","GRADRATETRY","BACHR_WOMEN","PC","A","2019",42.633,
"FIN","GRADRATETRY","BACHR_WOMEN","PC","A","2020",44.036,
"DEU","GRADRATETRY","BACHR_MEN","PC","A","2017",26.141,
"DEU","GRADRATETRY","BACHR_MEN","PC","A","2018",25.392,
"DEU","GRADRATETRY","BACHR_MEN","PC","A","2019",30.777,
"DEU","GRADRATETRY","BACHR_MEN","PC","A","2020",28.033,
"DEU","GRADRATETRY","BACHR_WOMEN","PC","A","2017",30.762,
"DEU","GRADRATETRY","BACHR_WOMEN","PC","A","2018",30.21,
"DEU","GRADRATETRY","BACHR_WOMEN","PC","A","2019",33.379,
"DEU","GRADRATETRY","BACHR_WOMEN","PC","A","2020",31.558,
"GRC","GRADRATETRY","BACHR_MEN","PC","A","2017",30.85,
"GRC","GRADRATETRY","BACHR_MEN","PC","A","2018",29.338,
