"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATETRY","DOCTL_MEN","PC","A","2017",0.718,
"AUS","GRADRATETRY","DOCTL_MEN","PC","A","2018",0.667,
"AUS","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.678,
"AUS","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.648,
"AUS","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",0.76,
"AUS","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",0.715,
"AUS","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.747,
"AUS","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.628,
"AUT","GRADRATETRY","DOCTL_MEN","PC","A","2017",1.088,
"AUT","GRADRATETRY","DOCTL_MEN","PC","A","2018",1.022,
"AUT","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.011,
"AUT","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.973,
"AUT","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",0.87,
"AUT","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",0.78,
"AUT","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.668,
"AUT","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.632,
"BEL","GRADRATETRY","DOCTL_MEN","PC","A","2017",1.021,
"BEL","GRADRATETRY","DOCTL_MEN","PC","A","2018",1.21,
"BEL","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.981,
"BEL","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.918,
"BEL","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",0.904,
"BEL","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",1.01,
"BEL","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.805,
"BEL","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.826,
"CZE","GRADRATETRY","DOCTL_MEN","PC","A","2017",1.126,
"CZE","GRADRATETRY","DOCTL_MEN","PC","A","2018",1.06,
"CZE","GRADRATETRY","DOCTL_MEN","PC","A","2019",1,
"CZE","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.764,
"CZE","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",0.803,
"CZE","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",0.858,
"CZE","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.796,
"CZE","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.697,
"DNK","GRADRATETRY","DOCTL_MEN","PC","A","2017",1.328,
"DNK","GRADRATETRY","DOCTL_MEN","PC","A","2018",1.191,
"DNK","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.227,
"DNK","GRADRATETRY","DOCTL_MEN","PC","A","2020",1.15,
"DNK","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",1.228,
"DNK","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",1.034,
"DNK","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",1.068,
"DNK","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.939,
"FIN","GRADRATETRY","DOCTL_MEN","PC","A","2017",0.719,
"FIN","GRADRATETRY","DOCTL_MEN","PC","A","2018",0.737,
"FIN","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.652,
"FIN","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.721,
"FIN","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",0.714,
"FIN","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",0.659,
"FIN","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.63,
"FIN","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.67,
"DEU","GRADRATETRY","DOCTL_MEN","PC","A","2017",1.828,
"DEU","GRADRATETRY","DOCTL_MEN","PC","A","2018",1.763,
"DEU","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.756,
"DEU","GRADRATETRY","DOCTL_MEN","PC","A","2020",1.603,
"DEU","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",1.696,
"DEU","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",1.628,
"DEU","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",1.641,
"DEU","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",1.502,
"GRC","GRADRATETRY","DOCTL_MEN","PC","A","2017",0.679,
"GRC","GRADRATETRY","DOCTL_MEN","PC","A","2018",0.518,
"GRC","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.551,
"GRC","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.475,
"GRC","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",0.608,
"GRC","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",0.514,
"GRC","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.641,
"GRC","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.572,
"HUN","GRADRATETRY","DOCTL_MEN","PC","A","2017",0.581,
"HUN","GRADRATETRY","DOCTL_MEN","PC","A","2018",0.635,
"HUN","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.588,
"HUN","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.479,
"HUN","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",0.529,
"HUN","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",0.56,
"HUN","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.527,
"HUN","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.521,
"ISL","GRADRATETRY","DOCTL_MEN","PC","A","2017",0.081,
"ISL","GRADRATETRY","DOCTL_MEN","PC","A","2018",0.149,
"ISL","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.368,
"ISL","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.19,
"ISL","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",0.35,
"ISL","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",0.296,
"ISL","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.322,
"ISL","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.357,
"ITA","GRADRATETRY","DOCTL_MEN","PC","A","2017",0.948,
"ITA","GRADRATETRY","DOCTL_MEN","PC","A","2018",0.834,
"ITA","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.819,
"ITA","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.768,
"ITA","GRADRATETRY","DOCTL_WOMEN","PC","A","2017",1.086,
"ITA","GRADRATETRY","DOCTL_WOMEN","PC","A","2018",0.928,
"ITA","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.928,
"ITA","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.812,
