"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2017",66.701,
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2018",66.579,
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2019",66.493,
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2020",67.072,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2017",91.606,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2018",92.085,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2019",91.954,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2020",91.93,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2017",42.34,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2018",42.688,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2019",42.842,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2020",43.727,
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2017",70.398,
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2018",70.6,
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2019",70.914,
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2020",71.058,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2017",82.348,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2018",82.551,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2019",82.652,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2020",82.873,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2017",48.534,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2018",48.359,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2019",48.855,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2020",49.137,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2017",74.858,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2018",74.95,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2019",75.174,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2020",75.024,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2017",49.152,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2018",49.311,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2019",49.509,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2020",49.379,
"CZE","WOMENTEACHER","PRY","PC_TEACHER","A","2017",94.496,
"CZE","WOMENTEACHER","PRY","PC_TEACHER","A","2018",94.363,
"CZE","WOMENTEACHER","PRY","PC_TEACHER","A","2019",94.363,
"CZE","WOMENTEACHER","PRY","PC_TEACHER","A","2020",94.309,
"CZE","WOMENTEACHER","TRY","PC_TEACHER","A","2017",38.444,
"CZE","WOMENTEACHER","TRY","PC_TEACHER","A","2018",38.125,
"CZE","WOMENTEACHER","TRY","PC_TEACHER","A","2019",38.055,
"CZE","WOMENTEACHER","TRY","PC_TEACHER","A","2020",37.928,
