"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",53.099998,
"DNK","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",51.299999,
"FIN","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",50.400002,
"FRA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",52.5,
"ISL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",51.799999,
"ITA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",56.400002,
"JPN","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",58,
"KOR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",58.700001,
"MEX","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",50.700001,
"NLD","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",53.900002,
"NOR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",50.400002,
"PRT","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",53.700001,
"SVK","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",52.400002,
"ESP","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",50.5,
"SWE","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",52,
"BRA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",46.5,
"BGR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",53.099998,
"CHL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",52.799999,
"HRV","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",51.599998,
"EST","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",53.200001,
"ISR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",50,
"LVA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",54.099998,
"ROU","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",46.5,
"SGP","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",50.299999,
"NZL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",51.5,
"GEO","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",52.299999,
"RUS","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",49.900002,
"AUT","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",55.200001,
"BEL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",49.099998,
"HUN","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",52,
"TUR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",43.099998,
"USA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",47.900002,
"COL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",53.299999,
"KAZ","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",48.099998,
"LTU","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",54.599998,
"MLT","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",47.599998,
"SAU","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",42.900002,
"SVN","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",52.299999,
"ZAF","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",50.700001,
"ARE","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",49.5,
"VNM","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2018",49.400002,
