"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2021",68607.6259976718,
"AUS","TEACHERSALARY","PRY_START","USD","A","2021",46988.4003019766,
"AUS","TEACHERSALARY","PRY_TOP","USD","A","2021",74335.1400443144,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2021",57637.6376291933,
"AUT","TEACHERSALARY","PRY_START","USD","A","2021",47995.2535242635,
"AUT","TEACHERSALARY","PRY_TOP","USD","A","2021",83891.6594221265,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2021",70331.0630114381,
"CAN","TEACHERSALARY","PRY_START","USD","A","2021",40721.5025688849,
"CAN","TEACHERSALARY","PRY_TOP","USD","A","2021",70331.0630114381,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2021",28453.0709760234,
"CZE","TEACHERSALARY","PRY_START","USD","A","2021",25615.8701664484,
"CZE","TEACHERSALARY","PRY_TOP","USD","A","2021",33560.0324332584,
"DNK","TEACHERSALARY","PRY15YREXP","USD","A","2021",62300.5838729252,
"DNK","TEACHERSALARY","PRY_START","USD","A","2021",54130.374802506,
"DNK","TEACHERSALARY","PRY_TOP","USD","A","2021",62300.5838729252,
"FIN","TEACHERSALARY","PRY15YREXP","USD","A","2021",45771.7984468918,
"FIN","TEACHERSALARY","PRY_START","USD","A","2021",37072.9519206689,
"FIN","TEACHERSALARY","PRY_TOP","USD","A","2021",48518.1063537053,
"FRA","TEACHERSALARY","PRY15YREXP","USD","A","2021",40042.8311349533,
"FRA","TEACHERSALARY","PRY_START","USD","A","2021",32618.9977869549,
"FRA","TEACHERSALARY","PRY_TOP","USD","A","2021",57884.7828491841,
"DEU","TEACHERSALARY","PRY15YREXP","USD","A","2021",85048.8484896988,
"DEU","TEACHERSALARY","PRY_START","USD","A","2021",69599.1706092015,
"DEU","TEACHERSALARY","PRY_TOP","USD","A","2021",90969.7892909178,
"GRC","TEACHERSALARY","PRY15YREXP","USD","A","2021",27026.1430273579,
"GRC","TEACHERSALARY","PRY_START","USD","A","2021",20409.7843609093,
"GRC","TEACHERSALARY","PRY_TOP","USD","A","2021",40258.8603602551,
"HUN","TEACHERSALARY","PRY15YREXP","USD","A","2021",20634.8661683107,
"HUN","TEACHERSALARY","PRY_START","USD","A","2021",17058.4364451241,
"HUN","TEACHERSALARY","PRY_TOP","USD","A","2021",29173.4314793358,
"ISL","TEACHERSALARY","PRY15YREXP","USD","A","2021",45371.4045673343,
"ISL","TEACHERSALARY","PRY_START","USD","A","2021",42592.9585320403,
"ISL","TEACHERSALARY","PRY_TOP","USD","A","2021",46451.0455050671,
"IRL","TEACHERSALARY","PRY15YREXP","USD","A","2021",62336.6675014363,
"IRL","TEACHERSALARY","PRY_START","USD","A","2021",37016.6315572382,
"IRL","TEACHERSALARY","PRY_TOP","USD","A","2021",71899.1991121979,
"ITA","TEACHERSALARY","PRY15YREXP","USD","A","2021",39562.8516966647,
"ITA","TEACHERSALARY","PRY_START","USD","A","2021",32963.4946088493,
"ITA","TEACHERSALARY","PRY_TOP","USD","A","2021",47989.6730533814,
"JPN","TEACHERSALARY","PRY15YREXP","USD","A","2021",49355.5570629811,
"JPN","TEACHERSALARY","PRY_START","USD","A","2021",29819.5331371412,
"JPN","TEACHERSALARY","PRY_TOP","USD","A","2021",61066.5971159541,
"KOR","TEACHERSALARY","PRY15YREXP","USD","A","2021",60184.5169302421,
"KOR","TEACHERSALARY","PRY_START","USD","A","2021",34122.8388935633,
"KOR","TEACHERSALARY","PRY_TOP","USD","A","2021",95780.1539790118,
"LUX","TEACHERSALARY","PRY15YREXP","USD","A","2021",104845.611726044,
"LUX","TEACHERSALARY","PRY_START","USD","A","2021",71812.0622564048,
"LUX","TEACHERSALARY","PRY_TOP","USD","A","2021",126867.978039137,
"MEX","TEACHERSALARY","PRY15YREXP","USD","A","2021",34704.1721109746,
"MEX","TEACHERSALARY","PRY_START","USD","A","2021",21948.3007564372,
"MEX","TEACHERSALARY","PRY_TOP","USD","A","2021",43709.038710737,
"NLD","TEACHERSALARY","PRY15YREXP","USD","A","2021",70899.2276782259,
"NLD","TEACHERSALARY","PRY_START","USD","A","2021",45593.6529828333,
"NLD","TEACHERSALARY","PRY_TOP","USD","A","2021",85359.7258885418,
"NZL","TEACHERSALARY","PRY15YREXP","USD","A","2021",52698.802518496,
"NZL","TEACHERSALARY","PRY_START","USD","A","2021",34488.1577179181,
"NZL","TEACHERSALARY","PRY_TOP","USD","A","2021",52698.802518496,
"NOR","TEACHERSALARY","PRY15YREXP","USD","A","2021",50677.33051962,
"NOR","TEACHERSALARY","PRY_START","USD","A","2021",42499.3174794065,
"NOR","TEACHERSALARY","PRY_TOP","USD","A","2021",54451.074166485,
"POL","TEACHERSALARY","PRY15YREXP","USD","A","2021",32039.7352294866,
"POL","TEACHERSALARY","PRY_START","USD","A","2021",19621.9588446208,
"POL","TEACHERSALARY","PRY_TOP","USD","A","2021",33397.8244713614,
"PRT","TEACHERSALARY","PRY15YREXP","USD","A","2021",44412.9255246363,
"PRT","TEACHERSALARY","PRY_START","USD","A","2021",34400.3640819615,
"PRT","TEACHERSALARY","PRY_TOP","USD","A","2021",74254.7312973649,
"SVK","TEACHERSALARY","PRY15YREXP","USD","A","2021",19328.6497312917,
"SVK","TEACHERSALARY","PRY_START","USD","A","2021",16787.5790262287,
"SVK","TEACHERSALARY","PRY_TOP","USD","A","2021",21622.0348441645,
"ESP","TEACHERSALARY","PRY15YREXP","USD","A","2021",50547.7047066775,
"ESP","TEACHERSALARY","PRY_START","USD","A","2021",43684.1406592605,
"ESP","TEACHERSALARY","PRY_TOP","USD","A","2021",62368.3710429154,
"SWE","TEACHERSALARY","PRY15YREXP","USD","A","2020",49231.8366727441,
"SWE","TEACHERSALARY","PRY_START","USD","A","2020",42727.1121382624,
"SWE","TEACHERSALARY","PRY_TOP","USD","A","2020",56756.9101538112,
"CHE","TEACHERSALARY","PRY_START","USD","A","2020",60947.5412020521,
"CHE","TEACHERSALARY","PRY_TOP","USD","A","2020",92670.5471196419,
"TUR","TEACHERSALARY","PRY15YREXP","USD","A","2021",34255.6375227476,
"TUR","TEACHERSALARY","PRY_START","USD","A","2021",33718.9128578107,
"TUR","TEACHERSALARY","PRY_TOP","USD","A","2021",36778.5738324681,
"USA","TEACHERSALARY","PRY15YREXP","USD","A","2021",63531.341076711,
"USA","TEACHERSALARY","PRY_START","USD","A","2021",42723.2996783892,
"USA","TEACHERSALARY","PRY_TOP","USD","A","2021",74214.2871014458,
"BRA","TEACHERSALARY","PRY_START","USD","A","2019",14344.8945395978,
"EST","TEACHERSALARY","PRY_START","USD","A","2021",25448.0830078408,
"ISR","TEACHERSALARY","PRY15YREXP","USD","A","2021",33671.2102401928,
"ISR","TEACHERSALARY","PRY_START","USD","A","2021",23571.9250328637,
"ISR","TEACHERSALARY","PRY_TOP","USD","A","2021",54842.4475726265,
"SVN","TEACHERSALARY","PRY15YREXP","USD","A","2021",48203.1487571438,
"SVN","TEACHERSALARY","PRY_START","USD","A","2021",31000.6646122207,
"SVN","TEACHERSALARY","PRY_TOP","USD","A","2021",57831.4988573059,
"COL","TEACHERSALARY","PRY15YREXP","USD","A","2020",43073.4068500279,
"COL","TEACHERSALARY","PRY_START","USD","A","2020",23618.5567648573,
"COL","TEACHERSALARY","PRY_TOP","USD","A","2020",49534.3755366952,
"CRI","TEACHERSALARY","PRY15YREXP","USD","A","2021",33444.7528027383,
"CRI","TEACHERSALARY","PRY_START","USD","A","2021",26500.6945949406,
"CRI","TEACHERSALARY","PRY_TOP","USD","A","2021",40388.811010536,
"LVA","TEACHERSALARY","PRY_START","USD","A","2021",16534.0570180793,
"LTU","TEACHERSALARY","PRY15YREXP","USD","A","2021",35391.7648414715,
"LTU","TEACHERSALARY","PRY_TOP","USD","A","2021",40286.9940440727,
"LTU","TEACHERSALARY","PRY_START","USD","A","2021",30826.6608325015,
"SAU","TEACHERSALARY","PRY_START","USD","A","2020",49941.8525711789,
"ZAF","TEACHERSALARY","PRY_START","USD","A","2019",57893.2643072119,
