"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUDPERTEACHER","PRY","RT","A","2017",15.124,
"AUS","STUDPERTEACHER","PRY","RT","A","2018",14.926,
"AUS","STUDPERTEACHER","PRY","RT","A","2019",15.142,
"AUS","STUDPERTEACHER","PRY","RT","A","2020",14.844,
"AUT","STUDPERTEACHER","PRY","RT","A","2017",11.267,
"AUT","STUDPERTEACHER","PRY","RT","A","2018",11.55,
"AUT","STUDPERTEACHER","PRY","RT","A","2019",11.983,
"AUT","STUDPERTEACHER","PRY","RT","A","2020",12.15,
"AUT","STUDPERTEACHER","TRY","RT","A","2017",14.04,
"AUT","STUDPERTEACHER","TRY","RT","A","2018",13.767,
"AUT","STUDPERTEACHER","TRY","RT","A","2019",13.452,
"AUT","STUDPERTEACHER","TRY","RT","A","2020",14.222,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",12.709,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2018",12.541,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2019",11.999,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2020",12.125,
"AUT","STUDPERTEACHER","SRY","RT","A","2017",9.174,
"AUT","STUDPERTEACHER","SRY","RT","A","2018",9.128,
"AUT","STUDPERTEACHER","SRY","RT","A","2019",9.155,
"AUT","STUDPERTEACHER","SRY","RT","A","2020",9.155,
"BEL","STUDPERTEACHER","PRY","RT","A","2017",12.895,
"BEL","STUDPERTEACHER","PRY","RT","A","2018",12.815,
"BEL","STUDPERTEACHER","PRY","RT","A","2019",12.657,
"BEL","STUDPERTEACHER","PRY","RT","A","2020",12.458,
"BEL","STUDPERTEACHER","TRY","RT","A","2017",21.168,
"BEL","STUDPERTEACHER","TRY","RT","A","2018",20.973,
"BEL","STUDPERTEACHER","TRY","RT","A","2019",21.365,
"BEL","STUDPERTEACHER","TRY","RT","A","2020",21.444,
"BEL","STUDPERTEACHER","SRY","RT","A","2017",9.419,
"BEL","STUDPERTEACHER","SRY","RT","A","2018",9.352,
"BEL","STUDPERTEACHER","SRY","RT","A","2019",9.293,
"BEL","STUDPERTEACHER","SRY","RT","A","2020",9.164,
"CAN","STUDPERTEACHER","PRY","RT","A","2017",16.225,
"CAN","STUDPERTEACHER","PRY","RT","A","2018",16.691,
"CAN","STUDPERTEACHER","PRY","RT","A","2019",16.433,
"CAN","STUDPERTEACHER","PRY","RT","A","2020",16.349,
"CZE","STUDPERTEACHER","PRY","RT","A","2017",19.138,
"CZE","STUDPERTEACHER","PRY","RT","A","2018",19.198,
"CZE","STUDPERTEACHER","PRY","RT","A","2019",18.733,
"CZE","STUDPERTEACHER","PRY","RT","A","2020",18.041,
"CZE","STUDPERTEACHER","TRY","RT","A","2017",18.362,
"CZE","STUDPERTEACHER","TRY","RT","A","2018",15.017,
"CZE","STUDPERTEACHER","TRY","RT","A","2019",16.803,
"CZE","STUDPERTEACHER","TRY","RT","A","2020",16.183,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",13.168,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2018",13.07,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2019",12.97,
"CZE","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2020",12.283,
"CZE","STUDPERTEACHER","SRY","RT","A","2017",11.594,
"CZE","STUDPERTEACHER","SRY","RT","A","2018",11.9,
"CZE","STUDPERTEACHER","SRY","RT","A","2019",11.539,
"CZE","STUDPERTEACHER","SRY","RT","A","2020",11.436,
"DNK","STUDPERTEACHER","PRY","RT","A","2017",11.955,
"DNK","STUDPERTEACHER","PRY","RT","A","2018",11.916,
"DNK","STUDPERTEACHER","PRY","RT","A","2019",11.912,
"DNK","STUDPERTEACHER","PRY","RT","A","2020",12.086,
"DNK","STUDPERTEACHER","TRY","RT","A","2017",16.068,
"DNK","STUDPERTEACHER","TRY","RT","A","2018",15.761,
"DNK","STUDPERTEACHER","TRY","RT","A","2019",15.693,
"DNK","STUDPERTEACHER","TRY","RT","A","2020",15.766,
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2018",7.704,
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2019",7.472,
"DNK","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2020",7.515,
"DNK","STUDPERTEACHER","SRY","RT","A","2017",11.181,
"DNK","STUDPERTEACHER","SRY","RT","A","2018",11.235,
"DNK","STUDPERTEACHER","SRY","RT","A","2019",11.11,
"DNK","STUDPERTEACHER","SRY","RT","A","2020",11.673,
"FIN","STUDPERTEACHER","PRY","RT","A","2017",13.667,
"FIN","STUDPERTEACHER","PRY","RT","A","2018",13.585,
"FIN","STUDPERTEACHER","PRY","RT","A","2019",13.528,
"FIN","STUDPERTEACHER","PRY","RT","A","2020",13.112,
"FIN","STUDPERTEACHER","TRY","RT","A","2017",15.506,
"FIN","STUDPERTEACHER","TRY","RT","A","2018",15.327,
"FIN","STUDPERTEACHER","TRY","RT","A","2019",14.925,
"FIN","STUDPERTEACHER","TRY","RT","A","2020",14.418,
"FIN","STUDPERTEACHER","SRY","RT","A","2017",13.58,
