"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","15_19_MEN","PC_AGE","A","2017",6.4683914,
"AUS","NEET","15_19_MEN","PC_AGE","A","2018",6.8133616,
"AUS","NEET","15_19_MEN","PC_AGE","A","2019",7.0256076,
"AUS","NEET","15_19_MEN","PC_AGE","A","2020",9.1544647,
"AUS","NEET","15_19_MEN","PC_AGE","A","2021",5.1387262,
"AUS","NEET","20_24_MEN","PC_AGE","A","2017",10.156062,
"AUS","NEET","20_24_MEN","PC_AGE","A","2018",10.115208,
"AUS","NEET","20_24_MEN","PC_AGE","A","2019",10.871539,
"AUS","NEET","20_24_MEN","PC_AGE","A","2020",15.907754,
"AUS","NEET","20_24_MEN","PC_AGE","A","2021",13.7348,
"AUS","NEET","15_29_MEN","PC_AGE","A","2017",9.1421337,
"AUS","NEET","15_29_MEN","PC_AGE","A","2018",9.0891037,
"AUS","NEET","15_29_MEN","PC_AGE","A","2019",8.8515711,
"AUS","NEET","15_29_MEN","PC_AGE","A","2020",13.320915,
"AUS","NEET","15_29_MEN","PC_AGE","A","2021",10.034245,
"AUT","NEET","15_19_MEN","PC_AGE","A","2017",5.8304758,
"AUT","NEET","15_19_MEN","PC_AGE","A","2018",5.6372228,
"AUT","NEET","15_19_MEN","PC_AGE","A","2019",7.1916704,
"AUT","NEET","15_19_MEN","PC_AGE","A","2020",5.37,
"AUT","NEET","15_19_MEN","PC_AGE","A","2021",8.2955256,
"AUT","NEET","20_24_MEN","PC_AGE","A","2017",13.919714,
"AUT","NEET","20_24_MEN","PC_AGE","A","2018",13.678047,
"AUT","NEET","20_24_MEN","PC_AGE","A","2019",11.63882,
"AUT","NEET","20_24_MEN","PC_AGE","A","2020",15.54,
"AUT","NEET","20_24_MEN","PC_AGE","A","2021",12.192667,
"AUT","NEET","15_29_MEN","PC_AGE","A","2017",11.20458,
"AUT","NEET","15_29_MEN","PC_AGE","A","2018",10.640327,
"AUT","NEET","15_29_MEN","PC_AGE","A","2019",9.6966858,
"AUT","NEET","15_29_MEN","PC_AGE","A","2020",11.27,
"AUT","NEET","15_29_MEN","PC_AGE","A","2021",11.175833,
"BEL","NEET","15_19_MEN","PC_AGE","A","2017",4.5106015,
"BEL","NEET","15_19_MEN","PC_AGE","A","2018",3.7882929,
"BEL","NEET","15_19_MEN","PC_AGE","A","2019",5.5236273,
"BEL","NEET","15_19_MEN","PC_AGE","A","2020",4.8573732,
"BEL","NEET","15_19_MEN","PC_AGE","A","2021",5.5430698,
"BEL","NEET","20_24_MEN","PC_AGE","A","2017",16.743752,
"BEL","NEET","20_24_MEN","PC_AGE","A","2018",16.727261,
"BEL","NEET","20_24_MEN","PC_AGE","A","2019",17.185247,
"BEL","NEET","20_24_MEN","PC_AGE","A","2020",14.686902,
"BEL","NEET","15_29_MEN","PC_AGE","A","2017",13.271736,
"BEL","NEET","15_29_MEN","PC_AGE","A","2018",12.207232,
"BEL","NEET","15_29_MEN","PC_AGE","A","2019",12.023787,
"BEL","NEET","15_29_MEN","PC_AGE","A","2020",11.969522,
"BEL","NEET","15_29_MEN","PC_AGE","A","2021",11.1696,
"CAN","NEET","15_19_MEN","PC_AGE","A","2017",6.5750737,
"CAN","NEET","15_19_MEN","PC_AGE","A","2018",7.093596,
"CAN","NEET","15_19_MEN","PC_AGE","A","2019",6.6471162,
"CAN","NEET","15_19_MEN","PC_AGE","A","2020",10.171103,
"CAN","NEET","15_19_MEN","PC_AGE","A","2021",7.9122972,
"CAN","NEET","20_24_MEN","PC_AGE","A","2017",14.285714,
"CAN","NEET","20_24_MEN","PC_AGE","A","2018",14.367816,
"CAN","NEET","20_24_MEN","PC_AGE","A","2019",13.513514,
"CAN","NEET","20_24_MEN","PC_AGE","A","2020",15.7188,
"CAN","NEET","20_24_MEN","PC_AGE","A","2021",17.277071,
"CAN","NEET","15_29_MEN","PC_AGE","A","2017",12.485582,
"CAN","NEET","15_29_MEN","PC_AGE","A","2018",12.171429,
"CAN","NEET","15_29_MEN","PC_AGE","A","2019",11.543889,
"CAN","NEET","15_29_MEN","PC_AGE","A","2020",14.230769,
"CAN","NEET","15_29_MEN","PC_AGE","A","2021",14.566058,
"CZE","NEET","15_19_MEN","PC_AGE","A","2017",1.5289133,
"CZE","NEET","15_19_MEN","PC_AGE","A","2018",2.3126402,
"CZE","NEET","15_19_MEN","PC_AGE","A","2019",1.651027,
"CZE","NEET","15_19_MEN","PC_AGE","A","2020",2.0413942,
"CZE","NEET","15_19_MEN","PC_AGE","A","2021",4.0319009,
"CZE","NEET","20_24_MEN","PC_AGE","A","2017",7.4588799,
"CZE","NEET","20_24_MEN","PC_AGE","A","2018",5.7188263,
"CZE","NEET","20_24_MEN","PC_AGE","A","2019",5.1168313,
"CZE","NEET","20_24_MEN","PC_AGE","A","2020",5.3530183,
"CZE","NEET","20_24_MEN","PC_AGE","A","2021",6.1939859,
"CZE","NEET","15_29_MEN","PC_AGE","A","2017",5.2091265,
"CZE","NEET","15_29_MEN","PC_AGE","A","2018",4.2448997,
"CZE","NEET","15_29_MEN","PC_AGE","A","2019",4.3982787,
"CZE","NEET","15_29_MEN","PC_AGE","A","2020",4.566627,
"CZE","NEET","15_29_MEN","PC_AGE","A","2021",5.30971,
"DNK","NEET","15_19_MEN","PC_AGE","A","2017",5.0759907,
"DNK","NEET","15_19_MEN","PC_AGE","A","2018",4.1990876,
"DNK","NEET","15_19_MEN","PC_AGE","A","2019",4.0091233,
"DNK","NEET","15_19_MEN","PC_AGE","A","2020",3.8901088,
"DNK","NEET","15_19_MEN","PC_AGE","A","2021",5.085146,
"DNK","NEET","20_24_MEN","PC_AGE","A","2017",16.336992,
"DNK","NEET","20_24_MEN","PC_AGE","A","2018",13.063795,
"DNK","NEET","20_24_MEN","PC_AGE","A","2019",12.88414,
"DNK","NEET","20_24_MEN","PC_AGE","A","2020",13.749064,
"DNK","NEET","20_24_MEN","PC_AGE","A","2021",11.809051,
"DNK","NEET","15_29_MEN","PC_AGE","A","2017",12.522945,
"DNK","NEET","15_29_MEN","PC_AGE","A","2018",12.164936,
"DNK","NEET","15_29_MEN","PC_AGE","A","2019",11.118253,
"DNK","NEET","15_29_MEN","PC_AGE","A","2020",10.920341,
"DNK","NEET","15_29_MEN","PC_AGE","A","2021",10.603081,
"FIN","NEET","15_19_MEN","PC_AGE","A","2017",4.9295774,
"FIN","NEET","15_19_MEN","PC_AGE","A","2018",4.8611112,
"FIN","NEET","15_19_MEN","PC_AGE","A","2019",4.9645391,
"FIN","NEET","15_19_MEN","PC_AGE","A","2020",4.347826,
"FIN","NEET","15_19_MEN","PC_AGE","A","2021",4.4117646,
"FIN","NEET","20_24_MEN","PC_AGE","A","2017",18.072289,
"FIN","NEET","20_24_MEN","PC_AGE","A","2018",14.83871,
"FIN","NEET","20_24_MEN","PC_AGE","A","2019",13.375796,
"FIN","NEET","20_24_MEN","PC_AGE","A","2020",17.721519,
"FIN","NEET","20_24_MEN","PC_AGE","A","2021",16.25,
"FIN","NEET","15_29_MEN","PC_AGE","A","2017",11.875,
"FIN","NEET","15_29_MEN","PC_AGE","A","2018",10.901467,
"FIN","NEET","15_29_MEN","PC_AGE","A","2019",9.7872343,
"FIN","NEET","15_29_MEN","PC_AGE","A","2020",11.111111,
