"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"AUS","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"AUT","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2017",40128.5,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2018",27126.3,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2019",41305.6,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2020",32605.8,
"BEL","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"CAN","ELECTRICITY","NUCLEAR","GWH","A","2017",95565,
"CAN","ELECTRICITY","NUCLEAR","GWH","A","2018",95030,
"CAN","ELECTRICITY","NUCLEAR","GWH","A","2019",95469,
"CAN","ELECTRICITY","NUCLEAR","GWH","A","2020",92637,
"CAN","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2017",26785.6,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2018",28252.539,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2019",28579.351,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2020",28369.685,
"CZE","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"DNK","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2017",21574,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2018",21881,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2019",22915,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2020",22354,
"FIN","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2017",379093.955,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2018",393134.327,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2019",379464,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2020",335414.238,
"FRA","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2017",72155,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2018",71866,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2019",70992,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2020",60914,
"DEU","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"GRC","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"GRC","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"GRC","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"GRC","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"GRC","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"HUN","ELECTRICITY","NUCLEAR","GWH","A","2017",15215,
"HUN","ELECTRICITY","NUCLEAR","GWH","A","2018",14855,
"HUN","ELECTRICITY","NUCLEAR","GWH","A","2019",15402,
"HUN","ELECTRICITY","NUCLEAR","GWH","A","2020",15172,
"HUN","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"ISL","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"ISL","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"ISL","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"ISL","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"ISL","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"IRL","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"IRL","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"IRL","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"IRL","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"IRL","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"ITA","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"ITA","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"ITA","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"ITA","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"ITA","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"JPN","ELECTRICITY","NUCLEAR","GWH","A","2017",30284.35,
"JPN","ELECTRICITY","NUCLEAR","GWH","A","2018",60557.885,
"JPN","ELECTRICITY","NUCLEAR","GWH","A","2019",59687.251,
"JPN","ELECTRICITY","NUCLEAR","GWH","A","2020",34659.96,
"JPN","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"KOR","ELECTRICITY","NUCLEAR","GWH","A","2017",141278.284,
"KOR","ELECTRICITY","NUCLEAR","GWH","A","2018",127077.898,
"KOR","ELECTRICITY","NUCLEAR","GWH","A","2019",138679.204,
"KOR","ELECTRICITY","NUCLEAR","GWH","A","2020",152583.936,
"KOR","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"LUX","ELECTRICITY","NUCLEAR","GWH","A","2017",0,
"LUX","ELECTRICITY","NUCLEAR","GWH","A","2018",0,
"LUX","ELECTRICITY","NUCLEAR","GWH","A","2019",0,
"LUX","ELECTRICITY","NUCLEAR","GWH","A","2020",0,
"LUX","ELECTRICITY","NUCLEAR","GWH","A","2021",,"L"
"MEX","ELECTRICITY","NUCLEAR","GWH","A","2017",10572,
"MEX","ELECTRICITY","NUCLEAR","GWH","A","2018",13317,
