"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"CZE","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",33.3,
"TUR","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"CHL","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"AUS","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"SVK","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",57.5,
"CHE","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",37.9,
"USA","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",20.2,
"ISR","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"RUS","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",18.6,
"ISL","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"JPN","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,
"MEX","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",4.4,
"NOR","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"BRA","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",2.9,
"WLD","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",11.1,
"BEL","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",50,
"DNK","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"DEU","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",15.8,
"CHN","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",2.4,
"NZL","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"PRT","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"SWE","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",41.2,
"GBR","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",16.6,
"EST","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"IDN","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"OECD","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",19.3,
"FRA","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",76.9,
"HUN","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",49,
"ITA","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"LUX","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"SVN","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",37.4,
"ZAF","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",6.2,
"CAN","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",16,
"FIN","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",33.9,
"GRC","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"IRL","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"KOR","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",30.1,
"NLD","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",3.5,
"POL","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",0,"Z"
"ESP","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",20.4,
"IND","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",3.5,
"EU28","ELECTRICITY","NUCLEAR","PC_ENRGGEN","A","2014",26.9,
