"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","BUILT_UP","TOT","SQM_CAP","A","2014",378.130030485,
"AUT","BUILT_UP","TOT","SQM_CAP","A","2014",268.560397462,
"BEL","BUILT_UP","TOT","SQM_CAP","A","2014",399.194183873,
"CAN","BUILT_UP","TOT","SQM_CAP","A","2014",376.211606854,
"CZE","BUILT_UP","TOT","SQM_CAP","A","2014",278.953594934,
"DNK","BUILT_UP","TOT","SQM_CAP","A","2014",416.44907054,
"FIN","BUILT_UP","TOT","SQM_CAP","A","2014",213.708981125,
"FRA","BUILT_UP","TOT","SQM_CAP","A","2014",369.16420593,
"DEU","BUILT_UP","TOT","SQM_CAP","A","2014",287.977884078,
"GRC","BUILT_UP","TOT","SQM_CAP","A","2014",228.973000782,
"HUN","BUILT_UP","TOT","SQM_CAP","A","2014",320.363938368,
"ISL","BUILT_UP","TOT","SQM_CAP","A","2014",82.007167366,
"IRL","BUILT_UP","TOT","SQM_CAP","A","2014",210.381678367,
"ITA","BUILT_UP","TOT","SQM_CAP","A","2014",233.669742409,
"JPN","BUILT_UP","TOT","SQM_CAP","A","2014",224.699695768,
"KOR","BUILT_UP","TOT","SQM_CAP","A","2014",91.54810979,
"LUX","BUILT_UP","TOT","SQM_CAP","A","2014",354.394298989,
"MEX","BUILT_UP","TOT","SQM_CAP","A","2014",120.849178726,
"NLD","BUILT_UP","TOT","SQM_CAP","A","2014",285.162272451,
"NZL","BUILT_UP","TOT","SQM_CAP","A","2014",257.301816398,
"NOR","BUILT_UP","TOT","SQM_CAP","A","2014",280.700248847,
"POL","BUILT_UP","TOT","SQM_CAP","A","2014",227.007907852,
"PRT","BUILT_UP","TOT","SQM_CAP","A","2014",323.795823443,
"SVK","BUILT_UP","TOT","SQM_CAP","A","2014",282.268347781,
"ESP","BUILT_UP","TOT","SQM_CAP","A","2014",179.19827269,
"SWE","BUILT_UP","TOT","SQM_CAP","A","2014",288.968726017,
"CHE","BUILT_UP","TOT","SQM_CAP","A","2014",238.941798681,
"TUR","BUILT_UP","TOT","SQM_CAP","A","2014",78.639643286,
"GBR","BUILT_UP","TOT","SQM_CAP","A","2014",212.764398249,
"USA","BUILT_UP","TOT","SQM_CAP","A","2014",513.298497933,
"G7M","BUILT_UP","TOT","SQM_CAP","A","2014",372.66205081,
"AFG","BUILT_UP","TOT","SQM_CAP","A","2014",15.763671417,
"ALB","BUILT_UP","TOT","SQM_CAP","A","2014",133.987907856,
"DZA","BUILT_UP","TOT","SQM_CAP","A","2014",70.939363081,
"AGO","BUILT_UP","TOT","SQM_CAP","A","2014",43.388635968,
"ARG","BUILT_UP","TOT","SQM_CAP","A","2014",118.4286221,
"ARM","BUILT_UP","TOT","SQM_CAP","A","2014",143.51838982,
"AZE","BUILT_UP","TOT","SQM_CAP","A","2014",116.587749327,
