"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2017",11.6288380609,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2018",40.9732887514,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2019",40.9732887514,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2020",40.9732887514,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2021",40.9732887514,
"BEL","PROTECTEDAREA","MARINE","PC_WATER","A","2017",36.2668945161,
"BEL","PROTECTEDAREA","MARINE","PC_WATER","A","2018",36.2668945161,
"BEL","PROTECTEDAREA","MARINE","PC_WATER","A","2019",36.2668945161,
"BEL","PROTECTEDAREA","MARINE","PC_WATER","A","2020",36.2668945161,
"BEL","PROTECTEDAREA","MARINE","PC_WATER","A","2021",36.2668945161,
"CAN","PROTECTEDAREA","MARINE","PC_WATER","A","2017",2.9388530661,
"CAN","PROTECTEDAREA","MARINE","PC_WATER","A","2018",3.1369874708,
"CAN","PROTECTEDAREA","MARINE","PC_WATER","A","2019",8.7971370205,
"CAN","PROTECTEDAREA","MARINE","PC_WATER","A","2020",8.7980092475,
"CAN","PROTECTEDAREA","MARINE","PC_WATER","A","2021",8.7980092475,
"DNK","PROTECTEDAREA","MARINE","PC_WATER","A","2017",18.2371340196,
"DNK","PROTECTEDAREA","MARINE","PC_WATER","A","2018",18.2371340196,
"DNK","PROTECTEDAREA","MARINE","PC_WATER","A","2019",18.2371340196,
"DNK","PROTECTEDAREA","MARINE","PC_WATER","A","2020",18.2371340196,
"DNK","PROTECTEDAREA","MARINE","PC_WATER","A","2021",18.2371340196,
"FIN","PROTECTEDAREA","MARINE","PC_WATER","A","2017",12.0842755082,
"FIN","PROTECTEDAREA","MARINE","PC_WATER","A","2018",12.0852529807,
"FIN","PROTECTEDAREA","MARINE","PC_WATER","A","2019",12.0872079258,
"FIN","PROTECTEDAREA","MARINE","PC_WATER","A","2020",12.0872079258,
"FIN","PROTECTEDAREA","MARINE","PC_WATER","A","2021",12.0872079258,
"FRA","PROTECTEDAREA","MARINE","PC_WATER","A","2017",42.8201882175,
"FRA","PROTECTEDAREA","MARINE","PC_WATER","A","2018",45.5534535841,
"FRA","PROTECTEDAREA","MARINE","PC_WATER","A","2019",45.5718913451,
"FRA","PROTECTEDAREA","MARINE","PC_WATER","A","2020",45.5718913451,
"FRA","PROTECTEDAREA","MARINE","PC_WATER","A","2021",45.5718913451,
"DEU","PROTECTEDAREA","MARINE","PC_WATER","A","2017",45.3514373939,
"DEU","PROTECTEDAREA","MARINE","PC_WATER","A","2018",45.3515968917,
"DEU","PROTECTEDAREA","MARINE","PC_WATER","A","2019",45.3515968917,
"DEU","PROTECTEDAREA","MARINE","PC_WATER","A","2020",45.3515968917,
"DEU","PROTECTEDAREA","MARINE","PC_WATER","A","2021",45.3515968917,
"GRC","PROTECTEDAREA","MARINE","PC_WATER","A","2017",4.685021167,
"GRC","PROTECTEDAREA","MARINE","PC_WATER","A","2018",4.685021167,
"GRC","PROTECTEDAREA","MARINE","PC_WATER","A","2019",4.685021167,
"GRC","PROTECTEDAREA","MARINE","PC_WATER","A","2020",4.685021167,
"GRC","PROTECTEDAREA","MARINE","PC_WATER","A","2021",4.685021167,
"ISL","PROTECTEDAREA","MARINE","PC_WATER","A","2017",0.401479515,
"ISL","PROTECTEDAREA","MARINE","PC_WATER","A","2018",0.401479515,
"ISL","PROTECTEDAREA","MARINE","PC_WATER","A","2019",0.401706532,
"ISL","PROTECTEDAREA","MARINE","PC_WATER","A","2020",0.401706532,
"ISL","PROTECTEDAREA","MARINE","PC_WATER","A","2021",0.401706532,
"IRL","PROTECTEDAREA","MARINE","PC_WATER","A","2017",2.0723524732,
"IRL","PROTECTEDAREA","MARINE","PC_WATER","A","2018",2.1026015854,
"IRL","PROTECTEDAREA","MARINE","PC_WATER","A","2019",2.3719958754,
"IRL","PROTECTEDAREA","MARINE","PC_WATER","A","2020",2.3719958754,
"IRL","PROTECTEDAREA","MARINE","PC_WATER","A","2021",2.3719958754,
"ITA","PROTECTEDAREA","MARINE","PC_WATER","A","2017",5.6280390534,
"ITA","PROTECTEDAREA","MARINE","PC_WATER","A","2018",5.7417356269,
"ITA","PROTECTEDAREA","MARINE","PC_WATER","A","2019",5.8709370405,
"ITA","PROTECTEDAREA","MARINE","PC_WATER","A","2020",5.8709370405,
"ITA","PROTECTEDAREA","MARINE","PC_WATER","A","2021",5.8709370405,
"JPN","PROTECTEDAREA","MARINE","PC_WATER","A","2017",8.9946204711,
"JPN","PROTECTEDAREA","MARINE","PC_WATER","A","2018",8.9946204711,
"JPN","PROTECTEDAREA","MARINE","PC_WATER","A","2019",8.9946224771,
"JPN","PROTECTEDAREA","MARINE","PC_WATER","A","2020",8.9946224771,
"JPN","PROTECTEDAREA","MARINE","PC_WATER","A","2021",8.9946224771,
"KOR","PROTECTEDAREA","MARINE","PC_WATER","A","2017",1.5448707526,
"KOR","PROTECTEDAREA","MARINE","PC_WATER","A","2018",1.7546896863,
"KOR","PROTECTEDAREA","MARINE","PC_WATER","A","2019",1.7736276964,
"KOR","PROTECTEDAREA","MARINE","PC_WATER","A","2020",1.7739239114,
"KOR","PROTECTEDAREA","MARINE","PC_WATER","A","2021",1.7739239114,
"MEX","PROTECTEDAREA","MARINE","PC_WATER","A","2017",22.1876814432,
"MEX","PROTECTEDAREA","MARINE","PC_WATER","A","2018",22.1876814432,
"MEX","PROTECTEDAREA","MARINE","PC_WATER","A","2019",22.1876814432,
"MEX","PROTECTEDAREA","MARINE","PC_WATER","A","2020",22.1876814432,
"MEX","PROTECTEDAREA","MARINE","PC_WATER","A","2021",22.1876814432,
"NLD","PROTECTEDAREA","MARINE","PC_WATER","A","2017",26.8520307447,
"NLD","PROTECTEDAREA","MARINE","PC_WATER","A","2018",26.9291724418,
"NLD","PROTECTEDAREA","MARINE","PC_WATER","A","2019",26.9291724418,
"NLD","PROTECTEDAREA","MARINE","PC_WATER","A","2020",26.9291724418,
"NLD","PROTECTEDAREA","MARINE","PC_WATER","A","2021",26.9291724418,
"NZL","PROTECTEDAREA","MARINE","PC_WATER","A","2017",29.813795435,
"NZL","PROTECTEDAREA","MARINE","PC_WATER","A","2018",29.8138085858,
"NZL","PROTECTEDAREA","MARINE","PC_WATER","A","2019",29.8138173531,
"NZL","PROTECTEDAREA","MARINE","PC_WATER","A","2020",29.8138195449,
"NZL","PROTECTEDAREA","MARINE","PC_WATER","A","2021",29.8138195449,
"NOR","PROTECTEDAREA","MARINE","PC_WATER","A","2017",0.8873155457,
"NOR","PROTECTEDAREA","MARINE","PC_WATER","A","2018",0.8892420489,
"NOR","PROTECTEDAREA","MARINE","PC_WATER","A","2019",0.889474391,
"NOR","PROTECTEDAREA","MARINE","PC_WATER","A","2020",0.889474391,
"NOR","PROTECTEDAREA","MARINE","PC_WATER","A","2021",0.889474391,
"POL","PROTECTEDAREA","MARINE","PC_WATER","A","2017",24.3047800544,
"POL","PROTECTEDAREA","MARINE","PC_WATER","A","2018",24.3047800544,
"POL","PROTECTEDAREA","MARINE","PC_WATER","A","2019",24.3047800544,
"POL","PROTECTEDAREA","MARINE","PC_WATER","A","2020",24.3047800544,
"POL","PROTECTEDAREA","MARINE","PC_WATER","A","2021",24.3047800544,
"PRT","PROTECTEDAREA","MARINE","PC_WATER","A","2017",4.4593467395,
"PRT","PROTECTEDAREA","MARINE","PC_WATER","A","2018",4.46016235,
"PRT","PROTECTEDAREA","MARINE","PC_WATER","A","2019",4.46016235,
"PRT","PROTECTEDAREA","MARINE","PC_WATER","A","2020",4.46016235,
"PRT","PROTECTEDAREA","MARINE","PC_WATER","A","2021",4.46016235,
"ESP","PROTECTEDAREA","MARINE","PC_WATER","A","2017",8.4633032706,
"ESP","PROTECTEDAREA","MARINE","PC_WATER","A","2018",12.7498866932,
"ESP","PROTECTEDAREA","MARINE","PC_WATER","A","2019",13.0524652842,
"ESP","PROTECTEDAREA","MARINE","PC_WATER","A","2020",13.0524652842,
"ESP","PROTECTEDAREA","MARINE","PC_WATER","A","2021",13.0524652842,
"SWE","PROTECTEDAREA","MARINE","PC_WATER","A","2017",15.5102735184,
"SWE","PROTECTEDAREA","MARINE","PC_WATER","A","2018",15.6142485597,
"SWE","PROTECTEDAREA","MARINE","PC_WATER","A","2019",15.6873136609,
"SWE","PROTECTEDAREA","MARINE","PC_WATER","A","2020",15.6873136609,
"SWE","PROTECTEDAREA","MARINE","PC_WATER","A","2021",15.6873136609,
"GBR","PROTECTEDAREA","MARINE","PC_WATER","A","2017",26.3501789387,
"GBR","PROTECTEDAREA","MARINE","PC_WATER","A","2018",26.6207200086,
"GBR","PROTECTEDAREA","MARINE","PC_WATER","A","2019",41.3692161489,
"GBR","PROTECTEDAREA","MARINE","PC_WATER","A","2020",41.4616913796,
"GBR","PROTECTEDAREA","MARINE","PC_WATER","A","2021",41.4616913796,
"USA","PROTECTEDAREA","MARINE","PC_WATER","A","2017",19.1103699458,
"USA","PROTECTEDAREA","MARINE","PC_WATER","A","2018",19.1103699458,
"USA","PROTECTEDAREA","MARINE","PC_WATER","A","2019",19.1103699458,
"USA","PROTECTEDAREA","MARINE","PC_WATER","A","2020",19.1103699458,
