"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO","KG_CAP","A","2017",113.857,
"AUS","AIREMISSION","CO","KG_CAP","A","2018",102.81,
"AUS","AIREMISSION","CO","KG_CAP","A","2019",94.563,
"AUS","AIREMISSION","CO","KG_CAP","A","2020",89.772,
"AUS","AIREMISSION","NOX","KG_CAP","A","2017",109.207,
"AUS","AIREMISSION","NOX","KG_CAP","A","2018",110.89,
"AUS","AIREMISSION","NOX","KG_CAP","A","2019",107.602,
"AUS","AIREMISSION","NOX","KG_CAP","A","2020",115.87,
"AUS","AIREMISSION","SOX","KG_CAP","A","2017",92.99,
"AUS","AIREMISSION","SOX","KG_CAP","A","2018",83.38,
"AUS","AIREMISSION","SOX","KG_CAP","A","2019",84.849,
"AUS","AIREMISSION","SOX","KG_CAP","A","2020",80.956,
"AUS","AIREMISSION","VOC","KG_CAP","A","2017",52.945,
"AUS","AIREMISSION","VOC","KG_CAP","A","2018",50.534,
"AUS","AIREMISSION","VOC","KG_CAP","A","2019",46.337,
"AUS","AIREMISSION","VOC","KG_CAP","A","2020",44.734,
"AUT","AIREMISSION","CO","KG_CAP","A","2017",59.489,
"AUT","AIREMISSION","CO","KG_CAP","A","2018",54.579,
"AUT","AIREMISSION","CO","KG_CAP","A","2019",55.822,
"AUT","AIREMISSION","CO","KG_CAP","A","2020",53.157,
"AUT","AIREMISSION","NOX","KG_CAP","A","2017",18.293,
"AUT","AIREMISSION","NOX","KG_CAP","A","2018",16.953,
"AUT","AIREMISSION","NOX","KG_CAP","A","2019",16.029,
"AUT","AIREMISSION","NOX","KG_CAP","A","2020",13.789,
"AUT","AIREMISSION","SOX","KG_CAP","A","2017",1.446,
"AUT","AIREMISSION","SOX","KG_CAP","A","2018",1.301,
"AUT","AIREMISSION","SOX","KG_CAP","A","2019",1.244,
"AUT","AIREMISSION","SOX","KG_CAP","A","2020",1.177,
"AUT","AIREMISSION","VOC","KG_CAP","A","2017",12.718,
"AUT","AIREMISSION","VOC","KG_CAP","A","2018",12.286,
"AUT","AIREMISSION","VOC","KG_CAP","A","2019",12.192,
"AUT","AIREMISSION","VOC","KG_CAP","A","2020",12.409,
"BEL","AIREMISSION","CO","KG_CAP","A","2017",24.758,
"BEL","AIREMISSION","CO","KG_CAP","A","2018",28.544,
"BEL","AIREMISSION","CO","KG_CAP","A","2019",31.199,
"BEL","AIREMISSION","CO","KG_CAP","A","2020",23.014,
"BEL","AIREMISSION","NOX","KG_CAP","A","2017",14.987,
"BEL","AIREMISSION","NOX","KG_CAP","A","2018",14.343,
"BEL","AIREMISSION","NOX","KG_CAP","A","2019",13.237,
"BEL","AIREMISSION","NOX","KG_CAP","A","2020",11.453,
"BEL","AIREMISSION","SOX","KG_CAP","A","2017",2.844,
"BEL","AIREMISSION","SOX","KG_CAP","A","2018",2.778,
"BEL","AIREMISSION","SOX","KG_CAP","A","2019",2.566,
"BEL","AIREMISSION","SOX","KG_CAP","A","2020",2.083,
"BEL","AIREMISSION","VOC","KG_CAP","A","2017",10.049,
"BEL","AIREMISSION","VOC","KG_CAP","A","2018",9.911,
"BEL","AIREMISSION","VOC","KG_CAP","A","2019",9.761,
"BEL","AIREMISSION","VOC","KG_CAP","A","2020",9.804,
"CAN","AIREMISSION","CO","KG_CAP","A","2017",141.049,
"CAN","AIREMISSION","CO","KG_CAP","A","2018",138.725,
"CAN","AIREMISSION","CO","KG_CAP","A","2019",135.466,
"CAN","AIREMISSION","CO","KG_CAP","A","2020",123.125,
"CAN","AIREMISSION","NOX","KG_CAP","A","2017",44.74,
"CAN","AIREMISSION","NOX","KG_CAP","A","2018",44.59,
"CAN","AIREMISSION","NOX","KG_CAP","A","2019",43.707,
"CAN","AIREMISSION","NOX","KG_CAP","A","2020",38.53,
"CAN","AIREMISSION","SOX","KG_CAP","A","2017",26.228,
"CAN","AIREMISSION","SOX","KG_CAP","A","2018",21.967,
"CAN","AIREMISSION","SOX","KG_CAP","A","2019",19.011,
"CAN","AIREMISSION","SOX","KG_CAP","A","2020",17.151,
"CAN","AIREMISSION","VOC","KG_CAP","A","2017",44.572,
"CAN","AIREMISSION","VOC","KG_CAP","A","2018",45.159,
"CAN","AIREMISSION","VOC","KG_CAP","A","2019",43.711,
"CAN","AIREMISSION","VOC","KG_CAP","A","2020",38.503,
"CZE","AIREMISSION","CO","KG_CAP","A","2017",80.344,
"CZE","AIREMISSION","CO","KG_CAP","A","2018",80.832,
"CZE","AIREMISSION","CO","KG_CAP","A","2019",77.502,
"CZE","AIREMISSION","CO","KG_CAP","A","2020",74.368,
"CZE","AIREMISSION","NOX","KG_CAP","A","2017",17.995,
"CZE","AIREMISSION","NOX","KG_CAP","A","2018",17.258,
"CZE","AIREMISSION","NOX","KG_CAP","A","2019",16.003,
"CZE","AIREMISSION","NOX","KG_CAP","A","2020",14.356,
"CZE","AIREMISSION","SOX","KG_CAP","A","2017",10.381,
"CZE","AIREMISSION","SOX","KG_CAP","A","2018",9.086,
"CZE","AIREMISSION","SOX","KG_CAP","A","2019",7.486,
"CZE","AIREMISSION","SOX","KG_CAP","A","2020",6.225,
"CZE","AIREMISSION","VOC","KG_CAP","A","2017",21.49,
"CZE","AIREMISSION","VOC","KG_CAP","A","2018",21.411,
"CZE","AIREMISSION","VOC","KG_CAP","A","2019",20.545,
"CZE","AIREMISSION","VOC","KG_CAP","A","2020",18.592,
"DNK","AIREMISSION","CO","KG_CAP","A","2017",41.056,
"DNK","AIREMISSION","CO","KG_CAP","A","2018",38.052,
"DNK","AIREMISSION","CO","KG_CAP","A","2019",35.313,
"DNK","AIREMISSION","CO","KG_CAP","A","2020",32.902,
"DNK","AIREMISSION","NOX","KG_CAP","A","2017",18.918,
"DNK","AIREMISSION","NOX","KG_CAP","A","2018",17.805,
"DNK","AIREMISSION","NOX","KG_CAP","A","2019",16.472,
"DNK","AIREMISSION","NOX","KG_CAP","A","2020",15.236,
"DNK","AIREMISSION","SOX","KG_CAP","A","2017",1.782,
"DNK","AIREMISSION","SOX","KG_CAP","A","2018",1.825,
"DNK","AIREMISSION","SOX","KG_CAP","A","2019",1.594,
"DNK","AIREMISSION","SOX","KG_CAP","A","2020",1.567,
"DNK","AIREMISSION","VOC","KG_CAP","A","2017",18.914,
"DNK","AIREMISSION","VOC","KG_CAP","A","2018",18.65,
"DNK","AIREMISSION","VOC","KG_CAP","A","2019",17.733,
"DNK","AIREMISSION","VOC","KG_CAP","A","2020",18.292,
"FIN","AIREMISSION","CO","KG_CAP","A","2017",64.413,
"FIN","AIREMISSION","CO","KG_CAP","A","2018",62.975,
"FIN","AIREMISSION","CO","KG_CAP","A","2019",61.45,
"FIN","AIREMISSION","CO","KG_CAP","A","2020",56.732,
"FIN","AIREMISSION","NOX","KG_CAP","A","2017",22.455,
"FIN","AIREMISSION","NOX","KG_CAP","A","2018",21.685,
"FIN","AIREMISSION","NOX","KG_CAP","A","2019",20.439,
"FIN","AIREMISSION","NOX","KG_CAP","A","2020",17.745,
"FIN","AIREMISSION","SOX","KG_CAP","A","2017",6.442,
"FIN","AIREMISSION","SOX","KG_CAP","A","2018",5.978,
"FIN","AIREMISSION","SOX","KG_CAP","A","2019",5.287,
"FIN","AIREMISSION","SOX","KG_CAP","A","2020",4.191,
"FIN","AIREMISSION","VOC","KG_CAP","A","2017",15.86,
"FIN","AIREMISSION","VOC","KG_CAP","A","2018",15.543,
"FIN","AIREMISSION","VOC","KG_CAP","A","2019",15.304,
"FIN","AIREMISSION","VOC","KG_CAP","A","2020",15.265,
"FRA","AIREMISSION","CO","KG_CAP","A","2017",39.157,
"FRA","AIREMISSION","CO","KG_CAP","A","2018",37.241,
"FRA","AIREMISSION","CO","KG_CAP","A","2019",36.548,
"FRA","AIREMISSION","CO","KG_CAP","A","2020",32.099,
"FRA","AIREMISSION","NOX","KG_CAP","A","2017",13.138,
"FRA","AIREMISSION","NOX","KG_CAP","A","2018",12.251,
