"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO","THND_TONNE","A","2017",2801.087,
"AUS","AIREMISSION","CO","THND_TONNE","A","2018",2568.472,
"AUS","AIREMISSION","CO","THND_TONNE","A","2019",2398.667,
"AUS","AIREMISSION","CO","THND_TONNE","A","2020",2306.962,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2017",2686.69,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2018",2770.321,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2019",2729.413,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2020",2977.647,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2017",2287.733,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2018",2083.047,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2019",2152.252,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2020",2080.404,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2017",1302.548,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2018",1262.473,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2019",1175.369,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2020",1149.573,
"AUT","AIREMISSION","CO","THND_TONNE","A","2017",523.207,
"AUT","AIREMISSION","CO","THND_TONNE","A","2018",482.357,
"AUT","AIREMISSION","CO","THND_TONNE","A","2019",495.569,
"AUT","AIREMISSION","CO","THND_TONNE","A","2020",473.992,
"AUT","AIREMISSION","NOX","THND_TONNE","A","2017",160.889,
"AUT","AIREMISSION","NOX","THND_TONNE","A","2018",149.824,
"AUT","AIREMISSION","NOX","THND_TONNE","A","2019",142.299,
"AUT","AIREMISSION","NOX","THND_TONNE","A","2020",122.953,
"AUT","AIREMISSION","SOX","THND_TONNE","A","2017",12.714,
"AUT","AIREMISSION","SOX","THND_TONNE","A","2018",11.497,
"AUT","AIREMISSION","SOX","THND_TONNE","A","2019",11.046,
"AUT","AIREMISSION","SOX","THND_TONNE","A","2020",10.493,
"AUT","AIREMISSION","VOC","THND_TONNE","A","2017",111.856,
"AUT","AIREMISSION","VOC","THND_TONNE","A","2018",108.576,
"AUT","AIREMISSION","VOC","THND_TONNE","A","2019",108.232,
"AUT","AIREMISSION","VOC","THND_TONNE","A","2020",110.652,
"BEL","AIREMISSION","CO","THND_TONNE","A","2017",280.976,
"BEL","AIREMISSION","CO","THND_TONNE","A","2018",325.507,
"BEL","AIREMISSION","CO","THND_TONNE","A","2019",357.607,
"BEL","AIREMISSION","CO","THND_TONNE","A","2020",264.824,
