"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2017",550874.868,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2018",552484.025,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2019",546200.224,
"AUS","AIREMISSION","GHG","THND_TONNECO2","A","2020",527737.048,
"AUT","AIREMISSION","GHG","THND_TONNECO2","A","2017",81792.156,
"AUT","AIREMISSION","GHG","THND_TONNECO2","A","2018",78558.027,
"AUT","AIREMISSION","GHG","THND_TONNECO2","A","2019",79740.738,
"AUT","AIREMISSION","GHG","THND_TONNECO2","A","2020",73592.017,
"BEL","AIREMISSION","GHG","THND_TONNECO2","A","2017",117097.878,
"BEL","AIREMISSION","GHG","THND_TONNECO2","A","2018",117594.04,
"BEL","AIREMISSION","GHG","THND_TONNECO2","A","2019",116448.185,
"BEL","AIREMISSION","GHG","THND_TONNECO2","A","2020",106433.258,
"CAN","AIREMISSION","GHG","THND_TONNECO2","A","2017",725015.647,
"CAN","AIREMISSION","GHG","THND_TONNECO2","A","2018",740006.27,
"CAN","AIREMISSION","GHG","THND_TONNECO2","A","2019",738283.446,
"CAN","AIREMISSION","GHG","THND_TONNECO2","A","2020",672354.022,
"CZE","AIREMISSION","GHG","THND_TONNECO2","A","2017",130553.184,
"CZE","AIREMISSION","GHG","THND_TONNECO2","A","2018",128733.423,
"CZE","AIREMISSION","GHG","THND_TONNECO2","A","2019",122895.334,
"CZE","AIREMISSION","GHG","THND_TONNECO2","A","2020",112788.578,
"DNK","AIREMISSION","GHG","THND_TONNECO2","A","2017",50038.344,
"DNK","AIREMISSION","GHG","THND_TONNECO2","A","2018",49963.805,
"DNK","AIREMISSION","GHG","THND_TONNECO2","A","2019",46145.429,
"DNK","AIREMISSION","GHG","THND_TONNECO2","A","2020",43457.975,
"FIN","AIREMISSION","GHG","THND_TONNECO2","A","2017",55056.069,
"FIN","AIREMISSION","GHG","THND_TONNECO2","A","2018",56125.121,
"FIN","AIREMISSION","GHG","THND_TONNECO2","A","2019",52734.655,
"FIN","AIREMISSION","GHG","THND_TONNECO2","A","2020",47716.296,
"FRA","AIREMISSION","GHG","THND_TONNECO2","A","2017",469718.625,
"FRA","AIREMISSION","GHG","THND_TONNECO2","A","2018",450787.078,
"FRA","AIREMISSION","GHG","THND_TONNECO2","A","2019",441488.013,
"FRA","AIREMISSION","GHG","THND_TONNECO2","A","2020",399412.668,
"DEU","AIREMISSION","GHG","THND_TONNECO2","A","2017",885729.469,
"DEU","AIREMISSION","GHG","THND_TONNECO2","A","2018",850541.987,
"DEU","AIREMISSION","GHG","THND_TONNECO2","A","2019",799733.988,
"DEU","AIREMISSION","GHG","THND_TONNECO2","A","2020",728737.653,
"GRC","AIREMISSION","GHG","THND_TONNECO2","A","2017",95593.701,
"GRC","AIREMISSION","GHG","THND_TONNECO2","A","2018",92316.962,
"GRC","AIREMISSION","GHG","THND_TONNECO2","A","2019",85603.938,
"GRC","AIREMISSION","GHG","THND_TONNECO2","A","2020",74835.612,
"HUN","AIREMISSION","GHG","THND_TONNECO2","A","2017",64728.754,
"HUN","AIREMISSION","GHG","THND_TONNECO2","A","2018",64756.349,
"HUN","AIREMISSION","GHG","THND_TONNECO2","A","2019",64580.975,
"HUN","AIREMISSION","GHG","THND_TONNECO2","A","2020",62818.386,
"ISL","AIREMISSION","GHG","THND_TONNECO2","A","2017",4776.967,
"ISL","AIREMISSION","GHG","THND_TONNECO2","A","2018",4847.088,
"ISL","AIREMISSION","GHG","THND_TONNECO2","A","2019",4713.009,
"ISL","AIREMISSION","GHG","THND_TONNECO2","A","2020",4509.64,
"IRL","AIREMISSION","GHG","THND_TONNECO2","A","2017",62066.841,
"IRL","AIREMISSION","GHG","THND_TONNECO2","A","2018",62351.955,
"IRL","AIREMISSION","GHG","THND_TONNECO2","A","2019",59855.476,
"IRL","AIREMISSION","GHG","THND_TONNECO2","A","2020",57716.091,
"ITA","AIREMISSION","GHG","THND_TONNECO2","A","2017",433482.097,
"ITA","AIREMISSION","GHG","THND_TONNECO2","A","2018",429624.382,
"ITA","AIREMISSION","GHG","THND_TONNECO2","A","2019",418352.219,
"ITA","AIREMISSION","GHG","THND_TONNECO2","A","2020",381247.962,
"JPN","AIREMISSION","GHG","THND_TONNECO2","A","2017",1289434.117,
"JPN","AIREMISSION","GHG","THND_TONNECO2","A","2018",1245542.084,
"JPN","AIREMISSION","GHG","THND_TONNECO2","A","2019",1210159.62,
"JPN","AIREMISSION","GHG","THND_TONNECO2","A","2020",1148122.08,
"KOR","AIREMISSION","GHG","THND_TONNECO2","A","2017",710743.39,
"KOR","AIREMISSION","GHG","THND_TONNECO2","A","2018",727045.17,
"KOR","AIREMISSION","GHG","THND_TONNECO2","A","2019",701370.42,
"LUX","AIREMISSION","GHG","THND_TONNECO2","A","2017",10261.751,
"LUX","AIREMISSION","GHG","THND_TONNECO2","A","2018",10561.466,
"LUX","AIREMISSION","GHG","THND_TONNECO2","A","2019",10732.701,
"LUX","AIREMISSION","GHG","THND_TONNECO2","A","2020",9064.902,
