"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MATPROD","NONNRGMAT","USD_KG","A","2017",1.227194,"E"
"AUS","MATPROD","NONNRGMAT","USD_KG","A","2018",1.212704,"E"
"AUS","MATPROD","NONNRGMAT","USD_KG","A","2019",1.135835,"E"
"AUS","MATPROD","TOTMAT","USD_KG","A","2017",1.2389,
"AUS","MATPROD","TOTMAT","USD_KG","A","2018",1.2456,
"AUS","MATPROD","TOTMAT","USD_KG","A","2019",1.1826,
"AUT","MATPROD","NONNRGMAT","USD_KG","A","2017",3.157393,"E"
"AUT","MATPROD","NONNRGMAT","USD_KG","A","2018",3.17398,"E"
"AUT","MATPROD","NONNRGMAT","USD_KG","A","2019",3.260039,"E"
"AUT","MATPROD","NONNRGMAT","USD_KG","A","2020",3.032942,"E"
"AUT","MATPROD","TOTMAT","USD_KG","A","2017",2.7031,
"AUT","MATPROD","TOTMAT","USD_KG","A","2018",2.7377,
"AUT","MATPROD","TOTMAT","USD_KG","A","2019",2.7942,
"AUT","MATPROD","TOTMAT","USD_KG","A","2020",2.6298,"E"
"BEL","MATPROD","NONNRGMAT","USD_KG","A","2017",4.496754,"E"
"BEL","MATPROD","NONNRGMAT","USD_KG","A","2018",4.694151,"E"
"BEL","MATPROD","NONNRGMAT","USD_KG","A","2019",4.634744,"E"
"BEL","MATPROD","NONNRGMAT","USD_KG","A","2020",4.470209,"E"
"BEL","MATPROD","TOTMAT","USD_KG","A","2017",3.3984,
"BEL","MATPROD","TOTMAT","USD_KG","A","2018",3.5521,
"BEL","MATPROD","TOTMAT","USD_KG","A","2019",3.5134,
"BEL","MATPROD","TOTMAT","USD_KG","A","2020",3.3694,"E"
"CAN","MATPROD","NONNRGMAT","USD_KG","A","2017",1.517018,"E"
"CAN","MATPROD","NONNRGMAT","USD_KG","A","2018",1.580052,"E"
"CAN","MATPROD","NONNRGMAT","USD_KG","A","2019",1.577121,"E"
"CAN","MATPROD","TOTMAT","USD_KG","A","2017",0.7867,
"CAN","MATPROD","TOTMAT","USD_KG","A","2018",0.8193,
"CAN","MATPROD","TOTMAT","USD_KG","A","2019",0.8114,
"CZE","MATPROD","NONNRGMAT","USD_KG","A","2017",3.681645,"E"
"CZE","MATPROD","NONNRGMAT","USD_KG","A","2018",3.679441,"E"
"CZE","MATPROD","NONNRGMAT","USD_KG","A","2019",3.726128,"E"
