"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2017",12605.342,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2018",12641.478,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2019",12571.73,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2017",5017.6,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2018",5119,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2019",5220.28,"E"
"BEL","WASTEMUN","TOT","THND_TONNE","A","2017",4671.868,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2018",4677.385,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2019",4779.342,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2020",4799.862,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2017",5176.513,"B"
"CZE","WASTEMUN","TOT","THND_TONNE","A","2018",5247.652,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2019",5337.521,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2020",5418.774,"E"
"DNK","WASTEMUN","TOT","THND_TONNE","A","2017",4728,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2018",4715,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2019",4907.466,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2020",4926.531,"E"
"FIN","WASTEMUN","TOT","THND_TONNE","A","2017",2811.59,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2018",3041.08,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2019",3122.705,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2020",3296.157,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2017",35817.334,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2018",35888.628,"E"
"FRA","WASTEMUN","TOT","THND_TONNE","A","2019",37397.05,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2020",36153.605,"E"
"DEU","WASTEMUN","TOT","THND_TONNE","A","2017",51790,
"DEU","WASTEMUN","TOT","THND_TONNE","A","2018",50259.969,
"DEU","WASTEMUN","TOT","THND_TONNE","A","2019",50611.789,"E"
"DEU","WASTEMUN","TOT","THND_TONNE","A","2020",52566.96,"E"
"GRC","WASTEMUN","TOT","THND_TONNE","A","2017",5415,
"GRC","WASTEMUN","TOT","THND_TONNE","A","2018",5523,
"GRC","WASTEMUN","TOT","THND_TONNE","A","2019",5613.179,
"HUN","WASTEMUN","TOT","THND_TONNE","A","2017",3768,
"HUN","WASTEMUN","TOT","THND_TONNE","A","2018",3729,
"HUN","WASTEMUN","TOT","THND_TONNE","A","2019",3780,
"HUN","WASTEMUN","TOT","THND_TONNE","A","2020",3545.381,
"ISL","WASTEMUN","TOT","THND_TONNE","A","2017",225.347,
"ISL","WASTEMUN","TOT","THND_TONNE","A","2018",247.495,
"IRL","WASTEMUN","TOT","THND_TONNE","A","2017",2768.043,
"IRL","WASTEMUN","TOT","THND_TONNE","A","2018",2912.353,
"IRL","WASTEMUN","TOT","THND_TONNE","A","2019",3085.652,
"ITA","WASTEMUN","TOT","THND_TONNE","A","2017",29572,
"ITA","WASTEMUN","TOT","THND_TONNE","A","2018",30165,
"ITA","WASTEMUN","TOT","THND_TONNE","A","2019",30023,
"JPN","WASTEMUN","TOT","THND_TONNE","A","2017",42894,
"JPN","WASTEMUN","TOT","THND_TONNE","A","2018",42727,
"JPN","WASTEMUN","TOT","THND_TONNE","A","2019",42737,
"KOR","WASTEMUN","TOT","THND_TONNE","A","2017",19523.668,
"KOR","WASTEMUN","TOT","THND_TONNE","A","2018",20452.921,
"KOR","WASTEMUN","TOT","THND_TONNE","A","2019",21155.91,
"LUX","WASTEMUN","TOT","THND_TONNE","A","2017",475.829,
"LUX","WASTEMUN","TOT","THND_TONNE","A","2018",488.312,
"LUX","WASTEMUN","TOT","THND_TONNE","A","2019",490.704,"E"
"LUX","WASTEMUN","TOT","THND_TONNE","A","2020",497.764,
"NLD","WASTEMUN","TOT","THND_TONNE","A","2017",8792,
"NLD","WASTEMUN","TOT","THND_TONNE","A","2018",8806,
"NLD","WASTEMUN","TOT","THND_TONNE","A","2019",8806,
"NLD","WASTEMUN","TOT","THND_TONNE","A","2020",9321,
"NZL","WASTEMUN","TOT","THND_TONNE","A","2017",3481,
"NZL","WASTEMUN","TOT","THND_TONNE","A","2018",3705,
"NOR","WASTEMUN","TOT","THND_TONNE","A","2017",3949.21,
"NOR","WASTEMUN","TOT","THND_TONNE","A","2018",3926.9,
"NOR","WASTEMUN","TOT","THND_TONNE","A","2019",4150.795,
"NOR","WASTEMUN","TOT","THND_TONNE","A","2020",3904.995,"B"
"POL","WASTEMUN","TOT","THND_TONNE","A","2017",11968.717,"E"
"POL","WASTEMUN","TOT","THND_TONNE","A","2018",12485.425,
