"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","WASTEWATERTREAT","TOT","PC","A","2017",84.2484,
"NOR","WASTEWATERTREAT","TOT","PC","A","2018",85.3812,
"NOR","WASTEWATERTREAT","TOT","PC","A","2019",85.1491,
"NOR","WASTEWATERTREAT","TOT","PC","A","2020",85.7734,
"ISR","WASTEWATERTREAT","TOT","PC","A","2017",96.7,
"ISR","WASTEWATERTREAT","TOT","PC","A","2018",96.8,
"ISR","WASTEWATERTREAT","TOT","PC","A","2019",96.9,
"ISR","WASTEWATERTREAT","TOT","PC","A","2020",97,
"JPN","WASTEWATERTREAT","TOT","PC","A","2017",78.8,
"JPN","WASTEWATERTREAT","TOT","PC","A","2018",79.3,
"JPN","WASTEWATERTREAT","TOT","PC","A","2019",79.7,
"JPN","WASTEWATERTREAT","TOT","PC","A","2020",80.1,
"MEX","WASTEWATERTREAT","TOT","PC","A","2017",63.0112,
"MEX","WASTEWATERTREAT","TOT","PC","A","2018",63.8,
"MEX","WASTEWATERTREAT","TOT","PC","A","2019",65.7,
"MEX","WASTEWATERTREAT","TOT","PC","A","2020",67.18,
"SVK","WASTEWATERTREAT","TOT","PC","A","2017",67.2,
"SVK","WASTEWATERTREAT","TOT","PC","A","2018",67.9,
"SVK","WASTEWATERTREAT","TOT","PC","A","2019",68.71,
"SVK","WASTEWATERTREAT","TOT","PC","A","2020",69.3,
"AUT","WASTEWATERTREAT","TOT","PC","A","2018",95.95,
"AUT","WASTEWATERTREAT","TOT","PC","A","2019",95.95,
"AUT","WASTEWATERTREAT","TOT","PC","A","2020",96.04,
"CZE","WASTEWATERTREAT","TOT","PC","A","2017",82.4,
"CZE","WASTEWATERTREAT","TOT","PC","A","2018",82.4,
"CZE","WASTEWATERTREAT","TOT","PC","A","2019",82.7,
"CZE","WASTEWATERTREAT","TOT","PC","A","2020",83.5,
"FRA","WASTEWATERTREAT","TOT","PC","A","2017",82,
"FRA","WASTEWATERTREAT","TOT","PC","A","2018",82,
"FRA","WASTEWATERTREAT","TOT","PC","A","2019",82,
"FRA","WASTEWATERTREAT","TOT","PC","A","2020",82,
"KOR","WASTEWATERTREAT","TOT","PC","A","2017",93.2,
"KOR","WASTEWATERTREAT","TOT","PC","A","2018",93.55,
"KOR","WASTEWATERTREAT","TOT","PC","A","2019",93.91,
"IRL","WASTEWATERTREAT","TOT","PC","A","2017",63,
"IRL","WASTEWATERTREAT","TOT","PC","A","2018",63.3,
"IRL","WASTEWATERTREAT","TOT","PC","A","2019",63.3,
"GRC","WASTEWATERTREAT","TOT","PC","A","2017",94.8,
"GRC","WASTEWATERTREAT","TOT","PC","A","2018",94.8,
"GRC","WASTEWATERTREAT","TOT","PC","A","2019",94.2,
