"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WATERABST","TOT","MLN_M3","A","2017",16628.8815,
"AUS","WATERABST","TOT","MLN_M3","A","2018",17553.47037,
"AUS","WATERABST","TOT","MLN_M3","A","2019",15412.92702,
"AUS","WATERABST","TOT","MLN_M3","A","2020",13432.382,
"BEL","WATERABST","TOT","MLN_M3","A","2017",4453.30322,
"BEL","WATERABST","TOT","MLN_M3","A","2018",4176.76416,
"CZE","WATERABST","TOT","MLN_M3","A","2017",1630.40002,
"CZE","WATERABST","TOT","MLN_M3","A","2018",1591.09998,
"CZE","WATERABST","TOT","MLN_M3","A","2019",1506.30005,
"CZE","WATERABST","TOT","MLN_M3","A","2020",1365.90002,
"DNK","WATERABST","TOT","MLN_M3","A","2017",895.78998,
"DNK","WATERABST","TOT","MLN_M3","A","2018",1105.81995,
"DNK","WATERABST","TOT","MLN_M3","A","2019",945.59003,
"DNK","WATERABST","TOT","MLN_M3","A","2020",976.42999,
"FRA","WATERABST","TOT","MLN_M3","A","2017",27010.05469,
"FRA","WATERABST","TOT","MLN_M3","A","2018",26922.4668,
"FRA","WATERABST","TOT","MLN_M3","A","2019",26272.08008,
"GRC","WATERABST","TOT","MLN_M3","A","2017",10133.88281,
"GRC","WATERABST","TOT","MLN_M3","A","2018",10122.7832,
"GRC","WATERABST","TOT","MLN_M3","A","2019",10115.21289,
"GRC","WATERABST","TOT","MLN_M3","A","2020",10122.07324,
"HUN","WATERABST","TOT","MLN_M3","A","2017",4498.90479,
"JPN","WATERABST","TOT","MLN_M3","A","2017",79336,
"JPN","WATERABST","TOT","MLN_M3","A","2018",79051,
"KOR","WATERABST","TOT","MLN_M3","A","2017",23419.19922,
"KOR","WATERABST","TOT","MLN_M3","A","2018",22696.80078,
"KOR","WATERABST","TOT","MLN_M3","A","2019",23879.90039,
"LUX","WATERABST","TOT","MLN_M3","A","2017",45.55,
"LUX","WATERABST","TOT","MLN_M3","A","2018",52.21,
"LUX","WATERABST","TOT","MLN_M3","A","2019",49.29,
"LUX","WATERABST","TOT","MLN_M3","A","2020",47.74,
"MEX","WATERABST","TOT","MLN_M3","A","2017",87841.52344,
"MEX","WATERABST","TOT","MLN_M3","A","2018",88839.73438,
"MEX","WATERABST","TOT","MLN_M3","A","2019",89350.73438,
"MEX","WATERABST","TOT","MLN_M3","A","2020",89547.78125,
"NLD","WATERABST","TOT","MLN_M3","A","2017",7914.78,
"NLD","WATERABST","TOT","MLN_M3","A","2018",8090.19,
"NLD","WATERABST","TOT","MLN_M3","A","2019",8403.4,
"POL","WATERABST","TOT","MLN_M3","A","2017",10651.98633,
"POL","WATERABST","TOT","MLN_M3","A","2018",10333.66797,
"POL","WATERABST","TOT","MLN_M3","A","2019",9762.20996,
"POL","WATERABST","TOT","MLN_M3","A","2020",9165.58008,
"PRT","WATERABST","TOT","MLN_M3","A","2017",4793.87793,
"SVK","WATERABST","TOT","MLN_M3","A","2017",578.59998,
"SVK","WATERABST","TOT","MLN_M3","A","2018",573.09998,
"SVK","WATERABST","TOT","MLN_M3","A","2019",581.20001,
"SVK","WATERABST","TOT","MLN_M3","A","2020",575.40002,
"ESP","WATERABST","TOT","MLN_M3","A","2017",30232.19922,
"ESP","WATERABST","TOT","MLN_M3","A","2018",29595.69922,
"TUR","WATERABST","TOT","MLN_M3","A","2018",61093.57813,
"EST","WATERABST","TOT","MLN_M3","A","2017",1788.55005,
"EST","WATERABST","TOT","MLN_M3","A","2018",1605.18994,
"EST","WATERABST","TOT","MLN_M3","A","2019",1004.37689,
"EST","WATERABST","TOT","MLN_M3","A","2020",848.0318,
"ISR","WATERABST","TOT","MLN_M3","A","2017",1201,
"ISR","WATERABST","TOT","MLN_M3","A","2018",1112,
"ISR","WATERABST","TOT","MLN_M3","A","2019",1164,
"ISR","WATERABST","TOT","MLN_M3","A","2020",1276,
"SVN","WATERABST","TOT","MLN_M3","A","2017",929.59998,
"SVN","WATERABST","TOT","MLN_M3","A","2018",957.40997,
"SVN","WATERABST","TOT","MLN_M3","A","2019",943.06,
"SVN","WATERABST","TOT","MLN_M3","A","2020",1001.89038,
"BRA","WATERABST","TOT","MLN_M3","A","2017",66033.41406,
"CHN","WATERABST","TOT","MLN_M3","A","2017",596220,
"CHN","WATERABST","TOT","MLN_M3","A","2018",592910,
"CHN","WATERABST","TOT","MLN_M3","A","2019",591670,
"LVA","WATERABST","TOT","MLN_M3","A","2017",180.965,
"LVA","WATERABST","TOT","MLN_M3","A","2018",183.217,
"LVA","WATERABST","TOT","MLN_M3","A","2019",178.47099,
"LVA","WATERABST","TOT","MLN_M3","A","2020",181.021,
"RUS","WATERABST","TOT","MLN_M3","A","2017",62648,
"RUS","WATERABST","TOT","MLN_M3","A","2018",63127,
"RUS","WATERABST","TOT","MLN_M3","A","2019",62966,
"LTU","WATERABST","TOT","MLN_M3","A","2017",291.61899,
"LTU","WATERABST","TOT","MLN_M3","A","2018",285.96231,
"LTU","WATERABST","TOT","MLN_M3","A","2019",282.11301,
"LTU","WATERABST","TOT","MLN_M3","A","2020",400.67679,
"CRI","WATERABST","TOT","MLN_M3","A","2017",2833.13989,
"CRI","WATERABST","TOT","MLN_M3","A","2018",3053.54004,
"CRI","WATERABST","TOT","MLN_M3","A","2019",3139.11011,
"CRI","WATERABST","TOT","MLN_M3","A","2020",3136.08008,
