"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","2017",66.26858,
"AUS","GGDEBT","TOT","PC_GDP","A","2018",66.90811,
"AUS","GGDEBT","TOT","PC_GDP","A","2019",77.03452,
"AUS","GGDEBT","TOT","PC_GDP","A","2020",92.03636,
"AUS","GGDEBT","TOT","PC_GDP","A","2021",83.7393,
"AUT","GGDEBT","TOT","PC_GDP","A","2017",96.27682,
"AUT","GGDEBT","TOT","PC_GDP","A","2018",90.86761,
"AUT","GGDEBT","TOT","PC_GDP","A","2019",89.27504,
"AUT","GGDEBT","TOT","PC_GDP","A","2020",107.084,
"AUT","GGDEBT","TOT","PC_GDP","A","2021",101.1389,
"BEL","GGDEBT","TOT","PC_GDP","A","2017",120.8417,
"BEL","GGDEBT","TOT","PC_GDP","A","2018",117.7938,
"BEL","GGDEBT","TOT","PC_GDP","A","2019",119.6367,
"BEL","GGDEBT","TOT","PC_GDP","A","2020",139.7873,
"BEL","GGDEBT","TOT","PC_GDP","A","2021",129.1714,
"CAN","GGDEBT","TOT","PC_GDP","A","2017",108.5678,
"CAN","GGDEBT","TOT","PC_GDP","A","2018",107.4986,
"CAN","GGDEBT","TOT","PC_GDP","A","2019",106.8954,
"CAN","GGDEBT","TOT","PC_GDP","A","2020",141.8694,
"CAN","GGDEBT","TOT","PC_GDP","A","2021",131.9209,
"CZE","GGDEBT","TOT","PC_GDP","A","2017",43.32781,
"CZE","GGDEBT","TOT","PC_GDP","A","2018",40.11501,
"CZE","GGDEBT","TOT","PC_GDP","A","2019",37.83284,
"CZE","GGDEBT","TOT","PC_GDP","A","2020",46.98934,
"CZE","GGDEBT","TOT","PC_GDP","A","2021",48.48211,
"DNK","GGDEBT","TOT","PC_GDP","A","2017",48.98525,
"DNK","GGDEBT","TOT","PC_GDP","A","2018",47.18268,
"DNK","GGDEBT","TOT","PC_GDP","A","2019",48.35806,
"DNK","GGDEBT","TOT","PC_GDP","A","2020",58.34686,
"DNK","GGDEBT","TOT","PC_GDP","A","2021",50.30406,
"FIN","GGDEBT","TOT","PC_GDP","A","2017",77.91702,
"FIN","GGDEBT","TOT","PC_GDP","A","2018",75.03062,
"FIN","GGDEBT","TOT","PC_GDP","A","2019",75.21033,
"FIN","GGDEBT","TOT","PC_GDP","A","2020",87.19895,
"FIN","GGDEBT","TOT","PC_GDP","A","2021",82.09192,
"FRA","GGDEBT","TOT","PC_GDP","A","2017",122.9442,
"FRA","GGDEBT","TOT","PC_GDP","A","2018",120.7428,
"FRA","GGDEBT","TOT","PC_GDP","A","2019",123.0546,
"FRA","GGDEBT","TOT","PC_GDP","A","2020",145.6395,
"FRA","GGDEBT","TOT","PC_GDP","A","2021",137.7307,
"DEU","GGDEBT","TOT","PC_GDP","A","2017",72.38483,
"DEU","GGDEBT","TOT","PC_GDP","A","2018",69.1884,
"DEU","GGDEBT","TOT","PC_GDP","A","2019",67.62975,
"DEU","GGDEBT","TOT","PC_GDP","A","2020",78.37959,
"DEU","GGDEBT","TOT","PC_GDP","A","2021",77.44357,
"GRC","GGDEBT","TOT","PC_GDP","A","2017",192.9974,
"GRC","GGDEBT","TOT","PC_GDP","A","2018",199.3277,
"GRC","GGDEBT","TOT","PC_GDP","A","2019",200.7501,
"GRC","GGDEBT","TOT","PC_GDP","A","2020",236.7442,
"GRC","GGDEBT","TOT","PC_GDP","A","2021",224.293,
"HUN","GGDEBT","TOT","PC_GDP","A","2017",93.22548,
"HUN","GGDEBT","TOT","PC_GDP","A","2018",86.87548,
"HUN","GGDEBT","TOT","PC_GDP","A","2019",83.93501,
"HUN","GGDEBT","TOT","PC_GDP","A","2020",97.1219,
"HUN","GGDEBT","TOT","PC_GDP","A","2021",88.8319,
