"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2013",6.85881986486119,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2014",7.12260095873446,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2015",7.51771654660203,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2016",8.12163373748383,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2017",8.4987355485386,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2018",8.65915551872789,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2019",9.02071163775388,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2020",9.59131636369735,
"CHL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2021",8.60976539112817,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1998",9.80346442020565,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1999",9.691706941618,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2000",9.40903571747369,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2001",9.96235471822761,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2002",10.4368689807171,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2003",10.6872581842622,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2004",10.852211037688,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2005",11.031615984899,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2006",10.9775435641972,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2007",11.2979551393333,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2008",12.5515338436324,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2009",13.4333243615587,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2010",12.6086400196774,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2011",12.4698101691562,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2012",11.9844442297716,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2013",11.4108673849618,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2014",10.8341778041275,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2015",8.30739041742728,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2016",8.47931884289116,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2017",8.25581265445635,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2018",8.04517056408032,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2019",8.06964015762718,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2020",8.65353850227665,
"IRL","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2021",8.18642886461098,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1998",9.91650912617648,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","1999",10.2701806721108,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2000",10.3056712777765,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2001",10.3053309694974,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2002",10.4152958906,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2003",10.8060366509983,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2004",10.1885125001309,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2005",10.1288623315477,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2006",10.0997810305836,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2007",10.0488161362461,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2008",10.7932001621728,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2009",11.2227560762174,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2010",10.9895607775458,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2011",10.5980012335746,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2012",10.268999871054,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2013",10.4457140628052,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2014",10.6257678204533,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2015",10.1993773068106,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2016",10.3044174241285,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2017",10.4708273561056,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2018",10.3784072054224,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2019",11.0412300029844,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2020",11.5766164542649,
"HUN","GGEXPDEST","SOCIETY","PC_GDP","A","2021",11.2238785198032,"E"
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1998",12.8871075622132,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","1999",12.6487628477454,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2000",11.448082410536,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2001",12.4183503739038,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2002",13.4666559045141,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2003",14.0696781710776,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2004",13.479938531256,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2005",12.8515412412242,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2006",12.3178678862275,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2007",12.3947045600473,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2008",12.2164175383282,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2009",14.5623128202362,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2010",14.4382802253076,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2011",14.1651952620473,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2012",14.0820356451116,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2013",14.3672685548172,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2014",14.8190246222794,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2015",15.6985415123838,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2016",16.4764885344406,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2017",16.1613130131803,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2018",15.6901994991418,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2019",16.4361338510289,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2020",17.6342416239273,
"NOR","GGEXPDEST","INDIVIDUAL","PC_GDP","A","2021",15.5974264839027,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1998",6.88783629453504,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","1999",6.98142701957979,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2000",6.66727859878671,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2001",6.5463981602337,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2002",6.35814204658939,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2003",6.32309587410555,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2004",6.37944086077162,
"NZL","GGEXPDEST","SOCIETY","PC_GDP","A","2005",6.85418290504919,
