"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","GGEXP","PUBORD","PC_GDP","A","2017",1.46487300021435,
"ISL","GGEXP","PUBORD","PC_GDP","A","2018",1.44364788895278,
"ISL","GGEXP","PUBORD","PC_GDP","A","2019",1.46639930314987,
"ISL","GGEXP","PUBORD","PC_GDP","A","2020",1.59191710037027,
"KOR","GGEXP","PUBORD","PC_GDP","A","2017",1.1955723440814,
"KOR","GGEXP","PUBORD","PC_GDP","A","2018",1.18094970973968,
"KOR","GGEXP","PUBORD","PC_GDP","A","2019",1.27969988642753,
"KOR","GGEXP","PUBORD","PC_GDP","A","2020",1.36138214653875,
"DNK","GGEXP","PUBORD","PC_GDP","A","2017",0.93394316272623,
"DNK","GGEXP","PUBORD","PC_GDP","A","2018",0.940036712973617,
"DNK","GGEXP","PUBORD","PC_GDP","A","2019",0.973190806647677,
"DNK","GGEXP","PUBORD","PC_GDP","A","2020",0.999174097407601,
"SVN","GGEXP","ENVPROT","PC_GDP","A","2017",0.451997086607616,
"SVN","GGEXP","ENVPROT","PC_GDP","A","2018",0.540518158036792,
"SVN","GGEXP","ENVPROT","PC_GDP","A","2019",0.567179719309492,
"SVN","GGEXP","ENVPROT","PC_GDP","A","2020",0.635359191811658,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2017",5.63216912045009,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2018",5.72803412915894,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2019",5.86255052154775,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2020",5.77419097974718,
"USA","GGEXP","GRALPUBSER","PC_GDP","A","2021",5.53993455995285,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2017",5.88240159286658,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2018",5.77534183046969,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2019",5.89608370408203,
"FRA","GGEXP","ECOAFF","PC_GDP","A","2020",6.77961920285449,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2017",6.00303436843657,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2018",5.91089579888437,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2019",5.74306126295587,
"AUT","GGEXP","GRALPUBSER","PC_GDP","A","2020",6.16762467008928,
"GRC","GGEXP","DEF","PC_GDP","A","2017",2.53584752810694,
"GRC","GGEXP","DEF","PC_GDP","A","2018",2.26668102649827,
"GRC","GGEXP","DEF","PC_GDP","A","2019",1.97980676734625,
"GRC","GGEXP","DEF","PC_GDP","A","2020",2.56399531911034,
"JPN","GGEXP","ENVPROT","PC_GDP","A","2017",1.13769791691151,
"JPN","GGEXP","ENVPROT","PC_GDP","A","2018",1.11460886315828,
"JPN","GGEXP","ENVPROT","PC_GDP","A","2019",1.12204095606162,
"JPN","GGEXP","ENVPROT","PC_GDP","A","2020",1.26617701875704,
"CZE","GGEXP","ENVPROT","PC_GDP","A","2017",0.801683825619876,
"CZE","GGEXP","ENVPROT","PC_GDP","A","2018",0.851506839795733,
"CZE","GGEXP","ENVPROT","PC_GDP","A","2019",0.833946588602811,
"CZE","GGEXP","ENVPROT","PC_GDP","A","2020",0.901187939110173,
"ESP","GGEXP","PUBORD","PC_GDP","A","2017",1.8280555909202,
"ESP","GGEXP","PUBORD","PC_GDP","A","2018",1.78883075177409,
"ESP","GGEXP","PUBORD","PC_GDP","A","2019",1.82053499240875,
"ESP","GGEXP","PUBORD","PC_GDP","A","2020",2.09447499036216,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2017",5.40305260636014,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2018",5.17820978981711,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2019",5.21828245634995,
"LUX","GGEXP","ECOAFF","PC_GDP","A","2020",5.73998664145083,
"SWE","GGEXP","PUBORD","PC_GDP","A","2017",1.27424437211438,
"SWE","GGEXP","PUBORD","PC_GDP","A","2018",1.29507119059977,
"SWE","GGEXP","PUBORD","PC_GDP","A","2019",1.3024150930991,
"SWE","GGEXP","PUBORD","PC_GDP","A","2020",1.38171032946462,
