"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXCORP","TOT","PC_GDP","A","2017",5.208,
"AUS","TAXCORP","TOT","PC_GDP","A","2018",5.399,
"AUS","TAXCORP","TOT","PC_GDP","A","2019",4.743,
"AUT","TAXCORP","TOT","PC_GDP","A","2017",2.47,
"AUT","TAXCORP","TOT","PC_GDP","A","2018",2.709,
"AUT","TAXCORP","TOT","PC_GDP","A","2019",2.715,
"AUT","TAXCORP","TOT","PC_GDP","A","2020",2.077,
"BEL","TAXCORP","TOT","PC_GDP","A","2017",4.066,
"BEL","TAXCORP","TOT","PC_GDP","A","2018",4.298,
"BEL","TAXCORP","TOT","PC_GDP","A","2019",3.723,
"BEL","TAXCORP","TOT","PC_GDP","A","2020",3.312,
"CAN","TAXCORP","TOT","PC_GDP","A","2017",3.89,
"CAN","TAXCORP","TOT","PC_GDP","A","2018",4.095,
"CAN","TAXCORP","TOT","PC_GDP","A","2019",4.161,
"CAN","TAXCORP","TOT","PC_GDP","A","2020",4.24,
"CZE","TAXCORP","TOT","PC_GDP","A","2017",3.685,
"CZE","TAXCORP","TOT","PC_GDP","A","2018",3.623,
"CZE","TAXCORP","TOT","PC_GDP","A","2019",3.508,
"CZE","TAXCORP","TOT","PC_GDP","A","2020",2.874,
"DNK","TAXCORP","TOT","PC_GDP","A","2017",3.253,
"DNK","TAXCORP","TOT","PC_GDP","A","2018",2.755,
"DNK","TAXCORP","TOT","PC_GDP","A","2019",3.137,
"DNK","TAXCORP","TOT","PC_GDP","A","2020",2.624,
"FIN","TAXCORP","TOT","PC_GDP","A","2017",2.707,
"FIN","TAXCORP","TOT","PC_GDP","A","2018",2.543,
"FIN","TAXCORP","TOT","PC_GDP","A","2019",2.528,
"FIN","TAXCORP","TOT","PC_GDP","A","2020",2.101,
"FRA","TAXCORP","TOT","PC_GDP","A","2017",2.323,
"FRA","TAXCORP","TOT","PC_GDP","A","2018",2.097,
"FRA","TAXCORP","TOT","PC_GDP","A","2019",2.221,
"FRA","TAXCORP","TOT","PC_GDP","A","2020",2.319,
