"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXINCOME","TOT","PC_GDP","A","2017",11.493,
"AUS","TAXINCOME","TOT","PC_GDP","A","2018",11.75,
"AUS","TAXINCOME","TOT","PC_GDP","A","2019",11.629,
"AUT","TAXINCOME","TOT","PC_GDP","A","2017",9.076,
"AUT","TAXINCOME","TOT","PC_GDP","A","2018",9.392,
"AUT","TAXINCOME","TOT","PC_GDP","A","2019",9.618,
"AUT","TAXINCOME","TOT","PC_GDP","A","2020",9.258,
"BEL","TAXINCOME","TOT","PC_GDP","A","2017",11.914,
"BEL","TAXINCOME","TOT","PC_GDP","A","2018",11.811,
"BEL","TAXINCOME","TOT","PC_GDP","A","2019",11.326,
"BEL","TAXINCOME","TOT","PC_GDP","A","2020",11.916,
"CAN","TAXINCOME","TOT","PC_GDP","A","2017",11.751,
"CAN","TAXINCOME","TOT","PC_GDP","A","2018",11.975,
"CAN","TAXINCOME","TOT","PC_GDP","A","2019",12.177,
"CAN","TAXINCOME","TOT","PC_GDP","A","2020",12.497,
"CZE","TAXINCOME","TOT","PC_GDP","A","2017",3.957,
"CZE","TAXINCOME","TOT","PC_GDP","A","2018",4.27,
"CZE","TAXINCOME","TOT","PC_GDP","A","2019",4.411,
"CZE","TAXINCOME","TOT","PC_GDP","A","2020",4.648,
"DNK","TAXINCOME","TOT","PC_GDP","A","2017",24.147,
"DNK","TAXINCOME","TOT","PC_GDP","A","2018",24.073,
"DNK","TAXINCOME","TOT","PC_GDP","A","2019",24.273,
"DNK","TAXINCOME","TOT","PC_GDP","A","2020",25.236,
"FIN","TAXINCOME","TOT","PC_GDP","A","2017",12.495,
"FIN","TAXINCOME","TOT","PC_GDP","A","2018",12.237,
"FIN","TAXINCOME","TOT","PC_GDP","A","2019",12.245,
"FIN","TAXINCOME","TOT","PC_GDP","A","2020",12.58,
"FRA","TAXINCOME","TOT","PC_GDP","A","2017",8.552,
"FRA","TAXINCOME","TOT","PC_GDP","A","2018",9.419,
"FRA","TAXINCOME","TOT","PC_GDP","A","2019",9.299,
"FRA","TAXINCOME","TOT","PC_GDP","A","2020",9.561,
"DEU","TAXINCOME","TOT","PC_GDP","A","2017",10.252,
"DEU","TAXINCOME","TOT","PC_GDP","A","2018",10.451,
"DEU","TAXINCOME","TOT","PC_GDP","A","2019",10.575,
"DEU","TAXINCOME","TOT","PC_GDP","A","2020",10.364,
"GRC","TAXINCOME","TOT","PC_GDP","A","2017",6.338,
"GRC","TAXINCOME","TOT","PC_GDP","A","2018",6.426,
"GRC","TAXINCOME","TOT","PC_GDP","A","2019",5.998,
"HUN","TAXINCOME","TOT","PC_GDP","A","2017",5.324,
"HUN","TAXINCOME","TOT","PC_GDP","A","2018",5.399,
"HUN","TAXINCOME","TOT","PC_GDP","A","2019",5.171,
"HUN","TAXINCOME","TOT","PC_GDP","A","2020",5.295,
"ISL","TAXINCOME","TOT","PC_GDP","A","2017",14.173,
"ISL","TAXINCOME","TOT","PC_GDP","A","2018",14.498,
"ISL","TAXINCOME","TOT","PC_GDP","A","2019",14.283,
"ISL","TAXINCOME","TOT","PC_GDP","A","2020",15.271,
"IRL","TAXINCOME","TOT","PC_GDP","A","2017",7.207,
"IRL","TAXINCOME","TOT","PC_GDP","A","2018",7.02,
"IRL","TAXINCOME","TOT","PC_GDP","A","2019",6.943,
"IRL","TAXINCOME","TOT","PC_GDP","A","2020",6.61,
"ITA","TAXINCOME","TOT","PC_GDP","A","2017",10.821,
"ITA","TAXINCOME","TOT","PC_GDP","A","2018",10.72,
"ITA","TAXINCOME","TOT","PC_GDP","A","2019",10.952,
"ITA","TAXINCOME","TOT","PC_GDP","A","2020",11.543,
"JPN","TAXINCOME","TOT","PC_GDP","A","2017",5.817,
"JPN","TAXINCOME","TOT","PC_GDP","A","2018",6.019,
"JPN","TAXINCOME","TOT","PC_GDP","A","2019",5.901,
"JPN","TAXINCOME","TOT","PC_GDP","A","2020",6.023,
"KOR","TAXINCOME","TOT","PC_GDP","A","2017",4.528,
"KOR","TAXINCOME","TOT","PC_GDP","A","2018",4.914,
"KOR","TAXINCOME","TOT","PC_GDP","A","2019",4.779,
"KOR","TAXINCOME","TOT","PC_GDP","A","2020",5.263,
"LUX","TAXINCOME","TOT","PC_GDP","A","2017",8.9,
"LUX","TAXINCOME","TOT","PC_GDP","A","2018",9.323,
"LUX","TAXINCOME","TOT","PC_GDP","A","2019",9.316,
"LUX","TAXINCOME","TOT","PC_GDP","A","2020",9.746,
"NLD","TAXINCOME","TOT","PC_GDP","A","2017",8.341,
"NLD","TAXINCOME","TOT","PC_GDP","A","2018",7.967,
"NLD","TAXINCOME","TOT","PC_GDP","A","2019",8.483,
"NLD","TAXINCOME","TOT","PC_GDP","A","2020",9.053,
"NZL","TAXINCOME","TOT","PC_GDP","A","2017",11.826,
"NZL","TAXINCOME","TOT","PC_GDP","A","2018",12.074,
"NZL","TAXINCOME","TOT","PC_GDP","A","2019",12.44,
"NZL","TAXINCOME","TOT","PC_GDP","A","2020",12.419,
"NOR","TAXINCOME","TOT","PC_GDP","A","2017",10.289,
"NOR","TAXINCOME","TOT","PC_GDP","A","2018",9.981,
"NOR","TAXINCOME","TOT","PC_GDP","A","2019",10.38,
"NOR","TAXINCOME","TOT","PC_GDP","A","2020",11.262,
"POL","TAXINCOME","TOT","PC_GDP","A","2017",4.981,
"POL","TAXINCOME","TOT","PC_GDP","A","2018",5.31,
"POL","TAXINCOME","TOT","PC_GDP","A","2019",5.317,
"POL","TAXINCOME","TOT","PC_GDP","A","2020",5.185,
"PRT","TAXINCOME","TOT","PC_GDP","A","2017",6.432,
"PRT","TAXINCOME","TOT","PC_GDP","A","2018",6.488,
"PRT","TAXINCOME","TOT","PC_GDP","A","2019",6.347,
"PRT","TAXINCOME","TOT","PC_GDP","A","2020",6.915,
"SVK","TAXINCOME","TOT","PC_GDP","A","2017",3.379,
"SVK","TAXINCOME","TOT","PC_GDP","A","2018",3.601,
"SVK","TAXINCOME","TOT","PC_GDP","A","2019",3.764,
"SVK","TAXINCOME","TOT","PC_GDP","A","2020",3.79,
"ESP","TAXINCOME","TOT","PC_GDP","A","2017",7.387,
"ESP","TAXINCOME","TOT","PC_GDP","A","2018",7.677,
"ESP","TAXINCOME","TOT","PC_GDP","A","2019",7.872,
"ESP","TAXINCOME","TOT","PC_GDP","A","2020",8.699,
"SWE","TAXINCOME","TOT","PC_GDP","A","2017",13.325,
"SWE","TAXINCOME","TOT","PC_GDP","A","2018",12.916,
"SWE","TAXINCOME","TOT","PC_GDP","A","2019",12.281,
"SWE","TAXINCOME","TOT","PC_GDP","A","2020",12.396,
"CHE","TAXINCOME","TOT","PC_GDP","A","2017",8.269,
"CHE","TAXINCOME","TOT","PC_GDP","A","2018",8.228,
"CHE","TAXINCOME","TOT","PC_GDP","A","2019",8.362,
"CHE","TAXINCOME","TOT","PC_GDP","A","2020",8.469,
"TUR","TAXINCOME","TOT","PC_GDP","A","2017",3.587,
"TUR","TAXINCOME","TOT","PC_GDP","A","2018",3.698,
"TUR","TAXINCOME","TOT","PC_GDP","A","2019",3.768,
"TUR","TAXINCOME","TOT","PC_GDP","A","2020",3.147,
"GBR","TAXINCOME","TOT","PC_GDP","A","2017",8.97,
"GBR","TAXINCOME","TOT","PC_GDP","A","2018",9,
"GBR","TAXINCOME","TOT","PC_GDP","A","2019",9.04,
"GBR","TAXINCOME","TOT","PC_GDP","A","2020",9.46,
"USA","TAXINCOME","TOT","PC_GDP","A","2017",10.449,
"USA","TAXINCOME","TOT","PC_GDP","A","2018",10.102,
"USA","TAXINCOME","TOT","PC_GDP","A","2019",10.255,
"USA","TAXINCOME","TOT","PC_GDP","A","2020",10.487,
"EST","TAXINCOME","TOT","PC_GDP","A","2017",5.641,
"EST","TAXINCOME","TOT","PC_GDP","A","2018",5.466,
"EST","TAXINCOME","TOT","PC_GDP","A","2019",5.523,
"EST","TAXINCOME","TOT","PC_GDP","A","2020",6.158,
"ISR","TAXINCOME","TOT","PC_GDP","A","2017",6.679,
"ISR","TAXINCOME","TOT","PC_GDP","A","2018",6.33,
"ISR","TAXINCOME","TOT","PC_GDP","A","2019",6.309,
"ISR","TAXINCOME","TOT","PC_GDP","A","2020",6.578,
"SVN","TAXINCOME","TOT","PC_GDP","A","2017",5.093,
"SVN","TAXINCOME","TOT","PC_GDP","A","2018",5.364,
"SVN","TAXINCOME","TOT","PC_GDP","A","2019",5.266,
"SVN","TAXINCOME","TOT","PC_GDP","A","2020",5.399,
"OAVG","TAXINCOME","TOT","PC_GDP","A","2017",7.89,
"OAVG","TAXINCOME","TOT","PC_GDP","A","2018",7.935,
"OAVG","TAXINCOME","TOT","PC_GDP","A","2019",8.045,
"MEX","TAXINCOME","TOT","PC_GDP","A","2017",3.438,
"MEX","TAXINCOME","TOT","PC_GDP","A","2018",3.419,
"MEX","TAXINCOME","TOT","PC_GDP","A","2019",3.394,
"MEX","TAXINCOME","TOT","PC_GDP","A","2020",3.774,
"CHL","TAXINCOME","TOT","PC_GDP","A","2017",1.947,
"CHL","TAXINCOME","TOT","PC_GDP","A","2018",1.416,
"CHL","TAXINCOME","TOT","PC_GDP","A","2019",1.496,
"CHL","TAXINCOME","TOT","PC_GDP","A","2020",1.983,
"LVA","TAXINCOME","TOT","PC_GDP","A","2017",6.591,
"LVA","TAXINCOME","TOT","PC_GDP","A","2018",5.976,
"LVA","TAXINCOME","TOT","PC_GDP","A","2019",6.503,
"LVA","TAXINCOME","TOT","PC_GDP","A","2020",6.095,
"LTU","TAXINCOME","TOT","PC_GDP","A","2017",4.024,
"LTU","TAXINCOME","TOT","PC_GDP","A","2018",4.25,
"LTU","TAXINCOME","TOT","PC_GDP","A","2019",7.231,
"LTU","TAXINCOME","TOT","PC_GDP","A","2020",7.187,
"COL","TAXINCOME","TOT","PC_GDP","A","2017",1.129,
"COL","TAXINCOME","TOT","PC_GDP","A","2018",1.239,
"COL","TAXINCOME","TOT","PC_GDP","A","2019",1.334,
"COL","TAXINCOME","TOT","PC_GDP","A","2020",1.294,
"CRI","TAXINCOME","TOT","PC_GDP","A","2017",1.3,
"CRI","TAXINCOME","TOT","PC_GDP","A","2018",1.345,
"CRI","TAXINCOME","TOT","PC_GDP","A","2019",1.44,
"CRI","TAXINCOME","TOT","PC_GDP","A","2020",1.545,
