"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXREV","TOT","MLN_USD","A","2017",397.953,
"AUS","TAXREV","TOT","MLN_USD","A","2018",401.232,
"AUS","TAXREV","TOT","MLN_USD","A","2019",380.012,
"AUT","TAXREV","TOT","MLN_USD","A","2017",174.337,
"AUT","TAXREV","TOT","MLN_USD","A","2018",192.155,
"AUT","TAXREV","TOT","MLN_USD","A","2019",189.417,
"AUT","TAXREV","TOT","MLN_USD","A","2020",181.145,
"BEL","TAXREV","TOT","MLN_USD","A","2017",219.99,
"BEL","TAXREV","TOT","MLN_USD","A","2018",238.347,
"BEL","TAXREV","TOT","MLN_USD","A","2019",227.681,
"BEL","TAXREV","TOT","MLN_USD","A","2020",221.425,
"CAN","TAXREV","TOT","MLN_USD","A","2017",544.915,
"CAN","TAXREV","TOT","MLN_USD","A","2018",576.768,
"CAN","TAXREV","TOT","MLN_USD","A","2019",588.717,
"CAN","TAXREV","TOT","MLN_USD","A","2020",565.341,
"CZE","TAXREV","TOT","MLN_USD","A","2017",75.262,
"CZE","TAXREV","TOT","MLN_USD","A","2018",87.088,
"CZE","TAXREV","TOT","MLN_USD","A","2019",87.825,
"CZE","TAXREV","TOT","MLN_USD","A","2020",84.348,
"DNK","TAXREV","TOT","MLN_USD","A","2017",151.061,
"DNK","TAXREV","TOT","MLN_USD","A","2018",157.662,
"DNK","TAXREV","TOT","MLN_USD","A","2019",161.978,
"DNK","TAXREV","TOT","MLN_USD","A","2020",165.716,
"FIN","TAXREV","TOT","MLN_USD","A","2017",109.327,
"FIN","TAXREV","TOT","MLN_USD","A","2018",116.789,
"FIN","TAXREV","TOT","MLN_USD","A","2019",113.554,
"FIN","TAXREV","TOT","MLN_USD","A","2020",113.419,
"FRA","TAXREV","TOT","MLN_USD","A","2017",1192.964,
"FRA","TAXREV","TOT","MLN_USD","A","2018",1279.601,
"FRA","TAXREV","TOT","MLN_USD","A","2019",1224.764,
"FRA","TAXREV","TOT","MLN_USD","A","2020",1192.107,
"DEU","TAXREV","TOT","MLN_USD","A","2017",1389.679,
"DEU","TAXREV","TOT","MLN_USD","A","2018",1527.481,
"DEU","TAXREV","TOT","MLN_USD","A","2019",1501.423,
"DEU","TAXREV","TOT","MLN_USD","A","2020",1471.099,
"GRC","TAXREV","TOT","MLN_USD","A","2017",78.462,
"GRC","TAXREV","TOT","MLN_USD","A","2018",84.845,
"GRC","TAXREV","TOT","MLN_USD","A","2019",81.065,
"GRC","TAXREV","TOT","MLN_USD","A","2020",73.285,
"HUN","TAXREV","TOT","MLN_USD","A","2017",54.113,
"HUN","TAXREV","TOT","MLN_USD","A","2018",59.069,
"HUN","TAXREV","TOT","MLN_USD","A","2019",59.633,
"HUN","TAXREV","TOT","MLN_USD","A","2020",55.309,
"ISL","TAXREV","TOT","MLN_USD","A","2017",9.183,
"ISL","TAXREV","TOT","MLN_USD","A","2018",9.577,
"ISL","TAXREV","TOT","MLN_USD","A","2019",8.659,
"ISL","TAXREV","TOT","MLN_USD","A","2020",7.84,
"IRL","TAXREV","TOT","MLN_USD","A","2017",75.587,
"IRL","TAXREV","TOT","MLN_USD","A","2018",86.017,
"IRL","TAXREV","TOT","MLN_USD","A","2019",87.411,
"IRL","TAXREV","TOT","MLN_USD","A","2020",85.848,
"ITA","TAXREV","TOT","MLN_USD","A","2017",820.465,
"ITA","TAXREV","TOT","MLN_USD","A","2018",872.385,
"ITA","TAXREV","TOT","MLN_USD","A","2019",850.321,
"ITA","TAXREV","TOT","MLN_USD","A","2020",807.635,
"JPN","TAXREV","TOT","MLN_USD","A","2017",1537.453,
"JPN","TAXREV","TOT","MLN_USD","A","2018",1594.73,
"JPN","TAXREV","TOT","MLN_USD","A","2019",1616.775,
"KOR","TAXREV","TOT","MLN_USD","A","2017",411.689,
"KOR","TAXREV","TOT","MLN_USD","A","2018",460.42,
"KOR","TAXREV","TOT","MLN_USD","A","2019",449.659,
"KOR","TAXREV","TOT","MLN_USD","A","2020",456.264,
"LUX","TAXREV","TOT","MLN_USD","A","2017",23.983,
"LUX","TAXREV","TOT","MLN_USD","A","2018",27.972,
"LUX","TAXREV","TOT","MLN_USD","A","2019",27.692,
"LUX","TAXREV","TOT","MLN_USD","A","2020",27.974,
"MEX","TAXREV","TOT","MLN_USD","A","2017",186.897,
"MEX","TAXREV","TOT","MLN_USD","A","2018",198.032,
"MEX","TAXREV","TOT","MLN_USD","A","2019",207.926,
"MEX","TAXREV","TOT","MLN_USD","A","2020",193.75,
"NLD","TAXREV","TOT","MLN_USD","A","2017",322.025,
